M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
120,27,14,20,5,119.997055,0.999975,89.840688,0.108398,119.997055,120,27,14,20,5,119.997057,0.999975,75.84067,0.108398,27,0.002943,20,5,0.002767,0.940197,53.395731,2e-06,0.002767,239.996879,0.999987,75.840152,82.840339,0.1084,146.999822
240,27,14,20,5,228.100954,0.950421,120.212995,0.206053,228.100954,240,27,14,20,5,229.9772,0.958238,106.491886,0.207748,27,10.0228,20,5,9.965667,0.9943,78.428243,0.009002,9.965667,468.043821,0.975091,105.326304,112.581327,0.215055,265.066621
360,27,14,20,5,180.998374,0.502773,125.968586,0.163503,180.998374,360,27,14,20,5,230.03843,0.638996,122.964056,0.207803,27,129.96157,20,5,129.591996,0.997156,120.671888,0.117066,129.591996,540.6288,0.750873,122.138079,123.420503,0.280569,337.59037
480,27,14,20,5,94.904431,0.197718,115.991796,0.085731,94.904431,480,27,14,20,5,163.568158,0.340767,130.454154,0.147758,27,316.431842,20,5,246.6088,0.779343,169.191252,0.222772,246.6088,505.081389,0.526126,153.743881,146.650291,0.308503,368.513231
600,27,14,20,5,52.191251,0.086985,108.692302,0.047147,52.191251,600,27,14,20,5,112.76478,0.187941,137.722946,0.101865,27,487.23522,20,5,166.54144,0.341809,189.903277,0.150444,166.54144,331.497471,0.276248,168.836422,159.367279,0.197591,245.732691
720,27,14,20,5,30.267829,0.042039,103.400969,0.027342,30.267829,720,27,14,20,5,81.762817,0.113559,146.004141,0.07386,27,638.237183,20,5,110.342386,0.172886,206.156378,0.099677,110.342386,222.373032,0.154426,180.554696,170.053082,0.127019,167.610215
840,27,14,20,5,18.251736,0.021728,98.96982,0.016488,18.251736,840,27,14,20,5,63.224036,0.075267,154.679582,0.057113,27,776.775964,20,5,82.720808,0.106492,220.049622,0.074725,82.720808,164.19658,0.097736,191.730994,181.419863,0.091213,127.972544
960,27,14,20,5,11.36206,0.011835,95.050871,0.010264,11.36206,960,27,14,20,5,51.907193,0.05407,162.896581,0.04689,27,908.092807,20,5,68.302568,0.075215,230.601653,0.061701,68.302568,131.571821,0.068527,201.366254,192.185248,0.071965,106.664628
1080,27,14,20,5,7.264541,0.006726,91.601968,0.006562,7.264541,1080,27,14,20,5,44.771346,0.041455,170.062247,0.040444,27,1035.228654,20,5,60.17781,0.05813,237.95693,0.054361,60.17781,112.213697,0.051951,208.993035,201.393319,0.060923,94.442351
1200,27,14,20,5,4.747693,0.003956,88.648652,0.004289,4.747693,1200,27,14,20,5,40.100294,0.033417,175.950947,0.036224,27,1159.899706,20,5,55.256146,0.047639,242.877775,0.049915,55.256146,100.104133,0.04171,214.733001,208.75313,0.054204,87.003839
