M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0
1,54,14,20,3,1.0,1.0,36.522962,0.000741,1.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,36.522962,0.000741,1351.0
2,54,14,20,3,2.0,1.0,37.036568,0.001481,2.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,2.0,1.0,0.0,37.036568,0.001481,1352.0
3,54,14,20,3,3.0,1.0,37.541218,0.002222,3.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,3.0,1.0,0.0,37.541218,0.002222,1353.0
4,54,14,20,3,4.0,1.0,38.037291,0.002963,4.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,4.0,1.0,0.0,38.037291,0.002963,1354.0
5,54,14,20,3,5.0,1.0,38.525145,0.003704,5.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,5.0,1.0,0.0,38.525145,0.003704,1355.0
6,54,14,20,3,6.0,1.0,39.005123,0.004444,6.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,6.0,1.0,0.0,39.005123,0.004444,1356.0
7,54,14,20,3,7.0,1.0,39.477547,0.005185,7.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,7.0,1.0,0.0,39.477547,0.005185,1357.0
8,54,14,20,3,8.0,1.0,39.942724,0.005926,8.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,8.0,1.0,0.0,39.942724,0.005926,1358.0
9,54,14,20,3,9.0,1.0,40.400943,0.006667,9.0,0,54,14,20,3,0.0,0,0.0,0.0,1350,0.0,20,3,0.0,0,0.0,0.0,0.0,9.0,1.0,0.0,40.400943,0.006667,1359.0
