M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
120,27,14,20,5,119.985,0.999875,90.07530107930154,0.108388,119.985,120,27,14,20,5,119.995,0.999958,76.01787574482266,0.108397,27,0.005,20,5,0.005,1.0,166.0,5e-06,0.005,239.985,0.999938,76.021625,83.048024,119.99,146.99
240,27,14,20,5,228.005,0.950021,120.43992456305783,0.205967,228.005,240,27,14,20,5,230.13,0.958875,106.47421022900102,0.207886,27,9.87,20,5,9.87,1.0,65.37588652482269,0.008916,9.87,468.005,0.97501,104.784042,112.411352,237.875,264.875
360,27,14,20,5,188.64,0.524,127.29890267175574,0.170407,188.64,360,27,14,20,5,229.585,0.637736,122.71553019578803,0.207394,27,130.415,20,5,130.395,0.999847,113.48820890371562,0.117791,130.395,548.62,0.761972,119.373132,122.098365,319.03499999999997,346.03499999999997
480,27,14,20,5,102.52,0.213583,119.39738587592659,0.092611,102.52,480,27,14,20,5,162.73,0.339021,130.58185337675906,0.147001,27,317.27,20,5,260.485,0.82102,158.37309250052795,0.235307,260.485,525.735,0.547641,147.687109,142.170523,363.005,390.005
600,27,14,20,5,57.685,0.096142,112.60180289503333,0.052109,57.685,600,27,14,20,5,112.165,0.186942,137.44710916952704,0.101323,27,487.835,20,5,177.485,0.363822,190.7234977603741,0.16033,177.485,347.33500000000004,0.289446,170.092577,160.544575,235.17000000000002,262.17
720,27,14,20,5,32.195,0.044715,107.50799813635663,0.029083,32.195,720,27,14,20,5,81.8,0.113611,146.6690097799511,0.073893,27,638.2,20,5,115.12,0.180382,202.74339819318968,0.103993,115.12,229.115,0.159108,179.450259,169.341008,147.315,174.315
840,27,14,20,5,19.175,0.022827,102.0782268578879,0.017322,19.175,840,27,14,20,5,63.755,0.075899,154.95937573523642,0.057593,27,776.245,20,5,85.02,0.109527,213.17272406492592,0.076802,85.02,167.95,0.09997,188.226382,178.390771,104.195,131.195
960,27,14,20,5,11.72,0.012208,97.86646757679178,0.010587,11.72,960,27,14,20,5,52.26,0.054438,163.04190585533868,0.047209,27,907.74,20,5,68.225,0.075159,229.174276291682,0.061631,68.225,132.20499999999998,0.068857,200.489563,191.392005,79.945,106.945
1080,27,14,20,5,7.575,0.007014,93.99009900990102,0.006843,7.575,1080,27,14,20,5,44.27,0.040991,170.152247571719,0.039991,27,1035.73,20,5,60.055,0.057983,242.42869036716348,0.05425,60.055,111.9,0.051806,211.758399,203.786148,67.63,94.63
1200,27,14,20,5,4.96,0.004133,91.97782258064514,0.004481,4.96,1200,27,14,20,5,39.665,0.033054,176.55754443464014,0.035831,27,1160.335,20,5,55.71,0.048012,242.92514808831447,0.050325,55.71,100.33500000000001,0.041806,215.323879,209.226342,60.67,87.67
