M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
120,27,14,40,10,120.0,1.0,93.978375,0.036731,120.0,120,27,14,40,5,119.998,0.999983,80.04192569876167,0.072859,27,0.002,40,5,0.002,1.0,168.5,1e-06,0.002,240.0,1.0,80.0434,87.010888,120.002,147.002
240,27,14,40,10,240.0,1.0,120.37314583333335,0.073462,240.0,240,27,14,40,5,239.485,0.997854,105.79336910453677,0.145407,27,0.515,40,5,0.515,1.0,201.0582524271844,0.000313,0.515,480.0,1.0,105.997792,113.185469,240.515,267.515
360,27,14,40,10,360.0,1.0,156.7021944444445,0.110193,360.0,360,27,14,40,5,338.904,0.9414,134.7504248990865,0.20577,27,21.096,40,5,21.096,1.0,105.18681266590823,0.012809,21.096,720.0,1.0,133.017997,144.860096,381.096,408.096
480,27,14,40,10,472.561,0.984502,226.80225621665767,0.144647,472.561,480,27,14,40,5,349.403,0.727923,155.39403210619255,0.212145,27,130.597,40,5,126.167,0.966079,182.71605094834618,0.076604,126.167,948.131,0.987636,162.642465,194.620551,598.728,625.728
600,27,14,40,10,316.764,0.52794,264.05332992385485,0.096959,316.764,600,27,14,40,5,289.709,0.482848,168.71856932301037,0.175901,27,310.291,40,5,108.999,0.35128,244.3988843934349,0.06618,108.999,715.472,0.596227,189.408093,222.4561,425.76300000000003,452.76300000000003
720,27,14,40,10,187.862,0.260919,275.5912691230797,0.057503,187.862,720,27,14,40,5,227.418,0.315858,180.76643449507077,0.13808,27,492.582,40,5,67.302,0.136631,306.2570948857389,0.040863,67.302,482.582,0.335126,209.423371,235.18155,255.164,282.164
840,27,14,40,10,130.231,0.155037,302.0806566792854,0.039863,130.231,840,27,14,40,5,179.14,0.213262,193.10257340627447,0.108767,27,660.86,40,5,54.247,0.082085,326.76179327889093,0.032937,54.247,363.618,0.216439,224.169478,252.073627,184.478,211.478
960,27,14,40,10,98.438,0.10254,333.1887888823422,0.030131,98.438,960,27,14,40,5,145.891,0.15197,205.37148967379764,0.08858,27,814.109,40,5,48.936,0.06011,348.5873794343632,0.029712,48.936,293.265,0.152742,241.343982,272.17282,147.374,174.374
1080,27,14,40,10,78.687,0.072858,367.6582790041559,0.024085,78.687,1080,27,14,40,5,123.67,0.114509,216.99963612840628,0.075088,27,956.33,40,5,46.554,0.04868,362.75235210723025,0.028266,46.554,248.911,0.115237,256.861065,291.886839,125.241,152.24099999999999
1200,27,14,40,10,66.988,0.055823,397.7976353973846,0.020504,66.988,1200,27,14,40,5,107.787,0.089822,227.71590265987547,0.065444,27,1092.213,40,5,45.29,0.041466,358.23771251931987,0.027498,45.29,220.065,0.091694,266.33263,306.350705,112.27799999999999,139.278
