M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,0,54,14,20,3,0.0,0.0,0.0,0.0,1350.0,0.0,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,100,54,14,20,3,99.975,0.99975,53.771742935733954,0.074056,1350.0,0.025,20,10,0.025,1.0,124.00000000000001,6e-06,0.025,100.0,1.0,53.7893,53.7893,0.025,1350.025
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,200,54,14,20,3,196.48,0.9824,69.33451241856677,0.145541,1350.0,3.52,20,10,3.52,1.0,47.42272727272727,0.000805,3.52,200.0,1.0,68.948865,68.948865,3.52,1353.52
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,300,54,14,20,3,270.874,0.902913,77.75228704120735,0.200647,1350.0,29.126,20,10,29.126,1.0,67.57573988875916,0.006659,29.126,300.0,1.0,76.76428,76.76428,29.126,1379.126
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,400,54,14,20,3,306.01,0.765025,82.79618313127023,0.226674,1350.0,93.99,20,10,93.99,1.0,68.15772954569636,0.021488,93.99,400.0,1.0,79.356513,79.356513,93.99,1443.99
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,500,54,14,20,3,305.768,0.611536,85.79926938070695,0.226495,1350.0,194.232,20,10,194.232,1.0,81.25814489888381,0.044406,194.232,500.0,1.0,84.035206,84.035206,194.232,1544.232
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,600,54,14,20,3,285.511,0.475852,88.07808455716241,0.21149,1350.0,314.489,20,10,314.489,1.0,92.39480236192678,0.0719,314.489,600.0,1.0,90.340685,90.340685,314.489,1664.489
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,700,54,14,20,3,255.869,0.365527,89.95917051303596,0.189533,1350.0,444.131,20,10,444.131,1.0,106.92405168745262,0.101539,444.131,700.0,1.0,100.722927,100.722927,444.131,1794.1309999999999
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,800,54,14,20,3,225.738,0.282172,91.7949392658746,0.167213,1350.0,574.262,20,10,574.262,1.0,125.71486011611432,0.13129,574.262,800.0,1.0,116.143591,116.143591,574.262,1924.262
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,900,54,14,20,3,197.295,0.219217,93.49894827542514,0.146144,1350.0,702.705,20,10,702.705,1.0,150.43175301157666,0.160655,702.705,900.0,1.0,137.951133,137.951133,702.705,2052.705
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1000,54,14,20,3,172.956,0.172956,95.4276058650755,0.128116,1350.0,827.044,20,10,826.706,0.999591,182.71066860528396,0.189005,826.706,999.662,0.999662,167.609435,167.609435,826.706,2176.706
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1100,54,14,20,3,151.6,0.137818,97.22539577836412,0.112296,1350.0,948.4,20,10,915.227,0.965022,219.30775315850593,0.209243,915.227,1066.827,0.969843,201.959406,201.959406,915.227,2265.227
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1200,54,14,20,3,134.47,0.112058,99.0156912322451,0.099607,1350.0,1065.53,20,10,823.612,0.77296,239.8266623118652,0.188297,823.612,958.082,0.798402,220.063373,220.063373,823.612,2173.612
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1300,54,14,20,3,119.161,0.091662,100.82092295297959,0.088267,1350.0,1180.839,20,10,652.829,0.552852,246.45047018438206,0.149252,652.829,771.99,0.593838,223.97173,223.97173,652.829,2002.829
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1400,54,14,20,3,107.119,0.076514,102.74491920200897,0.079347,1350.0,1292.881,20,10,518.165,0.400783,250.81458608744313,0.118465,518.165,625.284,0.446631,225.448393,225.448393,518.165,1868.165
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1500,54,14,20,3,97.152,0.064768,104.69613595191039,0.071964,1350.0,1402.848,20,10,422.116,0.300899,255.24331226487507,0.096506,422.116,519.268,0.346179,227.076818,227.076818,422.116,1772.116
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1600,54,14,20,3,89.112,0.055695,106.50304111679684,0.066009,1350.0,1510.888,20,10,356.602,0.236021,260.61604253481477,0.081528,356.602,445.71399999999994,0.278571,229.804092,229.804092,356.602,1706.6019999999999
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1700,54,14,20,3,81.583,0.04799,108.36615471360454,0.060432,1350.0,1618.417,20,10,308.806,0.190807,266.1427595318744,0.0706,308.806,390.389,0.229641,233.170804,233.170804,308.806,1658.806
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1800,54,14,20,3,75.258,0.04181,110.08890749156237,0.055747,1350.0,1724.742,20,10,273.296,0.158456,271.6574373572977,0.062482,273.296,348.554,0.193641,236.772385,236.772385,273.296,1623.296
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,1900,54,14,20,3,70.664,0.037192,111.98974017887468,0.052344,1350.0,1829.336,20,10,247.208,0.135135,276.65942445228296,0.056518,247.208,317.872,0.167301,240.052807,240.052807,247.208,1597.208
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2000,54,14,20,3,65.916,0.032958,113.50464227198252,0.048827,1350.0,1934.084,20,10,226.963,0.117349,280.9798865894441,0.051889,226.963,292.879,0.14644,243.287535,243.287535,226.963,1576.963
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2100,54,14,20,3,62.691,0.029853,115.25317828715443,0.046438,1350.0,2037.309,20,10,211.907,0.104013,285.3677651045034,0.048447,211.907,274.598,0.130761,246.530434,246.530434,211.907,1561.907
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2200,54,14,20,3,59.13,0.026877,116.76703872822596,0.0438,1350.0,2140.87,20,10,199.46,0.093168,288.9732026471473,0.045601,199.46,258.59000000000003,0.117541,249.596001,249.596001,199.46,1549.46
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2300,54,14,20,3,56.527,0.024577,118.10663930511083,0.041872,1350.0,2243.473,20,10,190.526,0.084925,291.7707084597379,0.043559,190.526,247.053,0.107414,252.035474,252.035474,190.526,1540.526
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2400,54,14,20,3,54.299,0.022625,119.33715169708465,0.040221,1350.0,2345.701,20,10,182.872,0.07796,294.4560512270878,0.041809,182.872,237.17100000000002,0.098821,254.363539,254.363539,182.872,1532.872
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2500,54,14,20,3,52.09,0.020836,120.54540218851986,0.038585,1350.0,2447.91,20,10,176.376,0.072052,296.6973454438245,0.040324,176.376,228.466,0.091386,256.534894,256.534894,176.376,1526.376
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2600,54,14,20,3,50.242,0.019324,121.75508538672823,0.037216,1350.0,2549.758,20,10,171.262,0.067168,298.9746528710396,0.039155,171.262,221.504,0.085194,258.77734,258.77734,171.262,1521.262
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2700,54,14,20,3,48.289,0.017885,122.68069332560209,0.03577,1350.0,2651.711,20,10,166.447,0.06277,300.65340318539836,0.038054,166.447,214.736,0.079532,260.631589,260.631589,166.447,1516.4470000000001
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2800,54,14,20,3,47.655,0.01702,123.71660896023502,0.0353,1350.0,2752.345,20,10,162.834,0.059162,302.32165272608916,0.037228,162.834,210.489,0.075175,261.885224,261.885224,162.834,1512.834
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,2900,54,14,20,3,45.922,0.015835,124.41735987108575,0.034016,1350.0,2854.078,20,10,158.865,0.055662,303.6512132943064,0.03632,158.865,204.787,0.070616,263.459321,263.459321,158.865,1508.865
0,54,14,20,3,0.0,0.0,0.0,0.0,0.0,3000,54,14,20,3,45.22,0.015073,125.42613887660326,0.033496,1350.0,2954.78,20,10,157.401,0.05327,304.4509310614292,0.035986,157.401,202.621,0.06754,264.497022,264.497022,157.401,1507.401
