M_4SRA,N_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_T
999,44,37.775,0.037813,13314.077299801456,1,10,1.0,1.0,1306.0,0.0,0.0,0.0,0.0,38.775,0.038775,13004.391231
998,44,37.599,0.037674,13300.804117130774,2,10,2.0,1.0,1597.1999999999998,0.0,0.0,0.0,0.0,39.599,0.039599,12709.698073
997,44,37.565,0.037678,13312.819113536538,3,10,3.0,1.0,1848.7199999999996,0.0,0.0,0.0,0.0,40.565,0.040565,12464.987304
996,44,37.762,0.037914,13304.85599279699,4,10,4.0,1.0,2081.0400000000004,0.0,0.0,0.0,0.0,41.762,0.041762,12229.829319
995,44,37.32,0.037508,13299.140407288316,5,10,5.0,1.0,2289.808,0.0,0.0,0.0,0.0,42.32,0.04232,11998.415879
994,44,37.755,0.037983,13295.146867964508,6,10,6.0,1.0,2497.4666666666667,0.0,0.0,0.0,0.0,43.755,0.043755,11814.491372
993,44,37.579,0.037844,13291.621756832274,7,10,7.0,1.0,2673.405714285714,0.0,0.0,0.0,0.0,44.579,0.044579,11624.300545
992,44,37.706,0.03801,13288.76348591736,8,10,8.0,1.0,2909.84,0.0,0.0,0.0,0.0,45.706,0.045706,11472.12261
991,44,37.829,0.038173,13289.695048772106,9,10,8.999,0.999889,3092.7940882320254,0.001,0.001,1.0,15386.0,46.829,0.046829,11330.22943
990,44,37.847,0.038229,13290.218564219094,10,10,9.997,0.9997,3299.8141442432734,0.003,0.002,0.666667,16666.0,47.846000000000004,0.047846,11202.952723
980,44,38.043,0.038819,13262.154877375602,20,10,19.625,0.98125,4955.092484076432,0.375,0.337,0.898667,15313.833827893175,58.005,0.058005,10463.522283
970,44,37.264,0.038416,13241.594675826535,30,10,26.596,0.886533,6245.954880433148,3.404,3.128,0.918919,15336.89514066496,66.988,0.066988,10561.98137
960,44,34.357,0.035789,13222.924062054311,40,10,29.072,0.7268,7100.73858007705,10.928,10.084,0.922767,15499.097976993255,73.513,0.073513,11114.028512
950,44,31.121,0.032759,13193.659136917197,50,10,27.795,0.5559,7781.524374887569,22.205,20.394,0.918442,15681.239776404827,79.31,0.07931,11936.584794
940,44,27.473,0.029227,13157.915699049978,60,10,24.965,0.416083,8330.233927498499,35.035,31.635,0.902954,15881.855855855856,84.07300000000001,0.084073,12749.327584
930,44,24.307,0.026137,13083.453408483156,70,10,22.157,0.316529,8844.233515367605,47.843,42.402,0.886274,16092.864770529692,88.866,0.088866,13462.413476
920,44,21.81,0.023707,13019.613938560295,80,10,19.304,0.2413,9335.108992954829,60.696,52.293,0.861556,16322.336412139297,93.407,0.093407,14107.151091
910,44,18.916,0.020787,12960.387819835061,90,10,17.169,0.190767,9806.753683965286,72.831,60.953,0.83691,16517.846504683934,97.03800000000001,0.097038,14636.978792
900,44,16.971,0.018857,12847.269223970301,100,10,15.464,0.15464,10351.918261769271,84.536,68.559,0.811004,16705.412476844762,100.994,0.100994,15084.256926
800,44,7.181,0.008976,11192.177412616626,200,10,8.835,0.044175,13026.076966610071,191.165,101.061,0.528658,18344.143695391893,117.07700000000001,0.117077,17504.154719
700,44,4.956,0.00708,7879.042776432608,300,10,7.491,0.02497,13757.59257775998,292.509,94.789,0.324055,19625.425249765267,107.236,0.107236,18672.657466
600,44,5.91,0.00985,5202.527918781726,400,10,6.794,0.016985,14114.101265822788,393.206,82.116,0.208837,20729.90179745726,94.82,0.09482,19288.069606
500,44,9.797,0.019594,4346.538940491986,500,10,6.463,0.012926,14338.511217700758,493.537,71.827,0.145535,21607.5267239339,88.087,0.088087,19154.434389
400,44,17.489,0.043723,4204.49848476185,600,10,6.012,0.01002,14517.124417831006,593.988,66.008,0.111127,22204.567446370143,89.509,0.089509,18171.228748
300,44,31.651,0.105503,4258.520931408171,700,10,5.844,0.008349,14645.904175222451,694.156,62.447,0.089961,22325.65506749724,99.94200000000001,0.099942,16154.842729
200,44,53.3,0.2665,4295.748592870545,800,10,5.621,0.007026,14757.044298167586,794.379,63.868,0.0804,21638.375524519328,122.789,0.122789,13795.311583
100,44,65.835,0.65835,3894.7166400850615,900,10,5.395,0.005994,14832.242817423541,894.605,74.065,0.082791,19331.88753122257,145.295,0.145295,12170.032486
90,44,63.857,0.709522,3786.742909939396,910,10,5.479,0.006021,14858.721299507211,904.521,74.851,0.082752,19130.97174386448,144.187,0.144187,12173.034615
80,44,60.965,0.762063,3663.8118592635124,920,10,5.407,0.005877,14862.116145737007,914.593,76.815,0.083988,18855.272407732864,143.187,0.143187,12236.386697
70,44,56.983,0.814043,3501.787515574821,930,10,5.325,0.005726,14884.576525821594,924.675,78.375,0.08476,18585.73052631579,140.683,0.140683,12335.956427
60,44,51.293,0.854883,3334.415573275106,940,10,5.469,0.005818,14900.353629548363,934.531,79.359,0.084919,18418.231756952588,136.12099999999998,0.136121,12593.0214
50,44,45.029,0.90058,3126.8070354660335,950,10,5.379,0.005662,14866.765941624839,944.621,80.105,0.084801,18202.28762249547,130.513,0.130513,12863.542927
40,44,37.406,0.93515,2878.5733839491,960,10,5.394,0.005619,14907.364479050799,954.606,81.081,0.084937,18118.422145755478,123.881,0.123881,13376.918381
30,44,28.869,0.9623,2574.2947105892126,970,10,5.314,0.005478,14910.275498682724,964.686,81.364,0.084342,18091.03121773757,115.547,0.115547,14067.947952
20,44,19.598,0.9799,2241.409735687315,980,10,5.358,0.005467,14916.332213512507,974.642,80.951,0.083057,18053.316277748265,105.907,0.105907,14968.631554
10,44,9.921,0.9921,1777.178308638242,990,10,5.227,0.00528,14918.029845035393,984.773,81.487,0.082747,17997.5851608232,96.63499999999999,0.096635,16165.748952
9,44,8.941,0.993444,1761.5374119226035,991,10,5.408,0.005457,14918.544378698227,985.592,80.642,0.081821,18029.855063118473,94.991,0.094991,16321.472203
8,44,7.958,0.99475,1705.2158833877859,992,10,5.327,0.00537,14930.178712220762,986.673,80.995,0.082089,18028.873263781712,94.28,0.09428,16475.941451
7,44,6.973,0.996143,1613.1045461064102,993,10,5.309,0.005346,14943.58146543605,987.691,80.984,0.081993,18024.269287760548,93.26599999999999,0.093266,16621.931636
6,44,5.967,0.9945,1572.8543656778947,994,10,5.256,0.005288,14915.984779299846,988.744,80.991,0.081913,18030.884493338766,92.214,0.092214,16788.372742
5,44,4.993,0.9986,1522.366913679151,995,10,5.124,0.00515,14922.612021857925,989.876,80.896,0.081723,17999.702531645566,91.013,0.091013,16922.511927
4,44,3.983,0.99575,1478.2520713030378,996,10,5.321,0.005342,14947.225333583914,990.679,80.981,0.081743,18003.29739074598,90.285,0.090285,17094.169463
3,44,2.999,0.999667,1413.129043014338,997,10,5.318,0.005334,14934.943211733735,991.682,80.703,0.08138,18065.874601935495,89.02000000000001,0.08902,17317.819366
2,44,2.0,1.0,1389.2,998,10,5.268,0.005279,14948.399392558847,992.732,81.221,0.081816,18051.115672055254,88.489,0.088489,17489.814937
1,44,1.0,1.0,1306.0,999,10,5.219,0.005224,14928.349109024717,993.781,81.041,0.081548,18037.78169074913,87.25999999999999,0.08726,17660.060967
