Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,MiSn_FB,MiSn_T
0,500,54,0.038333,0,54,0.038,0.0,0.076333
1,500,54,14.742333,0,54,14.77,0.0,29.512333
2,500,54,2.126667,0,54,2.096333,0.0,4.223
3,500,54,2.650667,0,54,2.688,0.0,5.338667
4,500,54,5.909333,0,54,5.93,0.0,11.839333
5,500,54,2.877667,0,54,2.885,0.0,5.762667
6,500,54,4.287667,0,54,4.273667,0.0,8.561334
7,500,54,4.237667,0,54,4.329667,0.0,8.567334
8,500,54,3.963,0,54,3.874,0.0,7.837
9,500,54,4.412667,0,54,4.542667,0.0,8.955334
10,500,54,4.402,0,54,4.34,0.0,8.742
11,500,54,4.479333,0,54,4.498,0.0,8.977333
12,500,54,4.669333,0,54,4.686,0.0,9.355333
13,500,54,4.706333,0,54,4.733,0.0,9.439333
14,500,54,4.885667,0,54,4.990333,0.000667,9.876667
15,500,54,5.111,0,54,5.130667,0.001,10.242667
16,500,54,5.172667,0,54,5.283667,0.01,10.466334
17,500,54,5.305667,0,54,5.466667,0.044333,10.816667
18,500,54,5.209667,0,54,5.729,0.149333,11.088
19,500,54,4.718333,0,54,6.247,0.379,11.344333
20,500,54,3.978,0,54,7.169,0.737333,11.884333
21,500,54,3.043333,0,54,9.054333,1.174333,13.271999
22,500,54,2.325,0,54,12.131333,1.628333,16.084666
23,500,54,1.906,0,54,14.419333,2.325,18.650333
24,500,54,1.626333,0,54,14.871667,3.606667,20.104667
25,500,54,1.287667,0,54,14.337333,5.617667,21.242667
26,500,54,0.808667,0,54,8.833333,8.161,17.803
27,500,54,0.332333,0,54,2.717,9.907333,12.956666
28,500,54,0.086,0,54,0.416333,11.055,11.557333
29,500,54,0.017,0,54,0.023667,11.739667,11.780334
30,500,54,0.000667,0,54,0.000333,12.25,12.251
31,500,54,0.0,0,54,0.0,12.744667,12.744667
32,500,54,0.0,0,54,0.0,13.293,13.293
33,500,54,0.0,0,54,0.0,13.731667,13.731667
34,500,54,0.0,0,54,0.0,14.019333,14.019333
35,500,54,0.0,0,54,0.0,14.315,14.315
36,500,54,0.0,0,54,0.0,14.543667,14.543667
37,500,54,0.0,0,54,0.0,14.663667,14.663667
38,500,54,0.0,0,54,0.0,14.765,14.765
39,500,54,0.0,0,54,0.0,14.83,14.83
40,500,54,0.0,0,54,0.0,14.85,14.85
41,500,54,0.0,0,54,0.0,14.843,14.843
42,500,54,0.0,0,54,0.0,14.759333,14.759333
43,500,54,0.0,0,54,0.0,14.416667,14.416667
44,500,54,0.0,0,54,0.0,13.254667,13.254667
45,500,54,0.0,0,54,0.0,10.650333,10.650333
46,500,54,0.0,0,54,0.0,6.756,6.756
47,500,54,0.0,0,54,0.0,3.179667,3.179667
48,500,54,0.0,0,54,0.0,1.097,1.097
49,500,54,0.0,0,54,0.0,0.245333,0.245333
50,500,54,0.0,0,54,0.0,0.037333,0.037333
51,500,54,0.0,0,54,0.0,0.003667,0.003667
52,500,54,0.0,0,54,0.0,0.0,0.0
53,500,54,0.0,0,54,0.0,0.0,0.0
54,500,54,0.0,0,54,0.0,0.0,0.0
55,500,54,0.0,0,54,0.0,0.0,0.0
56,500,54,0.0,0,54,0.0,0.0,0.0
57,500,54,0.0,0,54,0.0,0.0,0.0
58,500,54,0.0,0,54,0.0,0.0,0.0
59,500,54,0.0,0,54,0.0,0.0,0.0
