Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,MiSn_FB,MiSn_T
0,500,54,0.047613,500,54,0.047613,0.0,0.095226
1,500,54,18.702108,500,54,18.702108,0.0,37.404216
2,500,54,2.15768,500,54,2.15768,0.0,4.31536
3,500,54,2.755693,500,54,2.755693,0.0,5.511386
4,500,54,6.122954,500,54,6.122954,0.0,12.245908
5,500,54,2.996215,500,54,2.996215,0.0,5.99243
6,500,54,4.463027,500,54,4.463027,0.0,8.926054
7,500,54,4.362494,500,54,4.362494,0.0,8.724988
8,500,54,4.093513,500,54,4.093513,0.0,8.187026
9,500,54,4.623467,500,54,4.623467,0.0,9.246934
10,500,54,4.52044,500,54,4.52044,0.0,9.04088
11,500,54,4.691518,500,54,4.691518,0.0,9.383036
12,500,54,4.876208,500,54,4.876214,2e-06,9.752424
13,500,54,4.961793,500,54,4.961886,2.5e-05,9.923704
14,500,54,5.147181,500,54,5.148158,0.000268,10.295607
15,500,54,5.295081,500,54,5.302231,0.00198,10.599292
16,500,54,5.433727,500,54,5.472874,0.010928,10.917529
17,500,54,5.523019,500,54,5.689299,0.046536,11.258854
18,500,54,5.419761,500,54,5.976054,0.153106,11.548921
19,500,54,4.990789,500,54,6.481992,0.389034,11.861815
20,500,54,4.193687,500,54,7.461487,0.763664,12.418838
21,500,54,3.247656,500,54,9.353997,1.209966,13.811619
22,500,54,2.472347,500,54,12.669318,1.716836,16.858501
23,500,54,2.008265,500,54,17.135433,2.47293,21.616628
24,500,54,1.768338,500,54,19.863435,3.866716,25.498489
25,500,54,1.484717,500,54,16.41395,6.204209,24.102876
26,500,54,0.939585,500,54,8.309456,8.936464,18.185505
27,500,54,0.389002,500,54,2.345886,10.989591,13.724479
28,500,54,0.104779,500,54,0.336618,12.297836,12.739233
29,500,54,0.017124,500,54,0.020109,13.22437,13.261603
30,500,54,0.001303,500,54,0.000318,14.029598,14.031219
31,500,54,0.0,500,54,0.0,14.874388,14.874388
32,500,54,0.0,500,54,0.0,15.758786,15.758786
33,500,54,0.0,500,54,0.0,16.671156,16.671156
34,500,54,0.0,500,54,0.0,17.58945,17.58945
35,500,54,0.0,500,54,0.0,18.461174,18.461174
36,500,54,0.0,500,54,0.0,19.213583,19.213583
37,500,54,0.0,500,54,0.0,19.730843,19.730843
38,500,54,0.0,500,54,0.0,19.844544,19.844544
39,500,54,0.0,500,54,0.0,19.327071,19.327071
40,500,54,0.0,500,54,0.0,17.91301,17.91301
41,500,54,0.0,500,54,0.0,15.395205,15.395205
42,500,54,0.0,500,54,0.0,11.830218,11.830218
43,500,54,0.0,500,54,0.0,7.758283,7.758283
44,500,54,0.0,500,54,0.0,4.116872,4.116872
45,500,54,0.0,500,54,0.0,1.672189,1.672189
46,500,54,0.0,500,54,0.0,0.490613,0.490613
47,500,54,0.0,500,54,0.0,0.097064,0.097064
48,500,54,0.0,500,54,0.0,0.011816,0.011816
49,500,54,0.0,500,54,0.0,0.000782,0.000782
50,500,54,0.0,500,54,0.0,2.4e-05,2.4e-05
51,500,54,0.0,500,54,0.0,0.0,0.0
52,500,54,0.0,500,54,0.0,0.0,0.0
53,500,54,0.0,500,54,0.0,0.0,0.0
54,500,54,0.0,500,54,0.0,0.0,0.0
55,500,54,0.0,500,54,0.0,0.0,0.0
56,500,54,0.0,500,54,0.0,0.0,0.0
57,500,54,0.0,500,54,0.0,0.0,0.0
58,500,54,0.0,500,54,0.0,0.0,0.0
59,500,54,0.0,500,54,0.0,0.0,0.0
60,500,54,0.0,500,54,0.0,0.0,0.0
61,500,54,0.0,500,54,0.0,0.0,0.0
62,500,54,0.0,500,54,0.0,0.0,0.0
