Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,MiSn_FB,MiSn_T
0,500,54,0.045333,0,54,0.04,0.0,0.085333
1,500,54,18.656667,0,54,18.728667,0.0,37.385334
2,500,54,2.129667,0,54,2.113667,0.0,4.243334
3,500,54,2.763667,0,54,2.688,0.0,5.451667
4,500,54,6.091333,0,54,6.106,0.0,12.197333
5,500,54,3.020333,0,54,2.949333,0.0,5.969666
6,500,54,4.383333,0,54,4.410667,0.0,8.794
7,500,54,4.358,0,54,4.374333,0.0,8.732333
8,500,54,4.106667,0,54,4.047667,0.0,8.154334
9,500,54,4.576333,0,54,4.609,0.0,9.185333
10,500,54,4.498667,0,54,4.528333,0.0,9.027
11,500,54,4.66,0,54,4.682,0.0,9.342
12,500,54,4.774333,0,54,4.898667,0.0,9.673
13,500,54,4.949333,0,54,4.916667,0.0,9.866
14,500,54,5.133333,0,54,5.098333,0.000333,10.231999
15,500,54,5.297,0,54,5.292667,0.001,10.590667
16,500,54,5.421333,0,54,5.459,0.009333,10.889666
17,500,54,5.453333,0,54,5.626,0.050667,11.13
18,500,54,5.374667,0,54,5.962,0.144333,11.481
19,500,54,4.938667,0,54,6.413,0.369667,11.721334
20,500,54,4.154333,0,54,7.401333,0.749333,12.304999
21,500,54,3.253,0,54,9.289333,1.207333,13.749666
22,500,54,2.417667,0,54,12.709667,1.703,16.830334
23,500,54,1.988333,0,54,17.089333,2.465333,21.542999
24,500,54,1.788333,0,54,20.022,3.838,25.648333
25,500,54,1.503667,0,54,16.448,6.244333,24.196
26,500,54,0.912,0,54,8.262333,8.991333,18.165666
27,500,54,0.359333,0,54,2.395,10.904333,13.658666
28,500,54,0.107,0,54,0.358333,12.34,12.805333
29,500,54,0.020333,0,54,0.023333,13.161333,13.204999
30,500,54,0.001333,0,54,0.0,13.918,13.919333
31,500,54,0.0,0,54,0.0,14.796,14.796
32,500,54,0.0,0,54,0.0,15.683333,15.683333
33,500,54,0.0,0,54,0.0,16.622,16.622
34,500,54,0.0,0,54,0.0,17.556,17.556
35,500,54,0.0,0,54,0.0,18.279667,18.279667
36,500,54,0.0,0,54,0.0,18.890333,18.890333
37,500,54,0.0,0,54,0.0,19.256,19.256
38,500,54,0.0,0,54,0.0,19.240333,19.240333
39,500,54,0.0,0,54,0.0,18.523333,18.523333
40,500,54,0.0,0,54,0.0,17.135333,17.135333
41,500,54,0.0,0,54,0.0,14.665,14.665
42,500,54,0.0,0,54,0.0,11.555333,11.555333
43,500,54,0.0,0,54,0.0,8.235333,8.235333
44,500,54,0.0,0,54,0.0,4.995,4.995
45,500,54,0.0,0,54,0.0,2.570333,2.570333
46,500,54,0.0,0,54,0.0,1.004,1.004
47,500,54,0.0,0,54,0.0,0.332,0.332
48,500,54,0.0,0,54,0.0,0.071,0.071
49,500,54,0.0,0,54,0.0,0.010667,0.010667
50,500,54,0.0,0,54,0.0,0.001333,0.001333
51,500,54,0.0,0,54,0.0,0.000333,0.000333
52,500,54,0.0,0,54,0.0,0.0,0.0
53,500,54,0.0,0,54,0.0,0.0,0.0
54,500,54,0.0,0,54,0.0,0.0,0.0
55,500,54,0.0,0,54,0.0,0.0,0.0
56,500,54,0.0,0,54,0.0,0.0,0.0
57,500,54,0.0,0,54,0.0,0.0,0.0
58,500,54,0.0,0,54,0.0,0.0,0.0
59,500,54,0.0,0,54,0.0,0.0,0.0
