M_4SRA,N_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_T
999,44,37.572,0.03761,13311.808580858085,1,10,1.0,1.0,1306.0,0.0,0.0,0.0,0.0,38.572,0.038572,13000.551488
998,44,37.561,0.037636,13299.887276696574,2,10,2.0,1.0,1546.0,0.0,0.0,0.0,0.0,39.561,0.039561,12705.671394
997,44,37.743,0.037857,13297.534324245555,3,10,3.0,1.0,1860.6666666666667,0.0,0.0,0.0,0.0,40.743,0.040743,12455.411678
996,44,37.653,0.037804,13293.18827185085,4,10,4.0,1.0,2082.32,0.0,0.0,0.0,0.0,41.653,0.041653,12216.591794
995,44,37.874,0.038064,13281.708929608702,5,10,5.0,1.0,2285.4560000000006,0.0,0.0,0.0,0.0,42.874,0.042874,11999.317162
994,44,37.72,0.037948,13309.121951219513,6,10,6.0,1.0,2517.5199999999995,0.0,0.0,0.0,0.0,43.72,0.04372,11828.115279
993,44,37.624,0.037889,13305.965979162238,7,10,7.0,1.0,2671.0285714285715,0.0,0.0,0.0,0.0,44.624,0.044624,11637.703119
992,44,37.954,0.03826,13294.002318596196,8,10,7.999,0.999875,2856.593824228028,0.001,0.001,1.0,11546.0,45.954,0.045954,11477.172912
991,44,37.714,0.038057,13284.185289282495,9,10,8.996,0.999556,3092.9630947087585,0.004,0.003,0.75,14959.333333333334,46.713,0.046713,11321.665018
990,44,37.747,0.038128,13295.246297719023,10,10,9.99,0.999,3349.5155155155144,0.01,0.009,0.9,14817.111111111111,47.746,0.047746,11214.566163
980,44,37.592,0.038359,13263.505852309003,20,10,19.573,0.97865,4946.083788892862,0.427,0.383,0.896956,15269.028720626635,57.548,0.057548,10447.964273
970,44,36.609,0.037741,13251.093283072467,30,10,26.649,0.8883,6271.481631580924,3.351,3.049,0.909878,15332.264348966875,66.307,0.066307,10541.663203
960,44,34.291,0.03572,13226.226298445657,40,10,28.991,0.724775,7127.0396329895475,11.009,10.236,0.929785,15478.286049237982,73.518,0.073518,11134.637341
950,44,30.956,0.032585,13181.642847913168,50,10,27.611,0.55222,7776.140161529825,22.389,20.486,0.915003,15684.037684272185,79.053,0.079053,11942.129179
940,44,27.367,0.029114,13150.314685570214,60,10,24.888,0.4148,8348.6743812279,35.112,31.678,0.902199,15895.648336384877,83.933,0.083933,12762.665674
930,44,24.422,0.02626,13112.954385390221,70,10,21.936,0.313371,8839.82932166302,48.064,42.605,0.886422,16090.938856941677,88.963,0.088963,13485.488551
920,44,21.428,0.023291,13056.875490013064,80,10,19.241,0.240512,9330.198326490308,60.759,52.036,0.856433,16326.198324237064,92.705,0.092705,14118.49555
910,44,19.137,0.02103,12946.194387835083,90,10,17.251,0.191678,9847.816706277896,72.749,60.755,0.835132,16532.764546127888,97.143,0.097143,14639.079687
900,44,17.197,0.019108,12888.224806652324,100,10,15.691,0.15691,10310.948059397106,84.309,68.51,0.812606,16699.312509122745,101.398,0.101398,15064.377877
800,44,7.236,0.009045,11271.461580983969,200,10,9.202,0.04601,13066.921538795914,190.798,101.558,0.53228,18318.235766753973,117.99600000000001,0.117996,17476.571206
700,44,4.997,0.007139,7881.721432859716,300,10,7.627,0.025423,13765.315589353613,292.373,94.792,0.324216,19649.934509241284,107.416,0.107416,18684.643033
600,44,5.962,0.009937,5213.628312646762,400,10,6.909,0.017272,14103.4062816616,393.091,82.042,0.20871,20752.67950561907,94.913,0.094913,19292.567067
500,44,9.738,0.019476,4326.7106181967565,500,10,6.471,0.012942,14341.784268273837,493.529,71.909,0.145704,21609.456869098445,88.11800000000001,0.088118,19165.818879
400,44,17.473,0.043682,4181.220053797287,600,10,6.131,0.010218,14506.013048442343,593.869,65.921,0.111003,22193.8578905053,89.525,0.089525,18151.757945
300,44,31.452,0.10484,4245.1733435075685,700,10,5.886,0.008409,14651.620115528372,694.114,62.26,0.089697,22360.745904272404,99.598,0.099598,16184.448162
200,44,53.386,0.26693,4284.338890345783,800,10,5.593,0.006991,14758.015018773465,794.407,63.635,0.080104,21638.981535318617,122.614,0.122614,13768.916143
100,44,65.845,0.65845,3889.9690181486826,900,10,5.385,0.005983,14833.35376044568,894.615,73.973,0.082687,19375.572411555568,145.203,0.145203,12184.884872
90,44,63.996,0.711067,3786.815050940684,910,10,5.483,0.006025,14854.903884734636,904.517,75.481,0.083449,19046.297028391255,144.95999999999998,0.14496,12151.103753
80,44,61.218,0.765225,3662.1383906694105,920,10,5.444,0.005917,14869.203526818517,914.556,76.982,0.084174,18827.560884362574,143.644,0.143644,12214.363454
70,44,56.613,0.808757,3511.978132231113,930,10,5.338,0.00574,14871.889846384414,924.662,78.511,0.084908,18623.603902637846,140.462,0.140462,12390.308639
60,44,51.515,0.858583,3341.7752111035625,940,10,5.362,0.005704,14860.822827303246,934.638,79.289,0.084834,18403.102498455017,136.166,0.136166,12565.536742
50,44,44.966,0.89932,3135.4498065204825,950,10,5.386,0.005669,14899.048644634237,944.614,80.659,0.085388,18217.47571876666,131.01100000000002,0.131011,12904.552183
40,44,37.352,0.9338,2884.033840222746,960,10,5.42,0.005646,14917.217712177124,954.58,80.963,0.084815,18135.668861084694,123.73499999999999,0.123735,13390.664808
30,44,28.848,0.9616,2585.2013311148094,970,10,5.291,0.005455,14911.836325836324,964.709,81.54,0.084523,18071.48834927642,115.679,0.115679,14065.003795
20,44,19.606,0.9803,2243.117209017648,980,10,5.374,0.005484,14906.535913658356,974.626,81.165,0.083278,18078.07663401712,106.14500000000001,0.106145,14992.636205
10,44,9.9,0.99,1811.5353535353536,990,10,5.369,0.005423,14923.493015459117,984.631,81.539,0.082812,18022.041158218766,96.808,0.096808,16192.439137
