M_4SRA,N_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_T
999,44,27.762,0.02779,15440.484547222823,1,10,1.0,1.0,1306.0,0.0,0.0,0.0,0.0,28.762,0.028762,14949.05542
998,44,27.421,0.027476,15423.736771087853,2,10,2.0,1.0,1563.92,0.0,0.0,0.0,0.0,29.421,0.029421,14481.565073
997,44,27.616,0.027699,15427.163818076477,3,10,3.0,1.0,1853.4133333333332,0.0,0.0,0.0,0.0,30.616,0.030616,14097.099425
996,44,27.338,0.027448,15431.15838759236,4,10,4.0,1.0,2086.48,0.0,0.0,0.0,0.0,31.338,0.031338,13727.83611
995,44,27.348,0.027485,15427.803422553754,5,10,5.0,1.0,2298.256,0.0,0.0,0.0,0.0,32.348,0.032348,13398.3816
994,44,27.501,0.027667,15422.8284789644,6,10,5.998,0.999667,2517.497165721907,0.002,0.002,1.0,16936.0,33.501000000000005,0.033501,13112.355631
993,44,27.37,0.027563,15410.415783704784,7,10,6.999,0.999857,2706.702957565366,0.001,0.001,1.0,17826.0,34.37,0.03437,12823.541461
992,44,27.615,0.027838,15412.251674814413,8,10,7.996,0.9995,2920.887443721861,0.004,0.004,1.0,18716.0,35.614999999999995,0.035615,12608.159764
991,44,27.367,0.027616,15408.980231665873,9,10,8.997,0.999667,3118.230743581193,0.003,0.002,0.666667,16045.999999999998,36.36600000000001,0.036366,12368.266403
990,44,27.28,0.027556,15407.470674486802,10,10,9.991,0.9991,3304.214392953658,0.009,0.006,0.666667,17826.0,37.277,0.037277,12163.939212
980,44,27.205,0.02776,15409.112663113401,20,10,19.591,0.97955,4972.597927619825,0.409,0.365,0.892421,17543.150684931505,47.161,0.047161,11090.229766
970,44,26.319,0.027133,15385.034917740037,30,10,26.605,0.886833,6218.20747979703,3.395,3.127,0.92106,17512.920370962587,56.051,0.056051,11152.647517
960,44,24.078,0.025081,15388.868178420133,40,10,28.96,0.724,7135.436464088397,11.04,10.217,0.925453,17708.227659782708,63.254999999999995,0.063255,11984.829183
950,44,20.84,0.021937,15367.567178502879,50,10,27.627,0.55254,7757.798602816085,22.373,20.498,0.916194,17940.71265489316,68.965,0.068965,13083.934315
940,44,18.195,0.019356,15353.663643858205,60,10,25.014,0.4169,8335.151675061965,34.986,31.282,0.894129,18253.218208554437,74.491,0.074491,14214.503309
930,44,15.288,0.016439,15322.845892203033,70,10,22.18,0.316857,8839.648331830478,47.82,41.406,0.865872,18552.040187412458,78.874,0.078874,15194.929178
920,44,13.115,0.014255,15277.675181090355,80,10,19.486,0.243575,9352.605768243866,60.514,50.441,0.833543,18854.10253563569,83.042,0.083042,16059.721249
910,44,11.217,0.012326,15257.322100383348,90,10,17.496,0.1944,9852.867855509829,72.504,57.384,0.79146,19140.341279799257,86.09700000000001,0.086097,16747.116648
900,44,9.739,0.010821,15235.048156894956,100,10,15.609,0.15609,10301.425715933114,84.391,63.465,0.752035,19393.936973134798,88.813,0.088813,17339.863511
800,44,2.605,0.003256,14449.808061420343,200,10,9.003,0.045015,13045.233588803732,190.997,76.125,0.398566,21428.205582922823,87.733,0.087733,20360.755223
700,44,1.179,0.001684,10905.287531806618,300,10,7.549,0.025163,13774.342826864486,292.451,62.835,0.214857,23045.83194079733,71.563,0.071563,21867.79059
600,44,1.261,0.002102,6400.686756542427,400,10,6.812,0.01703,14103.933059307104,393.188,52.721,0.134086,24303.294436751967,60.794,0.060794,22789.111491
500,44,2.602,0.005204,5055.423520368946,500,10,6.48,0.01296,14329.8024691358,493.52,47.007,0.095248,25207.92396877061,56.089,0.056089,23016.281517
400,44,5.756,0.01439,4857.2960389159125,600,10,6.057,0.010095,14527.80617467393,593.943,43.264,0.072842,25735.52940088757,55.077000000000005,0.055077,22321.031683
300,44,13.392,0.04464,4984.2676224611705,700,10,5.881,0.008401,14644.901547355894,694.119,41.246,0.059422,25953.340348154972,60.519000000000005,0.060519,20214.270791
200,44,30.253,0.151265,4981.911149307506,800,10,5.63,0.007037,14756.003552397871,794.37,42.015,0.052891,25213.11650600976,77.898,0.077898,16600.209864
100,44,53.838,0.53838,4602.925591589584,900,10,5.449,0.006054,14864.744723802534,894.551,50.942,0.056947,21810.227160299943,110.229,0.110229,13062.505275
90,44,54.182,0.602022,4483.687423867706,910,10,5.378,0.00591,14856.435105987357,904.622,53.849,0.059527,21323.756690003534,113.40899999999999,0.113409,12971.598674
80,44,52.939,0.661738,4341.0516632350445,920,10,5.443,0.005916,14859.466838140732,914.557,55.164,0.060318,20767.110869407585,113.54599999999999,0.113546,12825.532524
70,44,50.959,0.727986,4194.900488628112,930,10,5.435,0.005844,14882.242870285188,924.565,57.443,0.06213,20363.79294256915,113.837,0.113837,12864.097631
60,44,47.45,0.790833,4007.497997892519,940,10,5.295,0.005633,14880.285174693106,934.705,59.16,0.063293,19837.61663286004,111.905,0.111905,12890.758143
50,44,42.65,0.853,3766.337162954279,950,10,5.326,0.005606,14877.220428088624,944.674,60.942,0.064511,19531.95746775623,108.918,0.108918,13130.859068
40,44,35.899,0.897475,3502.1046268698287,960,10,5.481,0.005709,14903.985769020252,954.519,62.179,0.065142,19257.809453352416,103.559,0.103559,13565.620892
30,44,28.059,0.9353,3182.2186820627967,970,10,5.26,0.005423,14920.479087452472,964.74,63.677,0.066004,19114.352466353626,96.99600000000001,0.096996,14278.07555
20,44,19.33,0.9665,2768.5628556647707,980,10,5.216,0.005322,14902.564417177913,974.784,63.947,0.065601,18921.328944281984,88.493,0.088493,15156.117636
10,44,9.87,0.987,2334.7700101317128,990,10,5.344,0.005398,14932.347305389221,984.656,64.059,0.065057,18897.406671974273,79.273,0.079273,16567.95653
9,44,8.888,0.987556,2276.434293429343,991,10,5.284,0.005332,14945.364118092355,985.716,64.013,0.064941,18922.090481620922,78.185,0.078185,16761.067084
8,44,7.897,0.987125,2206.76484741041,992,10,5.336,0.005379,14935.505247376313,986.664,64.075,0.064941,18834.884276238783,77.308,0.077308,16867.179179
7,44,6.938,0.991143,2164.1550879215915,993,10,5.369,0.005407,14949.002421307505,987.631,63.951,0.064752,18835.337461493957,76.258,0.076258,17044.962732
6,44,5.954,0.992333,2116.319113201209,994,10,5.314,0.005346,14928.100112909297,988.686,64.166,0.0649,18883.247763613126,75.434,0.075434,17281.212239
5,44,4.973,0.9946,2052.9736577518597,995,10,5.29,0.005317,14949.977315689981,989.71,64.278,0.064946,18845.461090886463,74.54100000000001,0.074541,17448.697576
4,44,3.982,0.9955,1987.4866901054747,996,10,5.416,0.005438,14930.342688330871,990.584,64.058,0.064667,18878.528021480528,73.456,0.073456,17671.771618
3,44,2.992,0.997333,1943.4264705882354,997,10,5.277,0.005293,14939.685806329355,991.723,64.5,0.065038,18842.09023255814,72.769,0.072769,17864.286633
2,44,1.995,0.9975,1877.3784461152882,998,10,5.169,0.005179,14922.68407815825,992.831,63.728,0.064188,18925.90302535777,70.892,0.070892,18154.24409
1,44,1.0,1.0,1806.0,999,10,5.311,0.005316,14923.262285821878,993.689,64.031,0.064438,18883.03050085115,70.34200000000001,0.070342,18341.286458
