M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60.0,18,5,20,5,59.995332,0.999922,188.601434,0.000249,59.995332,60.0,36,5,20,5,59.999421,0.99999,150.328431,0.000124,482400,1e-06,20,5,1e-06,1.0,203.141176,0.0,1e-06,119.994754,0.999956,150.328432,169.464281,0.000249,482459.995333
120.0,18,5,20,5,114.649015,0.955408,214.504366,0.000475,114.649015,120.0,36,5,20,5,119.990664,0.999922,162.601434,0.000249,482400,0.00818,20,5,0.00818,1.0,164.610166,0.0,0.00818,234.647859,0.977699,162.601571,187.961293,0.000475,482514.657195
180.0,18,5,20,5,114.430243,0.635724,272.286332,0.000474,114.430243,180.0,36,5,20,5,179.291692,0.996065,174.003944,0.000372,482400,0.706575,20,5,0.706574,0.999999,185.750525,3e-06,0.706574,294.428509,0.817857,174.050055,212.229785,0.000477,482515.136817
240.0,18,5,20,5,77.804672,0.324186,403.764886,0.000323,77.804672,240.0,36,5,20,5,229.300925,0.955421,188.503318,0.000475,482400,10.696764,20,5,10.696451,0.999971,123.645116,4.4e-05,10.696451,317.802048,0.662088,185.61265,239.020938,0.000367,482488.501123
300.0,18,5,20,5,41.41716,0.138057,745.561592,0.000172,41.41716,300.0,36,5,20,5,247.178188,0.823927,210.904672,0.000512,482400,52.818923,20,5,52.704081,0.997826,144.023856,0.000219,52.704081,341.299429,0.568832,199.15042,265.458175,0.000391,482494.121241
360.0,18,5,20,5,18.488015,0.051356,1742.41115,7.7e-05,18.488015,360.0,36,5,20,5,229.619937,0.637833,245.94223,0.000476,482400,130.376596,20,5,111.276348,0.853499,175.966916,0.000461,111.276348,359.3843,0.499145,223.100686,301.259456,0.000538,482529.764363
420.0,18,5,20,5,8.843239,0.021055,4037.781434,3.7e-05,8.843239,420.0,36,5,20,5,197.616001,0.470514,296.411198,0.00041,482400,222.379954,20,5,88.495618,0.397948,197.441895,0.000367,88.495618,294.954858,0.351137,265.799545,378.889859,0.000404,482497.338857
480.0,18,5,20,5,5.007645,0.010433,8012.123514,2.1e-05,5.007645,480.0,36,5,20,5,166.214819,0.346281,363.451177,0.000345,482400,313.780559,20,5,59.752525,0.190428,219.177462,0.000248,59.752525,230.974989,0.240599,325.300891,491.954775,0.000269,482464.76017
540.0,18,5,20,5,3.352419,0.006208,13380.247927,1.4e-05,3.352419,540.0,36,5,20,5,140.22828,0.259682,447.045061,0.000291,482400,399.76652,20,5,46.526566,0.116384,231.226079,0.000193,46.526566,190.107265,0.176025,393.277695,622.294539,0.000207,482449.878985
600.0,18,5,20,5,2.602737,0.004338,19099.811766,1.1e-05,2.602737,600.0,36,5,20,5,119.963855,0.19994,546.141392,0.000249,482400,480.030367,20,5,40.31519,0.083985,238.632603,0.000167,40.31519,162.881782,0.135735,468.793319,766.503969,0.000178,482442.917927
660.0,18,5,20,5,2.274352,0.003446,24015.411384,9e-06,2.274352,660.0,36,5,20,5,104.47813,0.1583,658.762213,0.000217,482400,555.515514,20,5,37.003654,0.066611,243.085089,0.000153,37.003654,143.756136,0.108906,550.044525,921.287837,0.000162,482439.278006
720.0,18,5,20,5,2.158,0.002997,27595.816193,9e-06,2.158,720.0,36,5,20,5,92.695974,0.128744,782.268631,0.000192,482400,627.297092,20,5,34.987007,0.055774,245.936017,0.000145,34.987007,129.840981,0.090167,635.305639,1083.398231,0.000154,482437.145007
780.0,18,5,20,5,2.154265,0.002762,29938.9229,9e-06,2.154265,780.0,36,5,20,5,83.70711,0.107317,913.746446,0.000174,482400,696.285379,20,5,33.611692,0.048273,247.933228,0.000139,33.611692,119.473067,0.076585,722.991781,1249.795515,0.000148,482435.765957
840.0,18,5,20,5,2.212815,0.002634,31384.216934,9e-06,2.212815,840.0,36,5,20,5,76.805784,0.091435,1050.394707,0.000159,482400,763.186127,20,5,32.589164,0.042701,249.452775,0.000135,32.589164,111.607763,0.066433,811.791111,1417.9418,0.000144,482434.801979
900.0,18,5,20,5,2.306958,0.002563,32251.176015,1e-05,2.306958,900.0,36,5,20,5,71.462444,0.079403,1189.814034,0.000148,482400,828.52889,20,5,31.78038,0.038358,250.684176,0.000132,31.78038,105.549782,0.058639,900.729499,1585.943263,0.000142,482434.087338
960.0,18,5,20,5,2.421994,0.002523,32765.87717,1e-05,2.421994,960.0,36,5,20,5,67.284678,0.070088,1330.151047,0.000139,482400,892.706078,20,5,31.112316,0.034852,251.727141,0.000129,31.112316,100.818988,0.05251,989.162324,1752.540475,0.000139,482433.53431
1020.0,18,5,20,5,2.549564,0.0025,33070.977501,1.1e-05,2.549564,1020.0,36,5,20,5,63.982852,0.062728,1470.112517,0.000133,482400,956.007326,20,5,30.543389,0.031949,252.637452,0.000127,30.543389,97.075805,0.047586,1076.721072,1917.006707,0.000138,482433.092953
1080.0,18,5,20,5,2.684783,0.002486,33252.252801,1.1e-05,2.684783,1080.0,36,5,20,5,61.343198,0.056799,1608.893919,0.000127,482400,1018.646402,20,5,30.048125,0.029498,253.448526,0.000125,30.048125,94.076106,0.043554,1163.243378,2079.012861,0.000136,482432.732908
1140.0,18,5,20,5,2.824728,0.002478,33360.384562,1.2e-05,2.824728,1140.0,36,5,20,5,59.207627,0.051937,1746.069971,0.000123,482400,1080.781396,20,5,29.609894,0.027397,254.181786,0.000123,29.609894,91.642249,0.040194,1248.705819,2238.497744,0.000135,482432.434622
1200.0,18,5,20,5,2.967623,0.002473,33425.135049,1.2e-05,2.967623,1200.0,36,5,20,5,57.458851,0.047882,1881.482183,0.000119,482400,1142.529594,20,5,29.217243,0.025572,254.851825,0.000121,29.217243,89.643717,0.037352,1333.168891,2395.561885,0.000133,482432.184866
1260.0,18,5,20,5,3.112368,0.00247,33464.084789,1.3e-05,3.112368,1260.0,36,5,20,5,56.009496,0.044452,2015.142623,0.000116,482400,1203.978371,20,5,28.861927,0.023972,255.469138,0.00012,28.861927,87.983791,0.034914,1416.736636,2550.39023,0.000133,482431.974295
1320.0,18,5,20,5,3.25828,0.002468,33487.604999,1.4e-05,3.25828,1320.0,36,5,20,5,54.794149,0.041511,2147.16086,0.000114,482400,1265.19314,20,5,28.537794,0.022556,256.041592,0.000118,28.537794,86.590223,0.032799,1499.529589,2703.200197,0.000132,482431.796074
1380.0,18,5,20,5,3.404929,0.002467,33501.874265,1.4e-05,3.404929,1380.0,36,5,20,5,53.763566,0.038959,2277.692769,0.000111,482400,1326.223145,20,5,28.24012,0.021294,256.57527,0.000117,28.24012,85.408615,0.030945,1581.66795,2854.209791,0.000131,482431.645049
1440.0,18,5,20,5,3.552046,0.002467,33510.56047,1.5e-05,3.552046,1440.0,36,5,20,5,52.880434,0.036723,2406.907977,0.00011,482400,1387.105699,20,5,27.965186,0.020161,257.075036,0.000116,27.965186,84.397666,0.029305,1663.262519,3003.620288,0.000131,482431.517232
1500.0,18,5,20,5,3.699457,0.002466,33515.89872,1.5e-05,3.699457,1500.0,36,5,20,5,52.11628,0.034744,2534.970503,0.000108,482400,1447.869276,20,5,27.710006,0.019138,257.544866,0.000115,27.710006,83.525743,0.027842,1744.410385,3151.608342,0.00013,482431.409463
1560.0,18,5,20,5,3.847055,0.002466,33519.202508,1.6e-05,3.847055,1560.0,36,5,20,5,51.449209,0.03298,2662.028574,0.000107,482400,1508.535768,20,5,27.472147,0.018211,257.988023,0.000114,27.472147,82.768411,0.026528,1825.193543,3298.323137,0.00013,482431.319202
1620.0,18,5,20,5,3.994771,0.002466,33521.274411,1.7e-05,3.994771,1620.0,36,5,20,5,50.862245,0.031396,2788.210313,0.000105,482400,1569.122155,20,5,27.249594,0.017366,263.407268,0.000113,27.249594,82.10661,0.025342,1907.423754,3445.547101,0.00013,482431.244365
1680.0,18,5,20,5,4.142562,0.002466,33522.593108,1.7e-05,4.142562,1680.0,36,5,20,5,50.342105,0.029966,2913.623287,0.000104,482400,1629.641717,20,5,27.04066,0.016593,263.804945,0.000112,27.04066,81.525327,0.024263,1987.669855,3590.059929,0.000129,482431.183222
1740.0,18,5,20,5,4.2904,0.002466,33523.454606,1.8e-05,4.2904,1740.0,36,5,20,5,49.878307,0.028666,3038.355233,0.000103,482400,1690.104937,20,5,26.84392,0.015883,264.183045,0.000111,26.84392,81.012627,0.023279,2067.715313,3733.600113,0.000129,482431.13432
1800.0,18,5,20,5,4.438267,0.002466,33524.040196,1.8e-05,4.438267,1800.0,36,5,20,5,49.462497,0.027479,3162.476484,0.000103,482400,1750.52017,20,5,26.658153,0.015229,264.543334,0.000111,26.658153,80.558917,0.022377,2147.593594,3876.229637,0.000129,482431.09642
