M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
80.0,27,5,20,5,79.99768,0.999971,186.10515,0.000221,79.99768,40.0,27,5,20,5,39.999615,0.99999,148.684794,0.000111,361800,0.0,20,5,0.0,0.0,0.0,0.0,0.0,119.997295,0.999977,148.684795,173.631537,0.000221,361879.99768
160.0,27,5,20,5,157.169517,0.982309,207.400492,0.000434,157.169517,80.0,27,5,20,5,79.997687,0.999971,160.105145,0.000221,361800,0.001543,20,5,0.001543,1.0,159.850682,0.0,0.001543,237.168747,0.988203,160.10514,191.447329,0.000434,361957.17106
240.0,27,5,20,5,183.196567,0.763319,247.03274,0.000506,183.196567,120.0,27,5,20,5,119.845886,0.998716,170.053427,0.000331,361800,0.152958,20,5,0.152958,1.0,179.514353,0.0,0.152958,303.195411,0.842209,170.065487,216.570599,0.000506,361983.349525
320.0,27,5,20,5,143.92561,0.449768,330.66849,0.000398,143.92561,160.0,27,5,20,5,157.169667,0.98231,181.400399,0.000434,361800,2.828792,20,5,2.828776,0.999994,193.131376,8e-06,2.828776,303.924053,0.633175,181.607803,252.196656,0.000406,361946.754386
400.0,27,5,20,5,98.659464,0.246649,487.016532,0.000273,98.659464,200.0,27,5,20,5,181.752441,0.908762,197.167251,0.000502,361800,18.245633,20,5,18.244906,0.99996,126.478898,5e-05,18.244906,298.656811,0.497761,190.718654,288.598859,0.000323,361916.90437
480.0,27,5,20,5,61.120991,0.127335,801.926911,0.000169,61.120991,240.0,27,5,20,5,183.268994,0.763621,220.999046,0.000507,361800,56.728695,20,5,56.691777,0.999349,140.870796,0.000157,56.691777,301.081762,0.418169,202.068398,323.842452,0.000326,361917.812768
560.0,27,5,20,5,35.187026,0.062834,1464.370332,9.7e-05,35.187026,280.0,27,5,20,5,167.266396,0.59738,255.76315,0.000462,361800,112.730908,20,5,111.466488,0.988784,158.81397,0.000308,111.466488,313.91991,0.373714,216.992753,356.810286,0.000405,361946.653514
640.0,27,5,20,5,20.194562,0.031554,2760.122178,5.6e-05,20.194562,320.0,27,5,20,5,145.457368,0.454554,303.032904,0.000402,361800,174.53955,20,5,158.342323,0.9072,173.544832,0.000438,158.342323,323.994253,0.337494,235.542901,392.899929,0.000494,361978.536885
720.0,27,5,20,5,12.171343,0.016905,5017.428767,3.4e-05,12.171343,360.0,27,5,20,5,124.661114,0.346281,363.451178,0.000345,361800,235.335419,20,5,166.858468,0.709024,185.357032,0.000461,166.858468,303.690925,0.281195,261.514573,452.122386,0.000495,361979.029811
800.0,27,5,20,5,7.929317,0.009912,8449.81676,2.2e-05,7.929317,400.0,27,5,20,5,107.115888,0.26779,436.963423,0.000296,361800,292.88026,20,5,148.405506,0.506711,194.070271,0.00041,148.405506,263.450711,0.219542,295.892335,541.308456,0.000432,361956.334823
880.0,27,5,20,5,5.674521,0.006448,12907.804267,1.6e-05,5.674521,440.0,27,5,20,5,93.011241,0.211389,522.868837,0.000257,361800,346.984522,20,5,126.396066,0.36427,206.3404,0.000349,126.396066,225.081828,0.170517,340.523272,657.356046,0.000365,361932.070587
960.0,27,5,20,5,4.479214,0.004666,17782.829985,1.2e-05,4.479214,480.0,27,5,20,5,81.883284,0.17059,619.872473,0.000226,361800,398.112094,20,5,108.443683,0.272395,212.799724,0.0003,108.443683,194.806181,0.135282,387.932308,787.896358,0.000312,361912.922897
1040.0,27,5,20,5,3.86405,0.003715,22294.807316,1.1e-05,3.86405,520.0,27,5,20,5,73.153776,0.14068,726.218059,0.000202,361800,446.841216,20,5,94.987071,0.212575,218.555327,0.000263,94.987071,172.004897,0.11026,439.426379,930.402428,0.000274,361898.851121
1120.0,27,5,20,5,3.575646,0.003193,25923.112553,1e-05,3.575646,560.0,27,5,20,5,66.301915,0.118396,839.892123,0.000183,361800,493.692692,20,5,85.033214,0.172239,223.607394,0.000235,85.033214,154.910775,0.092209,493.609858,1080.572899,0.000245,361888.60886
1200.0,27,5,20,5,3.47628,0.002897,28554.391023,1e-05,3.47628,600.0,27,5,20,5,60.903087,0.101505,958.850137,0.000168,361800,539.091135,20,5,77.610626,0.143966,227.969505,0.000215,77.610626,141.989993,0.078883,549.33037,1234.966239,0.000225,361881.086906
1280.0,27,5,20,5,3.488994,0.002726,30338.349633,1e-05,3.488994,640.0,27,5,20,5,56.624576,0.088476,1081.211555,0.000157,361800,583.369262,20,5,71.993432,0.12341,231.686429,0.000199,71.993432,132.107002,0.068806,605.693155,1390.943433,0.000209,361875.482426
1360.0,27,5,20,5,3.569637,0.002625,31501.012209,1e-05,3.569637,680.0,27,5,20,5,53.210072,0.07825,1205.390054,0.000147,361800,626.78338,20,5,67.671229,0.107966,234.825459,0.000187,67.671229,124.450938,0.061005,662.052925,1546.609457,0.000197,361871.240866
1440.0,27,5,20,5,3.692252,0.002564,32243.163917,1e-05,3.692252,720.0,27,5,20,5,50.463508,0.070088,1330.15106,0.000139,361800,669.529558,20,5,64.288638,0.096021,237.464102,0.000178,64.288638,118.444398,0.054835,717.985111,1700.71546,0.000188,361867.98089
1520.0,27,5,20,5,3.841235,0.002527,32712.454017,1.1e-05,3.841235,760.0,27,5,20,5,48.235242,0.063467,1454.608503,0.000133,361800,711.75744,20,5,61.596654,0.086542,239.68038,0.00017,61.596654,113.673131,0.049857,773.244437,1852.532116,0.000181,361865.437889
1600.0,27,5,20,5,4.007013,0.002504,33008.339838,1.1e-05,4.007013,800.0,27,5,20,5,46.411039,0.058014,1578.182317,0.000128,361800,753.581257,20,5,59.418822,0.078849,241.546728,0.000164,59.418822,109.836874,0.045765,827.7201,2001.717109,0.000175,361863.425835
1680.0,27,5,20,5,4.183609,0.00249,33195.006962,1.2e-05,4.183609,840.0,27,5,20,5,44.903565,0.053457,1700.537127,0.000124,361800,795.088346,20,5,57.628554,0.072481,243.126925,0.000159,57.628554,106.715728,0.042348,881.394372,2148.194711,0.000171,361861.812163
1760.0,27,5,20,5,4.367239,0.002481,33313.027834,1.2e-05,4.367239,880.0,27,5,20,5,43.645883,0.049598,1821.518941,0.000121,361800,836.345643,20,5,56.133962,0.067118,244.475117,0.000155,56.133962,104.147084,0.03945,934.308522,2292.057585,0.000167,361860.501201
1840.0,27,5,20,5,4.555472,0.002476,33387.888528,1.3e-05,4.555472,920.0,27,5,20,5,42.586537,0.04629,1941.098157,0.000118,361800,877.404604,20,5,54.867626,0.062534,245.636059,0.000152,54.867626,102.009635,0.03696,986.536777,2433.49275,0.000165,361859.423098
1920.0,27,5,20,5,4.746736,0.002472,33435.529061,1.3e-05,4.746736,960.0,27,5,20,5,41.685823,0.043423,2059.324051,0.000115,361800,918.304933,20,5,53.779576,0.058564,246.64611,0.000149,53.779576,100.212135,0.034796,1038.168197,2572.730045,0.000162,361858.526312
2000.0,27,5,20,5,4.940002,0.00247,33465.964547,1.4e-05,4.940002,1000.0,27,5,20,5,40.91298,0.040913,2176.290434,0.000113,361800,959.077391,20,5,52.832438,0.055087,247.534382,0.000146,52.832438,98.68542,0.032895,1089.294539,2710.008263,0.00016,361857.77244
2080.0,27,5,20,5,5.134596,0.002469,33485.479441,1.4e-05,5.134596,1040.0,27,5,20,5,40.24406,0.038696,2292.111923,0.000111,361800,999.745925,20,5,51.998004,0.052011,248.324008,0.000144,51.998004,97.37666,0.03121,1140.003139,2845.555098,0.000158,361857.1326
2160.0,27,5,20,5,5.330072,0.002468,33498.046868,1.5e-05,5.330072,1080.0,27,5,20,5,39.660325,0.036723,2406.908007,0.00011,361800,1040.329275,20,5,51.254801,0.049268,249.03325,0.000142,51.254801,96.245198,0.029705,1190.372914,2979.57624,0.000157,361856.584873
2240.0,27,5,20,5,5.526135,0.002467,33506.179557,1.5e-05,5.526135,1120.0,27,5,20,5,39.147029,0.034953,2520.793497,0.000108,361800,1080.842186,20,5,50.586338,0.046803,249.676494,0.00014,50.586338,95.259502,0.028351,1240.47274,3112.250862,0.000155,361856.112473
2320.0,27,5,20,5,5.722588,0.002467,33511.479905,1.6e-05,5.722588,1160.0,27,5,20,5,38.692494,0.033356,2633.873344,0.000107,361800,1121.296336,20,5,49.979834,0.044573,250.265075,0.000138,49.979834,94.394916,0.027125,1290.361244,3243.731137,0.000154,361855.702422
2400.0,27,5,20,5,5.919303,0.002466,33514.950691,1.6e-05,5.919303,1200.0,27,5,20,5,38.287413,0.031906,2746.240038,0.000106,361800,1161.701032,20,5,49.425296,0.042546,250.807917,0.000137,49.425296,93.632012,0.026009,1340.087239,3374.143346,0.000153,361855.344599
2480.0,27,5,20,5,6.11619,0.002466,33517.259336,1.7e-05,6.11619,1240.0,27,5,20,5,37.924316,0.030584,2857.973084,0.000105,361800,1202.063743,20,5,48.914832,0.040692,251.312092,0.000135,48.914832,92.955338,0.024988,1389.690778,3503.591042,0.000152,361855.031022
2560.0,27,5,20,5,6.313194,0.002466,33518.805189,1.7e-05,6.313194,1280.0,27,5,20,5,37.597167,0.029373,2969.139242,0.000104,361800,1242.390507,20,5,48.442149,0.038991,251.783224,0.000134,48.442149,92.35251,0.02405,1439.204194,3632.157526,0.000151,361854.755343
2640.0,27,5,20,5,6.510275,0.002466,33519.862582,1.8e-05,6.510275,1320.0,27,5,20,5,37.30105,0.028258,3079.793811,0.000103,361800,1282.686239,20,5,48.002181,0.037423,252.225802,0.000133,48.002181,91.813506,0.023185,1488.653244,3759.909298,0.000151,361854.512456
2720.0,27,5,20,5,6.707407,0.002466,33520.603965,1.9e-05,6.707407,1360.0,27,5,20,5,37.031931,0.027229,3189.981921,0.000102,361800,1322.954973,20,5,47.590801,0.035973,252.643473,0.000132,47.590801,91.330139,0.022385,1538.058304,3886.899037,0.000151,361854.298208
2800.0,27,5,20,5,6.904572,0.002466,33521.143449,1.9e-05,6.904572,1400.0,27,5,20,5,36.786478,0.026276,3299.739595,0.000102,361800,1363.20004,20,5,47.204621,0.034628,253.039182,0.00013,47.204621,90.895671,0.021642,1587.435077,4013.167637,0.000149,361854.109193
2880.0,27,5,20,5,7.101761,0.002466,33521.54011,2e-05,7.101761,1440.0,27,5,20,5,36.561916,0.02539,3409.095289,0.000101,361800,1403.424217,20,5,46.840826,0.033376,253.415359,0.000129,46.840826,90.504503,0.02095,1636.795591,4138.746628,0.000149,361853.942587
2960.0,27,5,20,5,7.298964,0.002466,33521.851306,2e-05,7.298964,1480.0,27,5,20,5,36.355916,0.024565,3518.071169,0.0001,361800,1443.629832,20,5,46.497057,0.032208,253.774016,0.000129,46.497057,90.151937,0.020304,1686.148846,4263.660255,0.000149,361853.796021
3040.0,27,5,20,5,7.496178,0.002466,33522.097106,2.1e-05,7.496178,1520.0,27,5,20,5,36.166513,0.023794,3626.683768,0.0001,361800,1483.81885,20,5,46.171315,0.031117,254.116849,0.000128,46.171315,89.834006,0.0197,1735.501388,4387.926567,0.000149,361853.667493
3120.0,27,5,20,5,7.693397,0.002466,33522.308623,2.1e-05,7.693397,1560.0,27,5,20,5,35.992033,0.023072,3734.945416,9.9e-05,361800,1523.992945,20,5,45.861897,0.030093,254.445278,0.000127,45.861897,89.547327,0.019134,1784.857756,4511.559015,0.000148,361853.555294
3200.0,27,5,20,5,7.890621,0.002466,33522.488388,2.2e-05,7.890621,1600.0,27,5,20,5,35.831043,0.022394,3842.864705,9.9e-05,361800,1564.153549,20,5,45.567333,0.029132,259.760532,0.000126,45.567333,89.288997,0.018602,1837.020006,4637.118905,0.000148,361853.457954
