M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60.0,27,5,20,5,59.999377,0.99999,180.81051,0.000166,59.999377,60.0,27,5,20,5,59.999377,0.99999,154.81051,0.000166,361800,4.5e-05,20,10,4.5e-05,1.0,148.638318,0.0,4.5e-05,119.998799,0.99999,154.810505,167.810502,0.000166,361859.999422
120.0,27,5,20,5,119.844293,0.998702,196.055358,0.000331,119.844293,120.0,27,5,20,5,119.845886,0.998716,170.053427,0.000331,361800,0.152958,20,10,0.152958,1.0,161.795039,0.0,0.152958,239.843137,0.999346,170.0429,183.040748,0.000331,361919.997251
180.0,27,5,20,5,170.934297,0.949635,214.870219,0.000472,170.934297,180.0,27,5,20,5,171.975694,0.955421,188.503317,0.000475,361800,8.022573,20,10,8.022573,1.0,94.51372,2.2e-05,8.022573,350.932564,0.974813,184.314175,199.197593,0.000494,361978.95687
240.0,27,5,20,5,165.845074,0.691021,254.805722,0.000458,165.845074,240.0,27,5,20,5,183.268994,0.763621,220.999046,0.000507,361800,56.728695,20,10,56.728695,1.0,124.099861,0.000157,56.728695,405.842763,0.845506,198.094807,221.269363,0.000615,362022.573769
300.0,27,5,20,5,113.697163,0.378991,350.847959,0.000314,113.697163,300.0,27,5,20,5,156.520605,0.521735,277.776972,0.000433,361800,143.476506,20,10,143.476506,1.0,155.231907,0.000397,143.476506,413.694274,0.68949,219.168615,255.358548,0.000711,362057.173669
360.0,27,5,20,5,71.32804,0.198133,544.642419,0.000197,71.32804,360.0,27,5,20,5,124.661114,0.346281,363.451178,0.000345,361800,235.335419,20,10,235.229395,0.999549,194.25402,0.00065,235.229395,431.218549,0.598915,252.861584,301.125174,0.000847,362106.557435
420.0,27,5,20,5,45.096239,0.107372,891.841049,0.000125,45.096239,420.0,27,5,20,5,99.656161,0.237277,478.435112,0.000275,361800,320.339794,20,10,275.329954,0.859493,241.667478,0.000761,275.329954,420.082354,0.500098,304.59075,367.632627,0.000886,362120.426193
480.0,27,5,20,5,29.164612,0.06076,1476.734314,8.1e-05,29.164612,480.0,27,5,20,5,81.883284,0.17059,619.872473,0.000226,361800,398.112094,20,10,196.914739,0.494621,270.566348,0.000544,196.914739,307.962635,0.320794,373.157938,477.668594,0.000625,362026.079351
540.0,27,5,20,5,19.353584,0.03584,2416.153748,5.3e-05,19.353584,540.0,27,5,20,5,69.521981,0.128744,782.268625,0.000192,361800,470.472819,20,10,142.078961,0.301992,288.436628,0.000393,142.078961,230.954526,0.213847,450.686278,615.389003,0.000446,361961.432545
600.0,27,5,20,5,13.232184,0.022054,3850.080256,3.7e-05,13.232184,600.0,27,5,20,5,60.903087,0.101505,958.850137,0.000168,361800,539.091135,20,10,112.08845,0.207921,304.111582,0.00031,112.08845,186.223721,0.155186,534.617651,770.19887,0.000347,361925.320634
660.0,27,5,20,5,9.380242,0.014212,5908.380835,2.6e-05,9.380242,660.0,27,5,20,5,54.822813,0.083065,1143.159293,0.000152,361800,605.170832,20,10,94.720713,0.156519,317.003781,0.000262,94.720713,158.923768,0.120397,619.873256,932.019649,0.000288,361904.100955
720.0,27,5,20,5,6.946741,0.009648,8648.355716,1.9e-05,6.946741,720.0,27,5,20,5,50.463508,0.070088,1330.15106,0.000139,361800,669.529558,20,10,84.020172,0.125491,327.001869,0.000232,84.020172,141.430421,0.098216,703.422467,1093.65954,0.000251,361890.966913
780.0,27,5,20,5,5.410783,0.006937,11984.261825,1.5e-05,5.410783,780.0,27,5,20,5,47.278637,0.060614,1516.531786,0.000131,361800,732.713852,20,10,77.076789,0.105194,334.469603,0.000213,77.076789,129.766209,0.083183,783.877326,1250.892973,0.000228,361882.487572
840.0,27,5,20,5,4.448624,0.005296,15663.190491,1.2e-05,4.448624,840.0,27,5,20,5,44.903565,0.053457,1700.537127,0.000124,361800,795.088346,20,10,72.361402,0.091011,339.947591,0.0002,72.361402,121.713591,0.072449,860.949918,1401.970868,0.000212,361876.810026
900.0,27,5,20,5,3.856803,0.004285,19331.710158,1.1e-05,3.856803,900.0,27,5,20,5,43.094138,0.047882,1881.482194,0.000119,361800,856.897195,20,10,69.019749,0.080546,343.960501,0.000191,69.019749,115.97069,0.064428,934.950376,1546.765985,0.000202,361872.876552
