M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60.0,27,5,20,5,59.999377,0.99999,180.81051,0.000166,59.999377,60.0,27,5,20,5,59.999377,0.99999,154.81051,0.000166,361800,4.5e-05,40,5,4.5e-05,1.0,148.708947,0.0,4.5e-05,119.998799,0.99999,154.810505,167.810503,0.000166,361859.999422
120.0,27,5,20,5,119.844324,0.998703,196.055336,0.000331,119.844324,120.0,27,5,20,5,119.845886,0.998716,170.053427,0.000331,361800,0.152958,40,5,0.152958,1.0,162.486704,0.0,0.152958,239.843168,0.999347,170.043782,183.04118,0.000331,361919.997282
180.0,27,5,20,5,170.998593,0.949992,214.852563,0.000473,170.998593,180.0,27,5,20,5,171.975694,0.955421,188.503317,0.000475,361800,8.022573,40,5,8.022573,1.0,97.072046,2.2e-05,8.022573,350.99686,0.974991,184.4282,199.250336,0.000495,361979.021166
240.0,27,5,20,5,167.803436,0.699181,253.962218,0.000464,167.803436,240.0,27,5,20,5,183.268994,0.763621,220.999046,0.000507,361800,56.728695,40,5,56.728604,0.999998,128.928728,0.000157,56.728604,407.801034,0.849585,199.236242,221.755083,0.000621,362024.53204
300.0,27,5,20,5,118.358851,0.39453,344.413428,0.000327,118.358851,300.0,27,5,20,5,156.520605,0.521735,277.776972,0.000433,361800,143.476506,40,5,143.390843,0.999403,158.162002,0.000396,143.390843,418.270299,0.697117,220.587787,255.626996,0.000723,362061.749694
360.0,27,5,20,5,75.689839,0.21025,524.170349,0.000209,75.689839,360.0,27,5,20,5,124.661114,0.346281,363.451178,0.000345,361800,235.335419,40,5,230.414927,0.979092,184.469307,0.000637,230.414927,430.76588,0.598286,247.306775,295.954452,0.000846,362106.104766
420.0,27,5,20,5,48.286275,0.114967,845.512634,0.000133,48.286275,420.0,27,5,20,5,99.656161,0.237277,478.435112,0.000275,361800,320.339794,40,5,276.28007,0.862459,207.083167,0.000764,276.28007,424.222506,0.505027,279.015295,343.495717,0.000897,362124.566345
480.0,27,5,20,5,31.357011,0.065327,1386.882082,8.7e-05,31.357011,480.0,27,5,20,5,81.883284,0.17059,619.872473,0.000226,361800,398.112094,40,5,266.758502,0.670059,227.629762,0.000737,266.758502,379.998797,0.395832,319.753319,407.811409,0.000824,362098.115513
540.0,27,5,20,5,20.837736,0.038588,2257.781293,5.8e-05,20.837736,540.0,27,5,20,5,69.521981,0.128744,782.268625,0.000192,361800,470.472819,40,5,235.409795,0.500369,239.226676,0.000651,235.409795,325.769512,0.301638,363.035852,484.2326,0.000709,362056.247531
600.0,27,5,20,5,14.234448,0.023724,3592.617427,3.9e-05,14.234448,600.0,27,5,20,5,60.903087,0.101505,958.850137,0.000168,361800,539.091135,40,5,204.07375,0.378551,249.148502,0.000564,204.07375,279.211285,0.232676,412.268498,574.40561,0.000603,362018.308198
660.0,27,5,20,5,10.057732,0.015239,5523.489694,2.8e-05,10.057732,660.0,27,5,20,5,54.822813,0.083065,1143.159293,0.000152,361800,605.170832,40,5,178.24179,0.294531,258.143865,0.000493,178.24179,243.122335,0.184184,466.322347,675.532389,0.000521,361988.299522
720.0,27,5,20,5,7.405523,0.010285,8124.683075,2e-05,7.405523,720.0,27,5,20,5,50.463508,0.070088,1330.15106,0.000139,361800,669.529558,40,5,157.996696,0.235982,266.376298,0.000437,157.996696,215.865727,0.149907,523.892146,784.646054,0.000457,361965.402219
780.0,27,5,20,5,5.722096,0.007336,11342.935865,1.6e-05,5.722096,780.0,27,5,20,5,47.278637,0.060614,1516.531786,0.000131,361800,732.713852,40,5,142.301263,0.194211,273.841876,0.000393,142.301263,195.301996,0.125194,583.751762,898.981947,0.000409,361948.023359
840.0,27,5,20,5,4.66035,0.005548,14960.558008,1.3e-05,4.66035,840.0,27,5,20,5,44.903565,0.053457,1700.537127,0.000124,361800,795.088346,40,5,130.104965,0.163636,280.512986,0.00036,130.104965,179.66888,0.106946,644.861777,1016.190162,0.000373,361934.765315
900.0,27,5,20,5,4.001187,0.004446,18641.283499,1.1e-05,4.001187,900.0,27,5,20,5,43.094138,0.047882,1881.482194,0.000119,361800,856.897195,40,5,120.559582,0.140693,286.384986,0.000333,120.559582,167.654907,0.093142,706.414175,1134.440812,0.000344,361924.560769
960.0,27,5,20,5,3.605094,0.003755,22047.968738,1e-05,3.605094,960.0,27,5,20,5,41.685823,0.043423,2059.324051,0.000115,361800,918.304933,40,5,113.019621,0.123074,291.486177,0.000312,113.019621,158.310538,0.082453,767.835133,1252.432576,0.000322,361916.624715
1020.0,27,5,20,5,3.382532,0.003316,24952.722757,9e-06,3.382532,1020.0,27,5,20,5,40.566807,0.039771,2234.336795,0.000112,361800,979.423371,40,5,107.00176,0.10925,295.87295,0.000296,107.00176,150.951099,0.073996,828.759393,1369.332324,0.000305,361910.384292
1080.0,27,5,20,5,3.275574,0.003033,27273.156214,9e-06,3.275574,1080.0,27,5,20,5,39.660325,0.036723,2406.908007,0.00011,361800,1040.329275,40,5,102.144915,0.098185,299.619869,0.000282,102.144915,145.080814,0.067167,888.989715,1484.680402,0.000291,361905.420489
1140.0,27,5,20,5,3.24642,0.002848,29039.981894,9e-06,3.24642,1140.0,27,5,20,5,38.913047,0.034134,2577.428018,0.000108,361800,1101.075976,40,5,98.178671,0.089166,302.80956,0.000271,98.178671,140.338138,0.061552,948.452756,1598.289667,0.00028,361901.425091
1200.0,27,5,20,5,3.27018,0.002725,30341.639533,9e-06,3.27018,1200.0,27,5,20,5,38.287413,0.031906,2746.240038,0.000106,361800,1161.701032,40,5,94.899757,0.08169,305.524617,0.000262,94.899757,136.45735,0.056857,1007.158861,1710.155306,0.000271,361898.169937
1260.0,27,5,20,5,3.330301,0.002643,31280.427566,9e-06,3.330301,1260.0,27,5,20,5,37.756579,0.029966,2913.623268,0.000104,361800,1222.231288,40,5,92.154767,0.075399,307.842165,0.000255,92.154767,133.241647,0.052874,1065.169243,1820.382852,0.000264,361895.485068
1320.0,27,5,20,5,3.415658,0.002588,31948.910842,9e-06,3.415658,1320.0,27,5,20,5,37.30105,0.028258,3079.793811,0.000103,361800,1282.686239,40,5,89.827476,0.070031,309.830855,0.000248,89.827476,130.544184,0.049449,1122.571551,1929.135499,0.000257,361893.243134
