M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60.0,27,15,20,5,59.999311,0.999989,202.28618,0.000166,59.999311,60.0,27,15,20,5,59.999311,0.999989,176.28618,0.000166,361800,0.0,20,5,0.0,0.0,0.0,0.0,0.0,119.998622,0.999989,176.28618,189.28618,0.000166,361859.999311
120.0,27,15,20,5,119.996867,0.999974,220.134314,0.000332,119.996867,120.0,27,15,20,5,119.996868,0.999974,194.134305,0.000332,361800,0.001754,20,5,0.001754,1.0,208.13844,0.0,0.001754,239.995489,0.999981,194.134509,207.134317,0.000332,361919.998621
180.0,27,15,20,5,179.673461,0.998186,235.658666,0.000497,179.673461,180.0,27,15,20,5,179.680503,0.998225,209.65413,0.000497,361800,0.317431,20,5,0.317431,1.0,219.574707,1e-06,0.317431,359.671395,0.999087,209.671625,222.653424,0.000498,361979.990892
240.0,27,15,20,5,231.868307,0.966118,253.137244,0.000641,231.868307,240.0,27,15,20,5,232.916729,0.970486,226.941625,0.000644,361800,7.080516,20,5,7.080516,1.0,72.810925,2e-05,7.080516,471.865552,0.983053,222.394386,237.501008,0.000661,362038.948823
300.0,27,15,20,5,245.326073,0.817754,277.383905,0.000678,245.326073,300.0,27,15,20,5,258.429731,0.861432,248.744086,0.000714,361800,41.566824,20,5,41.566824,1.0,127.69214,0.000115,41.566824,545.322628,0.908871,231.97141,252.401277,0.000793,362086.892897
360.0,27,15,20,5,207.707818,0.576966,319.660865,0.000574,207.707818,360.0,27,15,20,5,247.39763,0.687216,279.513904,0.000684,361800,112.598237,20,5,112.595926,0.999979,154.594444,0.000311,112.595926,567.701374,0.788474,240.442588,269.426586,0.000885,362120.303744
420.0,27,15,20,5,157.103666,0.374056,392.767085,0.000434,157.103666,420.0,27,15,20,5,216.558276,0.515615,323.433434,0.000599,361800,203.436902,20,5,202.143155,0.993641,181.39652,0.000559,202.143155,575.805097,0.685482,254.860012,292.486818,0.000993,362159.246821
480.0,27,15,20,5,116.442212,0.242588,507.028308,0.000322,116.442212,480.0,27,15,20,5,182.392939,0.379985,383.581529,0.000504,361800,297.60155,20,5,262.057635,0.880565,206.479886,0.000724,262.057635,560.892786,0.584263,279.158584,326.464692,0.001046,362178.499847
540.0,27,15,20,5,87.118076,0.16133,673.471028,0.000241,87.118076,540.0,27,15,20,5,152.120721,0.281705,462.200421,0.00042,361800,387.873079,20,5,241.682717,0.623097,226.054845,0.000668,241.682717,480.921514,0.445298,317.274555,381.798912,0.000909,362128.800793
600.0,27,15,20,5,66.109875,0.110183,906.438791,0.000183,66.109875,600.0,27,15,20,5,127.432308,0.212387,560.777255,0.000352,361800,472.560803,20,5,194.049597,0.410634,235.729011,0.000536,194.049597,387.59178,0.322993,364.574981,456.998378,0.000719,362060.159472
660.0,27,15,20,5,50.868215,0.077073,1223.891136,0.000141,50.868215,660.0,27,15,20,5,107.950437,0.163561,679.909109,0.000298,361800,552.041985,20,5,154.229031,0.279379,244.34114,0.000426,154.229031,313.047683,0.237157,423.682997,553.711621,0.000567,362005.097246
720.0,27,15,20,5,39.66413,0.055089,1646.822492,0.00011,39.66413,720.0,27,15,20,5,92.764363,0.128839,819.15187,0.000256,361800,627.22737,20,5,125.750582,0.200486,252.619336,0.000348,125.750582,258.179075,0.179291,493.12476,670.367694,0.000458,361965.414712
780.0,27,15,20,5,31.339285,0.040179,2198.150715,8.7e-05,31.339285,780.0,27,15,20,5,80.961724,0.103797,976.988973,0.000224,361800,699.02932,20,5,105.804635,0.151359,260.470274,0.000292,105.804635,218.105644,0.139811,571.075404,804.867505,0.000379,361937.14392
840.0,27,15,20,5,25.10069,0.029882,2900.93729,6.9e-05,25.10069,840.0,27,15,20,5,71.774717,0.085446,1150.972526,0.000198,361800,768.215639,20,5,91.681988,0.119344,267.683537,0.000253,91.681988,188.557395,0.112237,655.540476,954.446861,0.000322,361916.782678
900.0,27,15,20,5,20.392913,0.022659,3775.849286,5.6e-05,20.392913,900.0,27,15,20,5,64.596194,0.071774,1338.015148,0.000179,361800,835.393473,20,5,81.499405,0.097558,274.104734,0.000225,81.499405,166.488512,0.092494,744.512905,1115.816476,0.000281,361901.892318
