M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
135.0,18,20,20,5,134.100819,0.993339,148.460286,135.0,36,20,20,5,134.999885,0.999999,91.7059,0.000115,20,5,0.00011,0.956522,208.437355,269.100814,0.99667,91.705995,119.988321,305.4294632227408,96480.0,96785.42946322274,171.32853353660093,96345.00011467523,96516.32864821183,0.00278
162.0,18,20,20,5,156.217701,0.964307,158.984231,162.0,36,20,20,5,161.998269,0.999989,98.181902,0.001731,20,5,0.001684,0.972848,216.768983,318.217654,0.982153,98.183134,128.031282,385.7069524192323,96480.0,96865.70695241923,229.48756727520032,96318.00173114499,96547.48929842019,0.003285
189.5,18,20,20,5,169.450178,0.894196,166.984624,189.5,36,20,20,5,188.983852,0.997276,104.394773,0.016148,20,5,0.015877,0.983218,226.803064,358.449907,0.945778,104.405056,133.988322,458.1987167561633,96480.0,96938.19871675616,288.7326615892554,96291.01614819479,96579.74880978404,0.003698
216.0,18,20,20,5,171.921327,0.795932,172.358051,216.0,36,20,20,5,214.900711,0.994911,110.288775,0.099289,20,5,0.098294,0.989979,235.469483,386.920332,0.895649,110.346005,137.89998,519.3644220244389,96480.0,96999.36442202445,347.34480116369497,96265.09928913998,96612.44409030367,0.003989
243.0,18,20,20,5,165.664786,0.681748,176.162172,243.0,36,20,20,5,241.522177,0.993918,116.348683,0.477823,20,5,0.474954,0.993996,242.499931,407.661917,0.838811,116.596273,140.802537,559.741345739601,96480.0,97039.7413457396,393.60160571176175,96238.47782333239,96632.07942904416,0.004201
270.0,18,20,20,5,153.683066,0.569197,178.747909,270.0,36,20,20,5,267.27653,0.989913,122.247243,1.72347,20,5,1.716818,0.99614,247.882859,422.676414,0.782734,123.049097,143.300911,572.8989841771213,96480.0,97052.89898417713,417.49910056306385,96212.72346991135,96630.2225704744,0.004355
540.0,18,20,20,5,29.566487,0.054753,161.773158,540.0,36,20,20,5,308.361235,0.571039,152.998897,230.638765,20,5,187.519237,0.813043,330.107948,525.446959,0.486525,219.973412,216.698529,1111.9947194733375,96480.0,97591.99471947334,894.9089960165826,96171.63876479171,97066.5477608083,0.005384
810.0,18,20,20,5,7.149311,0.008826,135.754712,810.0,36,20,20,5,180.55987,0.222913,161.611625,627.44013,20,5,47.801523,0.076185,386.074333,235.510704,0.145377,208.59706,206.385812,1214.0932460712486,96480.0,97694.09324607125,1159.142412702887,96299.44012979287,97458.58254249576,0.002411
1080.0,18,20,20,5,2.495355,0.002311,124.370136,1080.0,36,20,20,5,108.648303,0.1006,170.661611,968.351697,20,5,30.369816,0.031362,413.646713,141.513474,0.065515,223.743992,221.9917,1228.2319675449721,96480.0,97708.23196754497,1195.3667961921842,96371.35169745727,97566.71849364946,0.001448
1350.0,18,20,20,5,0.995308,0.000737,118.206073,1350.0,36,20,20,5,73.846709,0.054701,181.408688,1273.153291,20,5,26.911466,0.021138,419.894823,101.753483,0.037686,245.105867,243.864588,1237.251083520338,96480.0,97717.25108352034,1209.3443095082293,96406.15329126405,97615.49760077229,0.001041
1620.0,18,20,20,5,0.421899,0.00026,114.825508,1620.0,36,20,20,5,56.447918,0.034844,192.047762,1559.552082,20,5,25.339517,0.016248,422.33969,82.209334,0.025373,263.397184,262.634713,1242.0057947581402,96480.0,97722.00579475814,1216.2443785686307,96423.55208165321,97639.79646022184,0.000841
1890.0,18,20,20,5,0.182672,9.7e-05,112.954481,1890.0,36,20,20,5,47.044894,0.024891,201.14624,1837.955106,20,5,24.30002,0.013221,423.940376,71.527586,0.018923,277.029742,276.610716,1246.0764882594663,96480.0,97726.07648825947,1221.5937966911292,96432.95510585986,97654.54890255099,0.000732
2160.0,18,20,20,5,0.079233,3.7e-05,111.898443,2160.0,36,20,20,5,41.509857,0.019218,208.264651,2113.490143,20,5,23.514622,0.011126,425.193135,65.103712,0.01507,286.711897,286.499144,1250.1738915109395,96480.0,97730.17389151095,1226.5800362139958,96438.49014312882,97665.07017934282,0.000666
2430.0,18,20,20,5,0.0344,1.4e-05,111.291079,2430.0,36,20,20,5,38.000692,0.015638,213.545031,2385.999308,20,5,22.889684,0.009593,426.227337,60.924776,0.012536,293.495774,293.392895,1254.2775775966954,96480.0,97734.2775775967,1231.353494091503,96441.99930826465,97673.35280235615,0.000623
2700.0,18,20,20,5,0.014862,6e-06,110.933474,2700.0,36,20,20,5,35.59647,0.013184,217.40927,2657.40353,20,5,22.372245,0.008419,427.111297,57.983577,0.010738,298.340944,298.292909,1256.0568537614595,96480.0,97736.05685376146,1233.6697476781615,96444.4035295973,97678.07327727546,0.000593
