M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
135.0,27,20,20,5,134.993988,0.999955,128.339704,135.0,27,20,20,5,134.994,0.999956,102.33967,0.006,20,5,0.005881,0.980167,207.640001,269.993869,0.999977,102.344257,115.341697,283.18271340950827,72360.0,72643.18271340951,148.18284484491394,72225.00600038095,72373.18884522586,0.003717
162.0,27,20,20,5,161.919603,0.999504,136.514626,162.0,27,20,20,5,161.92063,0.99951,110.514548,0.07937,20,5,0.07859,0.990173,214.44128,323.918823,0.999749,110.564966,123.536607,348.772726321569,72360.0,72708.77272632156,186.77453337369388,72198.07936965721,72384.8539030309,0.004455
189.5,27,20,20,5,188.378542,0.994082,144.554324,189.5,27,20,20,5,188.405261,0.994223,118.561029,0.594739,20,5,0.591735,0.994949,219.382495,377.375538,0.995714,118.876693,131.694468,421.1653673953309,72360.0,72781.16536739533,232.19508976636652,72171.59473911862,72403.78982888498,0.005185
216.0,27,20,20,5,212.125484,0.982062,151.861264,216.0,27,20,20,5,212.386457,0.983271,125.930801,2.613543,20,5,2.60565,0.99698,223.630788,427.117591,0.988698,127.1149,139.405039,499.159902417665,72360.0,72859.15990241767,284.42876869668794,72147.6135433966,72432.04231209328,0.005862
243.0,27,20,20,5,232.204567,0.955574,158.406569,243.0,27,20,20,5,233.64214,0.96149,132.75263,8.35786,20,5,8.340919,0.997973,228.623884,474.187626,0.975695,136.057218,147.001454,586.821697829212,72360.0,72946.82169782922,346.2762113799877,72126.35785999184,72472.63407137182,0.0065
270.0,27,20,20,5,244.113021,0.904122,163.37717,270.0,27,20,20,5,248.937992,0.921993,138.429053,20.062008,20,5,20.031435,0.998476,234.598897,513.082448,0.950153,145.591279,154.053404,677.8516517172958,72360.0,73037.8516517173,413.7071958451997,72111.0620081129,72524.7692039581,0.007025
540.0,27,20,20,5,103.201084,0.191113,159.189635,540.0,27,20,20,5,163.271364,0.302354,158.992459,375.728636,20,5,288.766401,0.76855,329.704863,555.238849,0.51411,268.045309,247.812533,1698.871563491693,72360.0,74058.87156349169,1306.9040781668753,72196.72863602318,73503.63271419005,0.007497
810.0,27,20,20,5,36.981357,0.045656,147.372007,810.0,27,20,20,5,81.440915,0.100544,170.674112,726.559085,20,5,115.19439,0.158548,364.886875,233.616662,0.144208,284.44931,262.750068,1811.8707791163379,72360.0,74171.87077911633,1659.6950327929524,72278.5590852382,73938.25411803115,0.00315
1080.0,27,20,20,5,15.538142,0.014387,138.017029,1080.0,27,20,20,5,50.092992,0.046382,185.028322,1026.907008,20,5,65.104085,0.063398,393.980782,130.735219,0.060526,303.118634,283.495978,1832.1134111856818,72360.0,74192.11341118568,1751.4711845271092,72309.9070076417,74061.3781921688,0.001762
1350.0,27,20,20,5,7.299983,0.005407,130.16168,1350.0,27,20,20,5,37.190822,0.027549,198.353771,1309.809178,20,5,50.30784,0.038409,410.115958,94.798645,0.035111,320.107612,305.480799,1843.0508519204243,72360.0,74203.05085192043,1785.4430293907892,72322.80917761274,74108.25220700353,0.001278
1620.0,27,20,20,5,3.730986,0.002303,124.138034,1620.0,27,20,20,5,31.136394,0.01922,208.257059,1584.863606,20,5,44.646016,0.02817,417.040057,79.513396,0.024541,331.258281,321.539633,1851.7438981281423,72360.0,74211.74389812814,1803.3668962545137,72328.86360639543,74132.23050264995,0.001071
1890.0,27,20,20,5,2.011036,0.001064,119.818051,1890.0,27,20,20,5,27.83101,0.014725,214.965754,1857.16899,20,5,41.787766,0.022501,420.198257,71.629812,0.01895,338.153898,332.024031,1859.6959392142887,72360.0,74219.69593921429,1815.8971367155484,72332.16898976619,74148.06612648173,0.000965
2160.0,27,20,20,5,1.116868,0.000517,116.833485,2160.0,27,20,20,5,25.776233,0.011933,219.394229,2129.223767,20,5,39.967037,0.018771,422.00601,66.860138,0.015477,342.567179,338.796401,1863.8639285327733,72360.0,74223.86392853277,1822.7800231077863,72334.2237668533,74157.00378996109,0.000901
2430.0,27,20,20,5,0.632826,0.00026,114.820948,2430.0,27,20,20,5,24.376226,0.010031,222.294801,2399.623774,20,5,38.635472,0.016101,423.277851,63.644524,0.013096,345.527077,343.233136,1868.034368939648,72360.0,74228.03436893965,1828.7660704438192,72335.62377357719,74164.389844021,0.000857
2700.0,27,20,20,5,0.361797,0.000134,113.460442,2700.0,27,20,20,5,23.34339,0.008646,224.226412,2669.65661,20,5,37.577363,0.014076,424.295253,61.28255,0.011349,347.633611,346.25111,1872.2215374094776,72360.0,74232.22153740948,1834.282377361629,72336.65660955539,74170.93898691701,0.000826
