M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
135.0,36,20,20,5,134.999761,0.999998,117.706032,135.0,18,20,20,5,134.100826,0.993339,122.460283,0.899174,20,5,0.899174,1.0,222.532588,269.999761,0.999999,123.12682,120.416428,274.98587839102703,48240.0,48514.985878391024,139.0869430802614,48105.89917435284,48244.9861174331,0.005565
162.0,36,20,20,5,161.992224,0.999952,124.180348,162.0,18,20,20,5,156.218002,0.964309,132.984279,5.781998,20,5,5.781998,1.0,225.204063,323.992224,0.999976,136.275728,130.228183,343.72391303038694,48240.0,48583.723913030386,175.94969174354236,48083.78199758171,48259.73168932525,0.006669
189.5,36,20,20,5,188.894508,0.996805,130.360794,189.5,18,20,20,5,169.455244,0.894223,140.985771,19.544756,20,5,19.544756,1.0,228.03827,377.894508,0.997083,149.987992,140.177133,420.38761108854186,48240.0,48660.38761108854,211.94834746076603,48070.544755805626,48282.493103266395,0.007766
216.0,36,20,20,5,214.339729,0.992314,136.088861,216.0,18,20,20,5,171.961162,0.796116,146.367723,43.038838,20,5,43.038838,1.0,231.676398,429.339729,0.993842,163.444869,149.7879,513.3704082527347,48240.0,48753.37040825273,255.99184107537687,48068.038838431494,48324.03067950687,0.008806
243.0,36,20,20,5,239.295553,0.984755,141.65316,243.0,18,20,20,5,165.872305,0.682602,150.215667,76.127695,20,5,76.127695,1.0,236.444568,481.295553,0.99032,177.341318,159.597507,635.5430691471495,48240.0,48875.54306914715,320.1198215361268,48074.12769494808,48394.24751648421,0.009847
270.0,36,20,20,5,261.184035,0.967348,146.588744,270.0,18,20,20,5,154.422227,0.571934,152.955294,114.577773,20,5,114.577773,1.0,242.171701,530.184035,0.981822,190.956101,169.099454,779.293007042669,48240.0,49019.29300704267,403.5311988557184,48085.577773043384,48489.1089718991,0.010816
540.0,36,20,20,5,221.429949,0.410055,160.251375,540.0,18,20,20,5,54.23361,0.100433,170.699123,484.76639,20,5,417.443802,0.861124,324.289476,693.107361,0.641766,306.629611,259.865535,2234.4158544205006,48240.0,50474.4158544205,1595.5421027467996,48185.76639047862,49781.30849322541,0.013732
810.0,36,20,20,5,105.059016,0.129702,155.113508,810.0,18,20,20,5,28.223959,0.034844,192.047762,779.776041,20,5,240.323033,0.308195,352.665093,373.606008,0.230621,335.784409,284.979265,2431.546459570206,48240.0,50671.54645957021,2086.164410008129,48211.776040826604,50297.940450834736,0.007373
1080.0,36,20,20,5,50.554633,0.04681,148.422645,1080.0,18,20,20,5,20.762935,0.019225,208.24187,1056.237065,20,5,136.06034,0.128816,375.186824,207.377908,0.096008,353.083809,303.191464,2463.9517598512994,48240.0,50703.9517598513,2277.336786321407,48219.23706522325,50496.57385154466,0.00409
1350.0,36,20,20,5,25.925374,0.019204,141.402129,1350.0,18,20,20,5,17.794474,0.013181,217.421477,1329.205526,20,5,92.966255,0.069941,395.924713,136.686103,0.050624,367.246939,324.410754,2482.3940430022203,48240.0,50722.39404300222,2363.502413748414,48222.20552574163,50585.70793949004,0.002695
1620.0,36,20,20,5,14.230114,0.008784,134.801079,1620.0,18,20,20,5,16.250818,0.010031,222.294792,1599.749182,20,5,74.205097,0.046385,410.252269,104.686029,0.032311,376.48485,343.632447,2493.2716639399714,48240.0,50733.27166393997,2404.83645279105,48223.74918238479,50628.58563517584,0.002063
1890.0,36,20,20,5,8.257803,0.004369,129.102278,1890.0,18,20,20,5,15.278319,0.008084,224.943828,1869.721681,20,5,65.230819,0.034888,418.414045,88.766941,0.023483,381.698962,358.20042,2502.1616274671005,48240.0,50742.1616274671,2428.673005173797,48224.72168117935,50653.394686353146,0.001749
2160.0,36,20,20,5,4.995061,0.002313,124.489304,2160.0,18,20,20,5,14.581766,0.006751,226.461703,2140.418234,20,5,60.379909,0.028209,422.777388,79.956736,0.018509,384.589482,368.340492,2510.9755666689534,48240.0,50750.97556666895,2445.6005960905313,48225.41823360222,50671.01882969275,0.001575
2430.0,36,20,20,5,3.123668,0.001285,120.946689,2430.0,18,20,20,5,14.041647,0.005778,227.39357,2409.958353,20,5,57.394569,0.023816,425.21288,74.559884,0.015342,386.329116,375.210985,2517.9288524123504,48240.0,50757.92885241235,2457.4106154416127,48225.95835259016,50683.36896803178,0.001469
2700.0,36,20,20,5,1.995793,0.000739,118.285143,2700.0,18,20,20,5,13.595271,0.005035,228.025167,2679.404729,20,5,55.303823,0.02064,426.756348,70.894887,0.013129,387.542418,379.962438,2522.187998844595,48240.0,50762.187998844594,2464.8883829687243,48226.4047294918,50691.293112460524,0.001397
