Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,135,36,20,20,5,135.445,1.003296,118.1019417,135,18,20,20,5,133.9234,0.992025,122.584405,1.0766,20,5,0.6312,0.58629,227.9841572,269.9996,0.999999,123.078839,120.582184,264,48240,48504,127.9238,48106.0766,48234.0004,0.005567
0.06,162,36,20,20,5,162.936,1.005778,124.7921024,162,18,20,20,5,155.8862,0.96226,133.0558696,6.1138,20,5,5.165,0.84481,228.8597289,323.9872,0.99996,136.128352,130.427253,334,48240,48574,165.899,48084.1138,48250.0128,0.00667
0.07,190,36,20,20,5,190.8706,1.004582,131.1031626,190,18,20,20,5,169.3794,0.891471,141.2643999,20.6206,20,5,19.6206,0.951505,230.5020387,379.8706,0.999659,150.5284,140.767953,421,48240,48661,210.5088,48070.6206,48281.1294,0.007806
0.08,216,36,20,20,5,215.3056,0.996785,136.4751024,216,18,20,20,5,171.533,0.794134,146.3901961,43.467,20,5,42.467,0.976994,233.3495067,429.3056,0.993763,163.646743,150.019606,467,48240,48707,209.2274,48068.467,48277.6944,0.008814
0.09,243,36,20,20,5,240.1446,0.988249,142.0863609,243,18,20,20,5,165.623,0.681576,150.29815,76.377,20,5,75.377,0.986907,237.7088037,481.1446,0.990009,177.637373,159.893469,640,48240,48880,324.4784,48074.377,48398.8554,0.009843
0.1,270,36,20,20,5,261.9844,0.970313,146.9415591,270,18,20,20,5,153.9698,0.570259,153.0630948,115.0302,20,5,114.0302,0.991307,243.2166575,529.9844,0.981453,191.422157,169.434297,762,48240,49002,385.9854,48086.0302,48472.0156,0.010816
0.2,540,36,20,20,5,221.5396,0.410259,160.8161963,540,18,20,20,5,53.9318,0.099874,170.8852866,485.0682,20,5,416.393,0.858422,324.4719568,691.8644,0.640615,306.860286,260.095993,2249,48240,50489,1611.0674,48186.0682,49797.1356,0.013703
0.3,810,36,20,20,5,104.8832,0.129485,155.452204,810,18,20,20,5,28.0168,0.034589,192.3089218,779.9832,20,5,239.7612,0.307393,352.8757263,372.6612,0.230038,336.076109,285.240623,2428,48240,50668,2083.3556,48211.9832,50295.3388,0.007355
0.4,1080,36,20,20,5,50.3358,0.046607,148.6100132,1080,18,20,20,5,20.6962,0.019163,208.6492641,1056.3038,20,5,135.621,0.128392,375.3327766,206.653,0.095673,353.26409,303.415181,2455,48240,50695,2269.0432,48219.3038,50488.347,0.004076
0.5,1350,36,20,20,5,25.9132,0.019195,141.5324468,1350,18,20,20,5,17.7722,0.013165,217.5425046,1329.2278,20,5,92.6606,0.06971,396.1873687,136.346,0.050499,367.437647,324.503299,2467,48240,50707,2348.4262,48222.2278,50570.654,0.002689
0.6,1620,36,20,20,5,14.1934,0.008761,134.8514591,1620,18,20,20,5,16.2796,0.010049,222.5046807,1599.7204,20,5,73.9936,0.046254,410.452604,104.4666,0.032243,376.558635,343.718985,2488,48240,50728,2399.813,48223.7204,50623.5334,0.002059
0.7,1890,36,20,20,5,8.2022,0.00434,129.1418278,1890,18,20,20,5,15.2698,0.008079,224.9435553,1869.7302,20,5,65.1824,0.034862,418.5955289,88.6544,0.023454,381.840451,358.461074,2514,48240,50754,2440.6154,48224.7302,50665.3456,0.001747
0.8,2160,36,20,20,5,4.9436,0.002289,124.6202767,2160,18,20,20,5,14.5076,0.006716,226.6346053,2140.4924,20,5,60.3446,0.028192,422.8736838,79.7958,0.018471,384.83929,368.717906,2504,48240,50744,2438.7118,48225.4924,50664.2042,0.001573
0.9,2430,36,20,20,5,3.1136,0.001281,121.0732914,2430,18,20,20,5,14.125,0.005813,227.4658761,2409.875,20,5,57.2046,0.023738,425.314438,74.4432,0.015318,386.135599,375.049321,2504,48240,50744,2443.6818,48225.875,50669.5568,0.001467
1,2700,36,20,20,5,1.9876,0.000736,118.379352,2700,18,20,20,5,13.6288,0.005048,228.1796343,2679.3712,20,5,55.3796,0.020669,426.8871534,70.996,0.013147,387.643452,380.10515,2531,48240,50771,2473.6328,48226.3712,50700.004,0.001398
