M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
90.0,27,20,20,5,89.999975,1.0,113.881991,180.0,27,20,20,5,179.677678,0.998209,115.90341,0.322322,20,5,0.322322,1.0,220.282238,269.999975,1.0,116.090319,115.35421,175.454766199961,72360.0,72535.45476619997,85.13246871713018,72180.32232204263,72265.45479075976,0.003722
108.0,27,20,20,5,107.998992,0.999991,119.910576,216.0,27,20,20,5,212.386457,0.983271,125.930801,2.613543,20,5,2.613543,1.0,223.666935,322.998992,0.99691,127.118883,124.70869,227.44674265734446,72360.0,72587.44674265734,116.83420692928173,72147.6135433966,72264.44775032588,0.00445
126.33333333333333,27,20,20,5,125.979418,0.997199,125.569118,252.66666666666666,27,20,20,5,240.101237,0.950269,134.995725,11.898763,20,5,11.898763,1.0,226.766807,377.979418,0.997307,139.328909,134.742811,275.62172432855914,72360.0,72635.62172432856,137.74354352538242,72119.89876282675,72257.64230635214,0.005204
144.0,27,20,20,5,143.817686,0.998734,130.992343,288.0,27,20,20,5,255.12617,0.885855,141.553973,31.87383,20,5,31.87383,1.0,230.907077,430.817686,0.997263,151.477407,144.638982,342.3533621659669,72360.0,72702.35336216597,166.66184669693212,72104.87382953275,72271.53567622969,0.005926
162.0,27,20,20,5,161.074053,0.994284,136.11253,324.0,27,20,20,5,257.900053,0.795988,146.424543,65.099947,20,5,65.099947,1.0,236.903554,484.074053,0.996037,164.66039,155.161183,436.3064043967036,72360.0,72796.3064043967,210.13240442624675,72102.09994736186,72312.2323517881,0.00665
180.0,27,20,20,5,176.896334,0.982757,140.72511,360.0,27,20,20,5,250.155212,0.694876,149.89448,108.844788,20,5,108.844788,1.0,244.858254,535.896334,0.992401,178.686435,166.155617,569.6336430228779,72360.0,72929.63364302288,283.8925209688172,72109.84478820642,72393.73730917524,0.007348
360.0,27,20,20,5,174.692514,0.485257,154.989731,720.0,27,20,20,5,100.747482,0.139927,166.372543,617.252518,20,5,185.452267,0.300448,341.916769,460.892263,0.426752,280.122031,232.692994,1817.1439650351856,72360.0,74177.14396503518,1456.9991833367656,72259.25251783188,73716.25170116864,0.006213
540.0,27,20,20,5,93.882159,0.173856,152.239304,1080.0,27,20,20,5,50.092992,0.046382,185.028322,1026.907008,20,5,69.118677,0.067308,388.834896,213.093828,0.131539,303.194949,236.688837,1859.0326829818941,72360.0,74219.0326829819,1696.0318472794702,72309.9070076417,74005.93885492117,0.002871
720.0,27,20,20,5,49.256918,0.068412,147.761253,1440.0,27,20,20,5,34.719418,0.024111,202.027133,1401.280582,20,5,48.742836,0.034784,414.562299,132.719172,0.061444,326.14991,259.943383,1872.936893216567,72360.0,74232.93689321657,1774.9371392995113,72325.28058166686,74100.21772096636,0.001788
900.0,27,20,20,5,26.87007,0.029856,142.593484,1800.0,27,20,20,5,28.738933,0.015966,213.045273,1767.261067,20,5,42.780604,0.024207,423.310396,98.389607,0.036441,338.818864,285.229975,1884.5159457065872,72360.0,74244.51594570659,1814.8652721410456,72331.2610667921,74146.12633893314,0.001325
1080.0,27,20,20,5,15.448087,0.014304,137.281055,2160.0,27,20,20,5,25.776233,0.011933,219.394229,2129.223767,20,5,40.025577,0.018798,426.68052,81.249897,0.025077,345.481238,305.896024,1890.8638581055034,72360.0,74250.8638581055,1835.390194530624,72334.2237668533,74169.61396138393,0.001094
1260.0,27,20,20,5,9.269443,0.007357,132.226555,2520.0,27,20,20,5,23.998635,0.009523,223.028368,2490.001365,20,5,38.27413,0.015371,428.538366,71.542208,0.018927,349.339066,321.20865,1896.4335222878826,72360.0,74256.43352228789,1848.889949398791,72336.00136452698,74184.89131392576,0.000963
1440.0,27,20,20,5,5.797473,0.004026,127.790517,2880.0,27,20,20,5,22.78395,0.007911,225.157572,2850.21605,20,5,36.978749,0.012974,429.854484,65.560172,0.015176,351.815769,332.005261,1902.031485582794,72360.0,74262.03148558279,1859.2552636621112,72337.21605002787,74196.47131368998,0.000883
1620.0,27,20,20,5,3.729776,0.002302,124.054628,3240.0,27,20,20,5,21.873771,0.006751,226.460263,3210.126229,20,5,35.94995,0.011199,430.905729,61.553497,0.012665,353.567342,339.660236,1907.651954652889,72360.0,74267.65195465289,1867.972228695346,72338.12622885068,74206.09845754603,0.000829
1800.0,27,20,20,5,2.456117,0.001365,121.039183,3600.0,27,20,20,5,21.144702,0.005874,227.308066,3569.855298,20,5,35.09984,0.009832,431.792177,58.700659,0.01087,354.917952,345.13214,1911.1436848096293,72360.0,74271.14368480963,1873.5877275127177,72338.85529795373,74212.44302546645,0.00079
