Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,90,27,20,20,5,90.2266,1.002518,114.2520753303349,180,27,20,20,5,179.5754,0.997641,116.01533561946681,0.4246,20,5,0.1978,0.46585,228.17441860465118,269.9998,0.999999,116.138741,115.508269,174.0,72360.0,72534.0,83.57559999999997,72180.4246,72264.0002,0.003722
0.06,108,27,20,20,5,108.7764,1.007189,120.7403370584061,216,27,20,20,5,212.0942,0.981918,126.07571494175697,2.9058,20,5,2.1274,0.732122,229.00286734981665,322.998,0.996907,127.097868,124.956835,255.0,72360.0,72615.0,144.09619999999995,72147.90580000001,72292.00200000001,0.004448
0.07,126,27,20,20,5,126.964,1.007651,126.26579975426105,253,27,20,20,5,239.9178,0.948292,134.9925395281217,12.0822,20,5,11.0854,0.917498,230.10858426398693,377.9672,0.997275,139.19328,134.850775,312.0,72360.0,72672.0,173.95059999999995,72120.0822,72294.0328,0.005201
0.08,144,27,20,20,5,144.7842,1.005446,131.6771173926437,288,27,20,20,5,254.8922,0.885042,141.5736884063145,32.1078,20,5,31.1078,0.968855,233.11162795183216,430.7842,0.997186,151.530136,144.857645,337.0,72360.0,72697.0,161.10800000000006,72105.1078,72266.21579999999,0.005926
0.09,162,27,20,20,5,161.9908,0.999943,136.6167362590962,324,27,20,20,5,257.425,0.794522,146.52593765174316,65.575,20,5,64.575,0.98475,238.66363917924892,483.9908,0.995866,165.003553,155.502539,428.0,72360.0,72788.0,201.43419999999995,72102.575,72304.0092,0.006649
0.1,180,27,20,20,5,177.8318,0.987954,141.10303612739676,360,27,20,20,5,249.671,0.693531,150.01195373111014,109.329,20,5,108.329,0.990853,246.26779071162855,535.8317999999999,0.992281,179.138486,166.515285,569.0,72360.0,72929.0,282.83920000000006,72110.329,72393.1682,0.007347
0.2,360,27,20,20,5,174.5916,0.484977,155.24046288595795,720,27,20,20,5,100.4186,0.13947,166.57998319036514,617.5814,20,5,184.5878,0.298888,342.09046264162635,459.59799999999996,0.425554,280.251442,232.762404,1809.0,72360.0,74169.0,1449.8206000000002,72259.5814,73709.402,0.006197
0.3,540,27,20,20,5,93.7252,0.173565,152.40678707540766,1080,27,20,20,5,49.968,0.046267,185.33731588216457,1027.032,20,5,68.9476,0.067133,389.24498894812876,212.64079999999998,0.13126,303.563559,236.938534,1855.0,72360.0,74215.0,1692.3271999999997,72310.032,74002.3592,0.002865
0.4,720,27,20,20,5,49.0552,0.068132,147.8528188652783,1440,27,20,20,5,34.5304,0.023979,202.18279544980652,1401.4696,20,5,48.6184,0.034691,414.86324519112094,132.204,0.061206,326.540371,260.23713,1869.0,72360.0,74229.0,1771.3264000000001,72325.4696,74096.796,0.001781
0.5,900,27,20,20,5,26.795,0.029772,142.56004851651423,1800,27,20,20,5,28.707,0.015948,213.07804716619637,1767.293,20,5,42.67,0.024144,423.421748300914,98.172,0.03636,338.823956,285.255816,1891.0,72360.0,74251.0,1821.5350000000003,72331.293,74152.82800000001,0.001322
0.6,1080,27,20,20,5,15.4374,0.014294,137.202035316828,2160,27,20,20,5,25.7454,0.011919,219.58506373954182,2129.2546,20,5,40.0264,0.018798,426.84463753922404,81.20920000000001,0.025065,345.715938,306.078649,1879.0,72360.0,74239.0,1823.5361999999996,72334.2546,74157.7908,0.001094
0.7,1260,27,20,20,5,9.1692,0.007277,132.07941805173846,2520,27,20,20,5,23.9008,0.009484,223.16255522827686,2490.0992,20,5,38.1922,0.015338,428.64794643932527,71.2622,0.018852,349.552634,321.570683,1894.0,72360.0,74254.0,1846.638600000001,72336.0992,74182.7378,0.00096
0.8,1440,27,20,20,5,5.7456,0.00399,127.85902255639095,2880,27,20,20,5,22.7204,0.007889,225.35341807362548,2850.2796,20,5,37.0566,0.013001,429.9743176654091,65.52260000000001,0.015167,352.200781,332.528515,1898.0,72360.0,74258.0,1855.1978000000004,72337.27960000001,74192.4774,0.000882
0.9,1620,27,20,20,5,3.744,0.002311,124.0069444444444,3240,27,20,20,5,21.906,0.006761,226.58011503697617,3210.094,20,5,35.9104,0.011187,431.03767153805023,61.5604,0.012667,353.570945,339.609249,1901.0,72360.0,74261.0,1861.3455999999999,72338.094,74199.4396,0.000829
1.0,1800,27,20,20,5,2.424,0.001347,121.1934818481848,3600,27,20,20,5,21.1422,0.005873,227.4031983426512,3569.8578,20,5,34.9378,0.009787,431.9215548775252,58.504000000000005,0.010834,354.817989,345.138209,1910.0,72360.0,74270.0,1872.6382000000006,72338.8578,74211.496,0.000788
