M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
135.0,27,20,20,5,134.993986,0.999955,128.33969,135.0,27,20,20,5,134.994,0.999956,102.33967,0.006,20,10,0.006,1.0,211.892469,269.993986,0.999978,102.344539,115.341825,283.1827156019561,72360.0,72643.18271560196,148.18272894979148,72225.00600038095,72373.18872933074,0.003717
162.0,27,20,20,5,161.919603,0.999504,136.514398,162.0,27,20,20,5,161.92063,0.99951,110.514548,0.07937,20,10,0.07937,1.0,218.685028,323.919603,0.999752,110.567545,123.537751,348.77126510887246,72360.0,72708.77126510887,186.77229250922983,72198.07936965721,72384.85166216643,0.004455
189.5,27,20,20,5,188.379662,0.994088,144.552877,189.5,27,20,20,5,188.405261,0.994223,118.561029,0.594739,20,10,0.594739,1.0,223.6001,377.379662,0.995725,118.891563,131.701129,421.1476847973289,72360.0,72781.14768479732,232.1732837079407,72171.59473911862,72403.76802282657,0.005185
216.0,27,20,20,5,212.140669,0.982133,151.856706,216.0,27,20,20,5,212.386457,0.983271,125.930801,2.613543,20,10,2.613543,1.0,227.709181,427.140669,0.988752,127.16802,139.429728,499.0566350177692,72360.0,72859.05663501777,284.3024225616792,72147.6135433966,72431.91596595828,0.005863
243.0,27,20,20,5,232.300128,0.955968,158.397696,243.0,27,20,20,5,233.64214,0.96149,132.75263,8.35786,20,10,8.35786,1.0,232.449231,474.300128,0.975926,136.195813,147.06973,586.3970594847024,72360.0,72946.3970594847,345.7390716919979,72126.35785999184,72472.09693168383,0.006502
270.0,27,20,20,5,244.463647,0.905421,163.370278,270.0,27,20,20,5,248.937992,0.921993,138.429053,20.062008,20,10,20.062008,1.0,238.087896,513.463647,0.950859,145.861605,154.197607,676.5836583520227,72360.0,73036.58365835203,412.05800280774287,72111.0620081129,72523.12001092064,0.00703
540.0,27,20,20,5,107.747377,0.199532,161.090158,540.0,27,20,20,5,163.271364,0.302354,158.992459,375.728636,20,10,375.728029,0.999998,354.591941,646.74677,0.59884,295.341793,272.975602,1856.7439729151558,72360.0,74216.74397291515,1373.268567223263,72196.72863602318,73569.99720324644,0.008714
810.0,27,20,20,5,38.385446,0.047389,149.424198,810.0,27,20,20,5,81.440915,0.100544,170.674112,726.559085,20,10,220.837527,0.30395,471.689455,340.663888,0.210286,390.588848,363.414813,2735.4717019921372,72360.0,75095.47170199214,2476.248728935848,72278.5590852382,74754.80781417406,0.004536
1080.0,27,20,20,5,15.88882,0.014712,139.445514,1080.0,27,20,20,5,50.092992,0.046382,185.028322,1026.907008,20,10,98.542133,0.09596,529.770699,164.523945,0.076168,413.585664,387.110713,2771.485232180076,72360.0,75131.48523218007,2657.054279078356,72309.9070076417,74966.96128672005,0.00219
1350.0,27,20,20,5,7.382253,0.005468,130.967199,1350.0,27,20,20,5,37.190822,0.027549,198.353771,1309.809178,20,10,69.4739,0.053041,569.41311,114.046975,0.04224,440.035734,420.029748,2787.829809792153,72360.0,75147.82980979215,2710.9736571678336,72322.80917761274,75033.78283478058,0.001518
1620.0,27,20,20,5,3.749629,0.002315,124.527111,1620.0,27,20,20,5,31.136394,0.01922,208.257059,1584.863606,20,10,59.890554,0.037789,586.260153,94.776577,0.029252,456.961593,443.809546,2798.182980244404,72360.0,75158.1829802444,2734.5427976970805,72328.86360639543,75063.40640409252,0.001261
1890.0,27,20,20,5,2.015128,0.001066,119.985953,1890.0,27,20,20,5,27.83101,0.014725,214.965754,1857.16899,20,10,55.635716,0.029957,592.80328,85.481854,0.022614,466.817747,458.64162,2806.993079611218,72360.0,75166.99307961122,2749.3422352341527,72332.16898976619,75081.51122500034,0.001137
2160.0,27,20,20,5,1.117739,0.000517,116.900361,2160.0,27,20,20,5,25.776233,0.011933,219.394229,2129.223767,20,10,53.137447,0.024956,595.827662,80.031419,0.018526,472.870073,467.89851,2815.100627901925,72360.0,75175.10062790192,2760.8454424798674,72334.2237668533,75095.06920933317,0.001065
2430.0,27,20,20,5,0.633009,0.00026,114.846338,2430.0,27,20,20,5,24.376226,0.010031,222.294801,2399.623774,20,10,51.374815,0.02141,597.659052,76.38405,0.015717,476.86911,473.868959,2820.034892531495,72360.0,75180.03489253149,2768.0270686750296,72335.62377357719,75103.65084225222,0.001016
2700.0,27,20,20,5,0.361835,0.000134,113.469732,2700.0,27,20,20,5,23.34339,0.008646,224.226412,2669.65661,20,10,49.991414,0.018726,599.029581,73.696639,0.013648,479.72502,477.926784,2824.955697682624,72360.0,75184.95569768263,2774.6024488978846,72336.65660955539,75111.25905845327,0.00098
