Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,135,27,20,20,5,134.9862,0.999898,128.5263686,135,27,20,20,10,135,1,102.4711037,0,20,5,0,0,0,269.9862,0.999949,102.471104,115.49807,238,72360,72598,103.0138,72225,72328.0138,0.003719
0.06,162,27,20,20,5,161.8834,0.99928,136.5877397,162,27,20,20,10,162,1,110.7400802,0,20,5,0,0,0,323.8834,0.99964,110.74008,123.659257,313,72360,72673,151.1166,72198,72349.1166,0.004457
0.07,190,27,20,20,5,189.2468,0.996036,144.9415176,190,27,20,20,10,190,1,119.3036211,0,20,5,0,0,0,379.2468,0.998018,119.303621,132.09711,439,72360,72799,249.7532,72170,72419.7532,0.00521
0.08,216,27,20,20,5,212.1738,0.982286,151.9051499,216,27,20,20,10,215,0.99537,127.3710326,0,20,5,0,0,0,427.1738,0.988828,127.371033,139.556932,468,72360,72828,255.8262,72145,72400.8262,0.005866
0.09,243,27,20,20,5,233.1584,0.9595,158.7915048,243,27,20,20,10,242,0.995885,136.3051736,0,20,5,0,0,0,475.1584,0.977692,136.305174,147.33913,548,72360,72908,314.8416,72118,72432.8416,0.006517
0.1,270,27,20,20,5,248.6638,0.920977,164.500337,270,27,20,20,10,269,0.996296,145.6916617,0,20,5,0,0,0,517.6638,0.958637,145.691662,154.726554,619,72360,72979,370.3362,72091,72461.3362,0.007093
0.2,540,27,20,20,5,163.266,0.302344,185.1157681,540,27,20,20,10,418.2014,0.774447,256.2373758,120.7986,20,5,120.7986,1,400.4311168,702.266,0.650246,288.553521,264.505841,947,72360,73307,662.9354,71941.7986,72604.734,0.00958
0.3,810,27,20,20,5,81.0962,0.100119,196.8346865,810,27,20,20,10,160.2172,0.197799,280.609369,647.7828,20,5,264.0028,0.407548,478.1760171,505.3162,0.311924,403.560074,370.383534,2104,72360,74464,1758.901,72199.7828,73958.6838,0.006786
0.4,1080,27,20,20,5,50.0344,0.046328,211.2036959,1080,27,20,20,10,84.9532,0.07866,316.4698846,992.0468,20,5,143.587,0.144738,480.0903599,278.5746,0.12897,419.269187,381.898831,2182,72360,74542,1988.3786,72275.0468,74263.4254,0.003737
0.5,1350,27,20,20,5,37.2358,0.027582,224.5747614,1350,27,20,20,10,60.2882,0.044658,349.0107832,1286.7118,20,5,113.3356,0.088082,481.9988318,210.8596,0.078096,435.820773,398.516736,2207,72360,74567,2056.4286,72299.7118,74356.1404,0.002828
0.6,1620,27,20,20,5,31.0816,0.019186,234.4433942,1620,27,20,20,10,50.5506,0.031204,369.9750488,1565.4494,20,5,101.7138,0.064974,482.826115,183.346,0.056588,445.360436,409.604875,2241,72360,74601,2108.2046,72309.4494,74417.654,0.002458
0.7,1890,27,20,20,5,27.8638,0.014743,241.1744234,1890,27,20,20,10,45.9054,0.024289,382.1123288,1839.0946,20,5,95.465,0.051909,483.2837218,169.2342,0.044771,450.431631,415.978187,2258,72360,74618,2134.6712,72314.0946,74448.7658,0.002268
0.8,2160,27,20,20,5,25.6676,0.011883,245.528908,2160,27,20,20,10,43.0094,0.019912,389.0896943,2111.9906,20,5,91.1952,0.04318,483.6337724,159.8722,0.037007,453.334632,419.971269,2275,72360,74635,2158.1372,72316.9906,74475.1278,0.002142
0.9,2430,27,20,20,5,24.4164,0.010048,248.275061,2430,27,20,20,10,40.9972,0.016871,393.6004508,2383.0028,20,5,88.2854,0.037048,484.2528742,153.699,0.031625,455.505807,422.585432,2289,72360,74649,2176.2982,72319.0028,74495.301,0.002059
1,2700,27,20,20,5,23.2822,0.008623,250.409201,2700,27,20,20,10,39.5952,0.014665,396.4818311,2653.4048,20,5,85.4198,0.032193,484.5069515,148.2972,0.027462,456.627319,424.251715,2303,72360,74663,2194.298,72320.4048,74514.7028,0.001986
