M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
135.0,27,20,20,5,134.993999,0.999956,128.33967,135.0,27,20,40,5,134.99959,0.999997,101.763177,0.00041,20,5,0.00041,1.0,220.705126,269.993999,0.999978,101.763539,115.051309,283.17688236752576,72360.0,72643.17688236752,148.1824738289158,72225.00040995228,72373.18288378119,0.003717
162.0,27,20,20,5,161.920595,0.99951,136.514537,162.0,27,20,40,5,161.996936,0.999981,107.646705,0.003064,20,5,0.003064,1.0,225.757335,323.920595,0.999755,107.648938,122.0782,348.6900613101992,72360.0,72708.6900613102,186.76640219671782,72198.00306372768,72384.7694659244,0.004455
189.5,27,20,20,5,188.404741,0.99422,144.560855,189.5,27,20,40,5,188.983373,0.997274,113.579375,0.016627,20,5,0.016627,1.0,231.52438,377.404741,0.995791,113.589752,129.050879,420.5121003218942,72360.0,72780.5121003219,232.0907317730028,72171.0166272531,72403.10735902611,0.005186
216.0,27,20,20,5,212.382486,0.983252,151.929595,216.0,27,20,40,5,214.932069,0.995056,119.480399,0.067931,20,5,0.067931,1.0,237.292914,427.382486,0.989311,119.517623,135.624355,496.08768115269754,72360.0,72856.0876811527,283.6372641489944,72145.0679308672,72428.7051950162,0.005866
243.0,27,20,20,5,233.621063,0.961404,158.746969,243.0,27,20,40,5,241.756472,0.994883,125.858805,0.243528,20,5,0.243528,1.0,243.136306,475.621063,0.978644,125.976823,142.073243,576.0140291196805,72360.0,72936.01402911969,342.1494381710777,72118.24352773104,72460.39296590212,0.006521
270.0,27,20,20,5,248.858753,0.921699,164.409793,270.0,27,20,40,5,268.25609,0.993541,132.480856,0.74391,20,5,0.74391,1.0,248.561979,517.858753,0.958998,132.801874,147.991165,648.8062411751491,72360.0,73008.80624117515,399.2035785141981,72091.74390967301,72490.9474881872,0.007093
540.0,27,20,20,5,152.249425,0.281943,180.987612,540.0,27,20,40,5,366.044268,0.67786,185.470152,172.955732,20,5,172.95037,0.999969,295.835838,691.244063,0.640041,220.883837,212.096525,1178.1571297895819,72360.0,73538.15712978959,852.9573351816166,71993.95573215048,72846.9130673321,0.0094
810.0,27,20,20,5,59.377005,0.073305,178.795917,810.0,27,20,40,5,226.785503,0.279982,210.371533,581.214497,20,5,296.746733,0.510563,376.408963,582.909241,0.359821,304.484295,291.681274,2101.473160986004,72360.0,74461.473160986,1745.3494228097725,72133.21449730756,73878.56392011733,0.007828
1080.0,27,20,20,5,24.955856,0.023107,174.63849,1080.0,27,20,40,5,143.39296,0.132771,235.114772,933.60704,20,5,141.622558,0.151694,410.041022,309.971374,0.143505,322.034611,310.16772,2182.489410639543,72360.0,74542.48941063954,2015.9109963350559,72216.60704036623,74232.51803670128,0.004158
1350.0,27,20,20,5,11.538315,0.008547,170.232412,1350.0,27,20,40,5,104.191283,0.077179,257.384118,1242.808717,20,5,97.799262,0.078692,439.517949,213.52886,0.079085,345.569208,336.094651,2210.5293348763853,72360.0,74570.52933487638,2101.1917575633047,72255.80871683735,74357.00047440064,0.002863
1620.0,27,20,20,5,5.779211,0.003567,166.088375,1620.0,27,20,40,5,85.011491,0.052476,273.475645,1530.988509,20,5,80.616307,0.052656,459.851466,171.407009,0.052903,364.190674,357.511396,2229.00524826604,72360.0,74589.00524826604,2142.6097302067737,72274.98850922125,74417.59823942803,0.002298
1890.0,27,20,20,5,3.049102,0.001613,162.344923,1890.0,27,20,40,5,74.649191,0.039497,283.843531,1810.350809,20,5,71.895627,0.039714,473.071996,149.59392,0.039575,376.679971,372.311281,2241.5944896580386,72360.0,74601.59448965803,2166.6497612911917,72285.3508089368,74452.00057022799,0.002005
2160.0,27,20,20,5,1.656887,0.000767,158.987943,2160.0,27,20,40,5,68.39366,0.031664,290.347926,2086.60634,20,5,66.690067,0.031961,481.683282,136.740614,0.031653,384.809102,382.072825,2253.880465147501,72360.0,74613.88046514751,2185.533510805706,72291.6063403115,74477.1398511172,0.001833
2430.0,27,20,20,5,0.918815,0.000378,155.991674,2430.0,27,20,40,5,64.237562,0.026435,294.512793,2359.762438,20,5,63.257353,0.026807,487.361139,128.41373,0.026423,390.195636,388.51988,2261.7794228121666,72360.0,74621.77942281216,2197.60325432029,72295.76243809971,74493.36569242,0.001721
2700.0,27,20,20,5,0.514428,0.000191,153.291483,2700.0,27,20,40,5,61.216806,0.022673,297.342249,2631.783194,20,5,60.798965,0.023102,491.245345,122.530199,0.022691,393.961788,392.951363,2269.7885026078166,72360.0,74629.78850260781,2208.4751100276408,72298.78319433727,74507.25830436492,0.001642
