Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,135,27,20,20,5,134.9846,0.999886,128.5122251,135,27,20,40,5,134.9992,0.999994,101.7732579,0.0008,20,5,0.0008,1,218,269.9846,0.999943,101.773947,115.142323,259,72360,72619,124.0146,72225.0008,72349.0154,0.003718
0.06,162,27,20,20,5,161.8682,0.999186,136.6455493,162,27,20,40,5,161.995,0.999969,107.7293774,0.005,20,5,0.005,1,241.9,323.8682,0.999593,107.733519,122.183651,313,72360,72673,151.1268,72198.005,72349.1318,0.004457
0.07,190,27,20,20,5,189.2386,0.995993,144.9121601,190,27,20,40,5,189.9744,0.999865,113.7893148,0.0256,20,5,0.0256,1,234.9140625,379.2386,0.997996,113.805635,129.327671,369,72360,72729,179.7358,72170.0256,72349.7614,0.005214
0.08,216,27,20,20,5,212.1644,0.982243,151.9928282,216,27,20,40,5,214.9168,0.994985,119.4982272,0.0832,20,5,0.0832,1,239.3341346,427.1644,0.988806,119.544601,135.661016,454,72360,72814,241.7524,72145.0832,72386.8356,0.005867
0.09,243,27,20,20,5,233.2082,0.959705,158.8125293,243,27,20,40,5,241.7282,0.994766,125.8419576,0.2718,20,5,0.2718,1,245.1210449,475.2082,0.977795,125.975925,142.090473,537,72360,72897,303.52,72118.2718,72421.7918,0.006519
0.1,270,27,20,20,5,248.4968,0.920359,164.4720471,270,27,20,40,5,268.1982,0.993327,132.4076929,0.8018,20,5,0.8018,1,249.7379646,517.4968,0.958327,132.757416,147.986465,629,72360,72989,379.7014,72091.8018,72471.5032,0.00709
0.2,540,27,20,20,5,151.9488,0.281387,181.132825,540,27,20,40,5,365.8578,0.677514,185.5454062,173.1422,20,5,173.1334,0.999949,296.7334651,690.94,0.639759,221.260955,212.436135,1194,72360,73554,868.9178,71994.1422,72863.06,0.009394
0.3,810,27,20,20,5,59.1772,0.073058,178.9143048,810,27,20,40,5,226.2348,0.279302,210.5769961,581.7652,20,5,296.2588,0.509241,376.4641131,581.6708,0.359056,304.636556,291.846004,2070,72360,74430,1714.564,72133.7652,73848.3292,0.007815
0.4,1080,27,20,20,5,24.7124,0.022882,174.7925819,1080,27,20,40,5,143.113,0.132512,235.3840217,933.887,20,5,141.3268,0.151332,410.1537175,309.1522,0.143126,322.220118,310.435346,2164,72360,74524,1997.9608,72216.887,74214.8478,0.004148
0.5,1350,27,20,20,5,11.4644,0.008492,170.7211193,1350,27,20,40,5,103.9412,0.076993,257.8571769,1243.0588,20,5,97.8404,0.078709,439.6976934,213.246,0.07898,346.028491,336.603724,2189,72360,74549,2079.6952,72256.0588,74335.754,0.00286
0.6,1620,27,20,20,5,5.7386,0.003542,166.2250897,1620,27,20,40,5,84.7248,0.052299,273.6901073,1531.2752,20,5,80.349,0.052472,460.0183885,170.8124,0.05272,364.384639,357.727287,2192,72360,74552,2105.9124,72275.2752,74381.1876,0.002291
0.7,1890,27,20,20,5,3.0506,0.001614,162.6739986,1890,27,20,40,5,74.5512,0.039445,283.9722955,1810.4488,20,5,71.6932,0.0396,473.1501956,149.295,0.039496,376.712729,372.339196,2206,72360,74566,2131.2562,72285.4488,74416.705,0.002002
0.8,2160,27,20,20,5,1.6652,0.000771,158.938626,2160,27,20,40,5,68.5342,0.031729,290.5273265,2086.4658,20,5,66.413,0.03183,481.8781338,136.6124,0.031623,384.698833,381.94699,2210,72360,74570,2141.9218,72291.4658,74433.3876,0.001832
0.9,2430,27,20,20,5,0.9212,0.000379,154.5490664,2430,27,20,40,5,64.3338,0.026475,294.6120406,2359.6662,20,5,63.117,0.026748,487.4205285,128.372,0.026414,390.095893,388.405604,2252,72360,74612,2187.9618,72295.6662,74483.628,0.001721
1,2700,27,20,20,5,0.5262,0.000195,153.9492588,2700,27,20,40,5,61.2308,0.022678,297.4200337,2631.7692,20,5,60.6632,0.02305,491.3341795,122.4202,0.02267,393.925626,392.894133,2246,72360,74606,2184.8106,72298.7692,74483.5798,0.001641
