M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
135.0,27,80,20,5,134.998569,0.999989,313.119085,135.0,27,80,20,5,134.998573,0.999989,287.119094,0.001427,20,5,0.001427,1.0,588.082895,269.998569,0.999995,287.122275,300.120611,282.19551402508114,72360.0,72642.19551402508,147.1955182917467,72225.00142679317,72372.19694508491,0.003717
162.0,27,80,20,5,161.964057,0.999778,335.72436,162.0,27,80,20,5,161.964578,0.999781,309.725166,0.035422,20,5,0.035422,1.0,589.284626,323.964057,0.999889,309.786293,322.753888,346.3080377608155,72360.0,72706.30803776081,184.30855885450364,72198.03542177672,72382.34398063122,0.004456
189.5,27,80,20,5,188.642207,0.995473,357.70611,189.5,27,80,20,5,188.657394,0.995554,331.724506,0.342606,20,5,0.342606,1.0,592.344968,377.642207,0.996417,332.19694,344.939441,415.8213548073475,72360.0,72775.82135480735,226.8365411644368,72171.34260626519,72398.17914742962,0.005189
216.0,27,80,20,5,213.170087,0.986899,377.585278,216.0,27,80,20,5,213.324905,0.987615,351.736739,1.675095,20,5,1.675095,1.0,598.106413,428.170087,0.991134,353.65624,365.569625,488.84034116292224,72360.0,72848.84034116293,273.9951597645548,72146.67509476455,72420.6702545291,0.005878
243.0,27,80,20,5,235.480308,0.969055,395.535909,243.0,27,80,20,5,236.349602,0.972632,370.237693,5.650398,20,5,5.650398,1.0,607.465892,477.480308,0.98247,375.776675,385.521392,569.328658571668,72360.0,72929.32865857167,328.1979527204243,72123.65039752737,72451.84835024779,0.006547
270.0,27,80,20,5,252.104302,0.93372,409.64189,270.0,27,80,20,5,255.041727,0.944599,385.677911,13.958273,20,5,13.958273,1.0,619.901683,521.104302,0.965008,397.831664,403.545316,648.2537223740131,72360.0,73008.25372237401,382.1911474887875,72104.95827286104,72487.14942034983,0.007138
540.0,27,80,20,5,205.417966,0.380404,441.471815,540.0,27,80,20,5,244.379526,0.452555,438.87205,294.620474,20,5,293.3827,0.995799,797.281998,743.180192,0.68813,634.406941,581.078903,1554.7485187339257,72360.0,73914.74851873392,1055.9478533301271,72115.620473947,73171.56832727713,0.010055
810.0,27,80,20,5,154.844289,0.191166,451.365968,810.0,27,80,20,5,189.035183,0.233377,450.641152,618.964817,20,5,401.072381,0.647973,865.359181,744.951853,0.459847,732.50832,674.0706,2278.440994411178,72360.0,74638.44099441118,1722.5243253026208,72170.96481708744,73893.48914239007,0.009981
1080.0,27,80,20,5,128.319919,0.118815,459.330736,1080.0,27,80,20,5,157.165642,0.145524,458.012513,919.834358,20,5,352.936675,0.383696,867.142986,638.422236,0.295566,741.087386,684.455602,2570.2131145055987,72360.0,74930.2131145056,2088.9565204835526,72202.83435786312,74291.79087834667,0.00852
1350.0,27,80,20,5,111.959539,0.082933,465.929448,1350.0,27,80,20,5,137.58585,0.101915,464.160802,1209.41415,20,5,317.119918,0.26221,865.835284,566.665307,0.209876,744.295755,689.297217,2749.9322477701307,72360.0,75109.93224777014,2320.8527908615506,72222.4141496403,74543.26694050185,0.007544
1620.0,27,80,20,5,100.758747,0.062197,471.309042,1620.0,27,80,20,5,124.417873,0.076801,469.351093,1491.582127,20,5,294.287352,0.197299,864.787419,519.463972,0.160328,747.283878,693.753931,2880.8994474546134,72360.0,75240.89944745462,2485.85334885918,72235.5821267069,74721.43547556608,0.006904
1890.0,27,80,20,5,92.49487,0.048939,475.645581,1890.0,27,80,20,5,114.829754,0.060756,473.655838,1770.170246,20,5,278.938498,0.157577,864.098378,486.263122,0.128641,750.23846,698.006589,2986.2689984854464,72360.0,75346.26899848545,2614.8356306490155,72245.1702458317,74860.00587648072,0.006454
2160.0,27,80,20,5,86.074281,0.039849,479.140142,2160.0,27,80,20,5,107.430347,0.049736,477.208674,2047.569653,20,5,267.894817,0.130836,863.670528,461.399445,0.106805,753.052496,701.954019,3066.785189740521,72360.0,75426.78518974052,2712.8160919572897,72252.56965252337,74965.38574448065,0.006117
2430.0,27,80,20,5,80.92238,0.033301,481.963957,2430.0,27,80,20,5,101.514985,0.041776,480.151281,2322.485015,20,5,259.520842,0.111743,863.427718,441.958207,0.090938,755.659184,705.545692,3130.2742541488815,72360.0,75490.27425414888,2789.831031527571,72258.48501549286,75048.31604702043,0.005855
2700.0,27,80,20,5,76.621492,0.028378,484.30782,2700.0,27,80,20,5,96.596471,0.035776,482.66188,2596.403529,20,5,252.826366,0.097376,863.31108,426.044329,0.078897,758.082212,708.845546,3186.9920465170617,72360.0,75546.99204651706,2857.5441885256087,72263.40352870671,75120.94771723232,0.005639
