Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,135,27,40,20,5,134.9974,0.999981,189.88332886411143,135,27,40,20,5,134.9882,0.999913,163.9366100148013,0.0118,20,5,0.006,0.508475,348.0,269.99159999999995,0.999969,163.944791,176.914214,275.0,72360.0,72635.0,139.99659999999997,72225.01180000001,72365.0084,0.003717
0.06,162,27,40,20,5,161.9548,0.999721,202.67243329620362,162,27,40,20,5,161.927,0.999549,176.8039085513843,0.073,20,5,0.038,0.520548,350.1842105263158,323.9198,0.999752,176.844587,189.758103,344.0,72360.0,72704.0,182.00719999999998,72198.073,72380.0802,0.004455
0.07,190,27,40,20,5,189.6846,0.99834,215.7697635970448,190,27,40,20,5,189.5324,0.997539,189.55929329233413,0.4676,20,5,0.2744,0.586826,353.0874635568513,379.4914,0.998662,189.795703,202.778551,409.0,72360.0,72769.0,219.04099999999997,72170.4676,72389.5086,0.005215
0.08,216,27,40,20,5,213.5448,0.988633,226.7645683716015,216,27,40,20,5,213.0286,0.986244,200.47857752433245,1.9714,20,5,1.3986,0.709445,356.65830115830113,427.972,0.990676,201.497259,214.104865,490.0,72360.0,72850.0,275.05659999999995,72146.97140000001,72422.028,0.005875
0.09,243,27,40,20,5,235.9702,0.971071,237.0845941563807,243,27,40,20,5,235.9908,0.971156,210.96959118745298,6.0092,20,5,5.0944,0.847767,361.928431218593,477.0554,0.981595,214.15952,225.499156,585.0,72360.0,72945.0,343.9354000000001,72124.0092,72467.9446,0.00654
0.1,270,27,40,20,5,252.8434,0.936457,245.06838897119707,270,27,40,20,5,254.693,0.943307,219.70692362962458,14.307,20,5,13.3108,0.93037,368.7436066953152,520.8472,0.964532,227.109048,235.827346,604.0,72360.0,72964.0,337.8458,72105.307,72443.1528,0.007138
0.2,540,27,40,20,5,205.6274,0.380791,262.8643249878177,540,27,40,20,5,243.4316,0.450799,250.08689586725802,295.5684,20,5,292.813,0.990678,467.5961910844123,741.872,0.686919,368.856482,339.478245,1503.0,72360.0,73863.0,1004.5595999999997,72116.5684,73121.128,0.010044
0.3,810,27,40,20,5,151.7658,0.187365,267.4015483066671,810,27,40,20,5,186.1024,0.229756,256.64445380607674,621.8976,20,5,394.8256,0.634872,507.1579750654468,732.6938,0.45228,426.905056,393.866456,2404.0,72360.0,74764.0,1857.4086,72173.8976,74031.30619999999,0.0098
0.4,1080,27,40,20,5,118.9998,0.110185,269.22519113477506,1080,27,40,20,5,150.379,0.13924,260.5593101430386,926.621,20,5,299.687,0.323419,511.95408376072396,569.0658,0.263456,427.956415,394.763445,2563.0,72360.0,74923.0,2144.313199999999,72209.621,74353.9342,0.007595
0.5,1350,27,40,20,5,95.2484,0.070554,268.7998979510418,1350,27,40,20,5,125.2458,0.092775,263.83886804986673,1221.7542,20,5,193.9202,0.158723,516.4004270828929,414.4144,0.153487,417.291266,383.162227,2648.0,72360.0,75008.0,2358.8313999999996,72234.7542,74593.58559999999,0.005525
0.6,1620,27,40,20,5,77.2132,0.047662,267.43676728849465,1620,27,40,20,5,106.6898,0.065858,266.5102390294105,1509.3102,20,5,125.0878,0.082877,527.295490847229,308.99080000000004,0.095368,407.253147,372.314663,2672.0,72360.0,75032.0,2469.6990000000005,72253.3102,74723.0092,0.004118
0.7,1890,27,40,20,5,63.326,0.033506,265.4542210150648,1890,27,40,20,5,92.1438,0.048753,268.9233361333047,1792.8562,20,5,86.1782,0.048068,546.1438635292917,241.648,0.063928,402.89652,366.878547,2679.0,72360.0,75039.0,2529.495799999999,72267.85620000001,74797.35200000001,0.00322
0.8,2160,27,40,20,5,52.3006,0.024213,263.1206200311277,2160,27,40,20,5,80.4008,0.037223,271.45473179371345,2074.5992,20,5,64.7928,0.031231,568.3158684298256,197.4942,0.045716,403.929333,366.640237,2693.0,72360.0,75053.0,2575.9066000000003,72279.5992,74855.5058,0.002631
0.9,2430,27,40,20,5,44.2252,0.0182,260.78759621211435,2430,27,40,20,5,71.0848,0.029253,273.6339780093635,2352.9152,20,5,52.7068,0.022401,590.2102081704827,168.0168,0.034571,408.422769,369.562399,2713.0,72360.0,75073.0,2616.068,72288.9152,74904.9832,0.002238
1.0,2700,27,40,20,5,37.4486,0.01387,258.52323718376664,2700,27,40,20,5,63.6766,0.023584,275.8224795293719,2629.3234,20,5,45.8376,0.017433,608.8577019739253,146.96280000000002,0.027215,415.215684,375.287806,2717.0,72360.0,75077.0,2633.7137999999995,72296.3234,74930.03719999999,0.001957
