Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,3,5,3,5,10,5,0.925202,147.504581,680.2074737,430.4028646,0.367248,0.8,36,18
0.06,20,20,3,5,3,5,10,5,0.913688,149.058023,815.6564642,519.6215733,0.362941,0.8,36,18
0.07,20,20,3,5,3,5,10,5,0.908783,152.493522,962.6213882,618.1927016,0.357803,0.8,36,18
0.08,20,20,3,5,3,5,10,5,0.924207,155.825442,1125.652551,726.3953397,0.35469,0.9,36,18
0.09,20,20,3,5,3,5,10,5,0.914957,165.209742,1299.111561,854.4425891,0.342287,0.9,36,18
0.1,20,20,3,5,3,5,10,5,0.922441,174.198159,1487.869926,989.7516062,0.334786,1,36,18
0.2,40,40,3,5,3,5,10,5,0.910827,383.60376,2714.602774,1730.910083,0.362371,0.8,36,18
0.3,40,40,3,5,3,5,10,5,0.909954,433.366264,4538.914612,3064.788577,0.324775,1,36,18
0.4,40,40,3,5,3,5,10,5,0.906909,469.227254,5974.905285,4015.981736,0.327859,1.4,36,18
0.5,40,40,5,8,5,10,20,10,0.943037,610.659929,8475.096091,5928.897529,0.300433,1.3,36,18
0.6,40,40,5,8,5,20,40,20,0.905291,669.785476,9776.787867,6843.645801,0.300011,1.5,36,18
0.7,40,40,5,8,5,40,120,40,0.938203,859.899109,11732.58515,8186.176002,0.30227,1.7,36,18
0.8,40,40,5,8,5,80,160,80,0.950062,994.568799,13640.64472,9536.377582,0.300885,1.8,36,18
0.9,40,40,6,8,6,80,160,80,0.918547,1063.31606,14874.5569,10410.4165,0.300119,1.7,40,14
1,40,40,6,8,6,80,240,80,0.928475,1271.376043,16609.83275,11596.06608,0.301855,1.6,42,12
