M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
90,36,20,5,3,71.156842,0.790632,144.35765,180,18,20,10,5,162.187788,0.901043,135.312735,17.812212,5,3,16.459979,0.924084,281.240739,249.804609,0.925202,148.75803,147.504581,231.2074737,449,680.2074737,143.5906524,286.8122122,430.4028646,0.367248
108,36,20,5,3,84.294984,0.780509,144.080221,216,18,20,10,5,190.942796,0.883994,136.273868,24.057204,5,3,20.797111,0.864486,286.608183,296.034891,0.913688,151.039717,149.058023,283.6564642,532,815.6564642,178.5643691,341.0572042,519.6215733,0.362941
126.3333333,36,20,5,3,98.112522,0.776616,144.429234,252.6666667,18,20,10,5,217.670681,0.861493,138.488627,34.329319,5,3,28.645483,0.834432,286.534294,344.428686,0.908783,155.705684,152.493522,345.6213882,617,962.6213882,218.8633823,399.3293193,618.1927016,0.357803
144,36,20,5,3,117.874728,0.818574,142.992212,288,18,20,10,5,244.021261,0.847296,142.790641,42.978739,5,3,37.361222,0.869295,281.449866,399.257211,0.924207,161.201446,155.825442,415.6525507,710,1125.652551,260.4166011,465.9787386,726.3953397,0.35469
162,36,20,5,3,132.429652,0.817467,142.721149,324,18,20,10,5,251.06704,0.774898,148.291412,71.93296,5,3,61.17228,0.850407,283.331739,444.668972,0.914957,174.7478,165.209742,520.1115612,779,1299.111561,326.5096291,527.93296,854.4425891,0.342287
180,36,20,5,3,153.191962,0.851066,141.222243,360,18,20,10,5,248.816614,0.691157,153.174615,110.183386,5,3,96.109744,0.872271,281.186814,498.11832,0.922441,188.843735,174.198159,647.8699265,840,1487.869926,398.5682206,591.1833856,989.7516062,0.334786
360,36,40,5,3,280.610541,0.779474,365.109903,720,18,40,10,5,633.815514,0.880299,367.156295,84.184486,5,3,69.266637,0.822796,609.025839,983.692692,0.910827,390.984933,383.60376,954.6027743,1760,2714.602774,604.7255969,1126.184486,1730.910083,0.362371
540,36,40,5,3,458.789198,0.84961,359.513384,1080,18,40,10,5,639.515137,0.592144,377.622042,437.484863,5,3,375.821701,0.859051,618.380001,1474.126036,0.909954,466.73736,433.366264,2188.914612,2350,4538.914612,1354.303713,1710.484863,3064.788577,0.324775
720,36,40,5,3,642.15114,0.891877,345.9669,1440,18,40,10,5,473.618704,0.328902,378.951094,962.381296,5,3,843.153705,0.876112,613.813294,1958.923549,0.906909,529.3377,469.227254,3427.905285,2547,5974.905285,1942.60044,2073.381296,4015.981736,0.327859
900,36,40,10,5,871.950317,0.968834,363.435518,1800,18,40,20,8,385.310268,0.214061,474.667443,1410.689732,10,5,1288.937977,0.913693,818.557213,2546.198562,0.943037,739.414672,610.659929,5227.096091,3248,8475.096091,3066.207797,2862.689732,5928.897529,0.300433
1080,36,40,20,5,1060.100083,0.981574,361.668147,2160,18,40,40,8,371.837005,0.172147,550.081781,1783.162995,20,5,1501.204978,0.841878,917.017184,2933.142066,0.905291,844.173029,669.785476,6170.787867,3606,9776.787867,3609.482806,3234.162995,6843.645801,0.300011
1260,36,40,40,5,1244.695129,0.987853,369.547449,2520,18,40,120,8,572.55211,0.227203,818.601129,1941.44789,40,5,1729.161912,0.890656,1226.541217,3546.409151,0.938203,1125.065988,859.899109,6717.585154,5015,11732.58515,3743.728112,4442.44789,8186.176002,0.30227
1440,36,40,80,5,1419.525679,0.985782,393.514966,2880,18,40,160,8,626.364979,0.217488,989.912588,2246.635021,80,5,2058.376482,0.916204,1410.492634,4104.26714,0.950062,1312.368991,994.568799,7868.644722,5772,13640.64472,4390.742561,5145.635021,9536.377582,0.300885
1620,40,40,80,6,1606.139653,0.991444,399.393589,3240,14,40,160,8,325.460829,0.100451,1190.030178,2906.539171,80,6,2532.539913,0.871325,1468.092199,4464.140395,0.918547,1436.427303,1063.31606,10272.5569,4602,14874.5569,6133.877331,4276.539171,10410.4165,0.300119
1800,42,40,80,6,1780.609422,0.989227,408.87979,3600,12,40,240,8,321.475123,0.089299,1670.253775,3269.524877,80,6,2911.682127,0.890552,1754.787221,5013.766672,0.928475,1746.382,1271.376043,11596.83275,5013,16609.83275,6904.541205,4691.524877,11596.06608,0.301855
