Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T,W_rar,W_pbo,R_4s,R_2s,D_max
0.05,1,113.36578,48400.63931,48130.63939,"[5, 5, 4, 5, 5, 5]",0.005578,20,120,36,18,300
0.06,1,116.115453,48440.72699,48116.72699,"[6, 5, 4, 5, 5, 5]",0.006689,20,120,36,18,300
0.07,0.997361,119.472295,48486.79952,48108.79954,"[6, 4, 4, 5, 5, 5]",0.007796,20,120,36,18,300
0.08,0.99537,123.397521,48537.02316,48107.02328,"[6, 4, 4, 5, 5, 5]",0.008859,20,120,36,18,300
0.09,0.995885,128.288055,48599.48175,48115.48176,"[7, 4, 4, 5, 5, 5]",0.009959,20,120,36,18,300
0.1,0.996296,133.889732,48665.40231,48127.40241,"[7, 4, 4, 5, 10, 5]",0.011055,20,120,36,18,300
0.2,0.998148,229.225489,49416.63539,48338.63558,"[8, 4, 4, 5, 60, 5]",0.021815,40,120,36,18,500
0.3,0.984352,319.511174,51216.11304,49621.46306,"[8, 4, 5, 10, 60, 5]",0.031136,40,120,36,18,500
0.4,0.941474,374.675333,52206.52814,50172.94524,"[5, 4, 5, 40, 60, 5]",0.038953,40,240,36,18,500
0.5,0.981189,458.503937,52604.49073,49955.28114,"[8, 4, 5, 10, 60, 5]",0.050361,40,480,36,18,500
0.6,0.906373,511.944887,53855.79558,50919.14792,"[3, 4, 6, 160, 120, 3]",0.054528,40,360,36,18,700
0.7,0.907868,624.078796,40406.78906,36975.04788,"[4, 8, 5, 20, 40, 10]",0.08493,40,480,42,12,700
0.8,0.915003,711.823844,41930.12835,37977.31576,"[4, 7, 7, 80, 80, 30]",0.094271,40,480,42,12,900
0.9,0.918427,728.481248,24854.12701,20390.56946,"[5, 10, 6, 60, 40, 20]",0.17959,40,480,49,5,900
1,0.936436,821.934345,26504.56538,21447.811,"[6, 10, 7, 120, 60, 40]",0.190788,40,480,49,5,1100
