Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,4,5,5,5,0.910531,159.016879,697.3257113,451.4824543,0.352552,0.7,36,18
0.06,20,20,6,5,4,5,5,5,0.929235,161.175644,857.556714,556.4846028,0.351081,0.7,36,18
0.07,20,20,6,4,4,5,5,5,0.911968,160.399009,992.1194919,646.4837164,0.348381,0.7,36,18
0.08,20,20,6,4,4,5,5,5,0.912123,160.00364,1127.588657,733.5515856,0.349451,0.7,36,18
0.09,20,20,7,4,4,5,5,5,0.926903,164.479385,1300.854064,850.3789692,0.346292,0.7,36,18
0.1,20,20,7,4,4,5,10,5,0.918926,169.249525,1451.745237,955.5251532,0.341809,0.7,36,18
0.2,40,40,8,4,4,5,60,5,0.933465,270.476863,2971.924897,1963.782962,0.339222,0.7,36,18
0.3,40,40,8,4,5,10,60,5,0.924814,330.73647,4847.71665,3349.51757,0.309053,0.8,36,18
0.4,40,40,5,4,5,40,60,5,0.904241,380.243463,6136.676188,4183.514747,0.318277,1,36,18
0.5,40,40,8,4,5,10,60,5,0.91294,482.558003,7815.018898,5350.081798,0.31541,0.9,36,18
0.6,40,40,3,4,6,160,120,30,0.901855,511.977282,8610.102635,5688.093964,0.33937,1.5,36,18
0.7,40,40,4,8,5,20,40,10,0.901123,624.421297,10768.55509,7362.310432,0.316314,1.6,42,12
0.8,40,40,4,7,7,80,80,30,0.902105,715.685984,12665.6935,8768.601745,0.307689,1.3,42,12
0.9,40,40,5,10,6,60,40,20,0.901295,730.944459,12906.61058,8526.315678,0.339384,1.3,49,5
1,40,40,6,10,7,120,60,40,0.907091,827.331011,14975.59359,10077.30093,0.327085,1.2,49,5
