Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,retrans_wbo
0.05,135,135,1,111.722786,72531.89705,72261.89706,0.003723,"[6, 7, 3, 5, 5, 5]"
0.06,162,162,1,113.653762,72578.78924,72254.78928,0.004464,"[6, 7, 3, 5, 5, 5]"
0.07,189.5,189.5,0.997361,115.866766,72631.98485,72253.98517,0.005204,"[6, 7, 3, 5, 5, 5]"
0.08,216,216,0.99537,118.317857,72690.47958,72260.47958,0.005915,"[7, 7, 3, 5, 5, 5]"
0.09,243,243,0.995885,121.262161,72760.48266,72276.48273,0.006652,"[7, 8, 3, 5, 5, 5]"
0.1,270,270,0.996296,124.696425,72842.11713,72304.11713,0.007386,"[8, 8, 3, 5, 5, 5]"
0.2,540,540,0.998148,188.096112,73609.87528,72531.87541,0.014645,"[10, 5, 5, 60, 60, 5]"
0.3,810,810,0.996961,386.747074,74732.61718,73117.54104,0.021611,"[10, 20, 3, 60, 20, 5]"
0.4,1080,1080,0.973436,353.712899,75102.46021,72999.83859,0.027997,"[5, 5, 3, 160, 160, 240]"
0.5,1350,1350,0.874124,421.756128,75626.774,73266.63941,0.031208,"[3, 5, 3, 240, 160, 240]"
0.6,1620,1620,0.764521,506.899059,76548.34397,74071.29658,0.032359,"[3, 5, 3, 240, 160, 240]"
0.7,1890,1890,0.642857,594.757818,77425.10851,74995.10722,0.031385,"[3, 5, 3, 240, 160, 240]"
0.8,2160,2160,0.522471,582.426901,77414.18332,75157.10733,0.029156,"[3, 3, 3, 240, 240, 240]"
0.9,2430,2430,0.481073,599.928851,76855.98134,74517.96516,0.030421,"[3, 3, 3, 30, 240, 240]"
1,2700,2700,0.435143,641.67195,77338.34302,74988.57239,0.030383,"[3, 3, 3, 20, 240, 240]"
