Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T
0.05,1.0,120.381284,72731.83825279363,72461.83825298131,"[7, 5, 3, 30, 20, 5]",0.003712
0.06,0.996914,127.940165,72817.40726481343,72494.40727767821,"[7, 5, 3, 30, 30, 5]",0.004436
0.07,0.997361,135.503251,72892.61971020089,72514.61979682416,"[7, 6, 3, 40, 30, 5]",0.005186
0.08,0.997685,144.504827,73031.14901144372,72600.14906469417,"[8, 6, 3, 30, 30, 5]",0.005902
0.09,0.997942,163.279133,73236.22702897608,72751.22703352668,"[10, 7, 3, 20, 30, 5]",0.006622
0.1,0.998146,174.907582,73384.79626140553,72845.79722878085,"[10, 7, 3, 20, 30, 5]",0.007345
0.2,0.851717,213.168591,73733.77597368928,72813.92190387128,"[3, 10, 3, 120, 20, 5]",0.012475
0.3,0.653406,246.371106,74087.17427986131,73028.65638155014,"[3, 7, 3, 120, 40, 60]",0.014287
0.4,0.484524,255.093852,74303.49063488687,73256.91889816927,"[3, 3, 3, 120, 120, 80]",0.014085
0.5,0.379881,294.652755,74749.80661509182,73724.12896395246,"[3, 3, 7, 120, 120, 30]",0.013721
0.6,0.339814,301.218453,74506.07542898593,73405.0779153595,"[3, 3, 7, 40, 120, 30]",0.014777
0.7,0.314972,337.839993,74852.2652288394,73661.67083265069,"[3, 3, 7, 20, 120, 30]",0.015906
0.8,0.261482,338.547661,74303.4405253554,73173.83910566538,"[3, 3, 3, 5, 120, 80]",0.015203
0.9,0.211774,349.312031,74471.77274177852,73442.55265388996,"[3, 3, 3, 5, 120, 80]",0.01382
1.0,0.171183,356.907749,74575.57929105051,73651.19289051596,"[3, 3, 3, 5, 120, 80]",0.012395
