Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,retrans_wbo
0.05,135,135,,,,,,
0.06,162,162,,,,,,
0.07,189.5,189.5,,,,,,"[, , , , , ]"
0.08,216,216,,,,,,"[, , , , , ]"
0.09,243,243,,,,,,"[, , , , , ]"
0.1,270,270,,,,,,"[, , , , , ]"
0.2,540,540,,,,,,"[, , , , , ]"
0.3,810,810,,,,,,"[, , , , , ]"
0.4,1080,1080,,,,,,"[, , , , , ]"
0.5,1350,1350,,,,,,"[, , , , , ]"
0.6,1620,1620,0.953811,455.38627,75774.2355,72683.88879,0.040784,"[3, 5, 3, 240, 160, 240]"
0.7,1890,1890,0.901118,512.279988,76746.1113,73339.88545,0.044383,"[3, 5, 3, 240, 160, 240]"
0.8,2160,2160,0.815783,573.523244,77679.49106,74155.30707,0.045368,"[3, 5, 3, 240, 160, 240]"
0.9,2430,2430,0.706796,631.969439,78488.04266,75053.01512,0.043765,"[3, 5, 3, 240, 160, 240]"
1,2700,2700,0.600206,613.172466,78492.07102,75250.95981,0.041292,"[3, 3, 3, 240, 240, 240]"
