Case,$M_{T}$,Optimal Configuration,,,,,
,,$N_{PTmax}$,,,$W_{BO}$,,
,,4S,2S,SW,4S,2S,SW
1:1,270,6,5,3,30,30,5
,324,7,5,3,30,30,5
,378-432,7,6,3,30,30,5
,486,8,6,3,40,40,5
,540,8,5,3,40,40,5
,1080,10,6,10,60,80,5
,1620-2160,5,5,4,160,160,160
,2700-3780,3,5,3,240,160,240
,4320,3,3,3,240,240,240
,4860,3,3,3,40,240,240
,5400,3,3,3,5,240,240
2:1,270,7,5,3,30,20,5
,324,8,5,3,30,30,5
,378,7,6,3,40,30,5
,432,8,6,3,40,30,5
,486-540,8,7,3,60,30,5
,1080,10,10,10,60,60,5
,1620,5,10,4,160,60,5
,2160,3,10,3,240,60,160
,2700-4860,3,5,3,240,160,240
,5400,3,3,3,240,240,240
1:2,270,5,6,3,20,30,5
,324,6,6,3,30,30,5
,378,6,5,3,30,40,5
,432,6,6,3,30,40,5
,486,6,5,3,30,60,5
,540,7,5,3,30,60,5
,1080,10,4,6,60,120,5
,1620,20,5,10,20,160,10
,2160,6,5,3,120,160,240
,2700,5,5,3,160,160,240
,3240-3780,3,3,3,240,240,240
,4320,3,3,3,40,240,240
,4860,3,3,3,20,240,240
,5400,3,3,3,5,240,240
