M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
180.0,27,20,20,5,179.999266,0.999996,130.280888,90.0,27,20,20,5,89.999999,1.0,97.112489,1e-06,20,5,1e-06,1.0,230.916249,269.999266,0.999997,97.112491,119.224725,248.6283636392512,72360.0,72608.62836363925,68.62909650271627,72270.00000108339,72338.6290975861,0.003719
216.0,27,20,20,5,214.995209,0.995348,133.810732,108.0,27,20,20,5,107.999995,1.0,98.361956,5e-06,20,5,5e-06,1.0,236.233582,322.995209,0.996899,98.361962,121.957717,320.33430827646964,72360.0,72680.33430827648,105.33909361027493,72252.00000547695,72357.33909908723,0.004444
252.66666666666666,27,20,20,5,251.972563,0.997253,138.120635,126.33333333333333,27,20,20,5,125.999978,0.997361,99.695354,2.2e-05,20,5,2.2e-05,1.0,223.832352,377.972563,0.997289,99.695376,125.311285,408.9367811616964,72360.0,72768.9367811617,156.96419542370774,72234.00002248307,72390.96421790677,0.005194
288.0,27,20,20,5,286.882206,0.996119,142.832301,144.0,27,20,20,5,143.99992,0.999999,101.120533,8e-05,20,5,8e-05,1.0,222.01274,430.882206,0.997413,101.120601,128.892331,507.5629666625537,72360.0,72867.56296666256,220.68068110913714,72216.0000796169,72436.68076072604,0.005913
324.0,27,20,20,5,322.55545,0.995542,148.402373,162.0,27,20,20,5,161.999748,0.999998,102.645989,0.000252,20,5,0.000252,1.0,228.545223,484.55545,0.997028,102.646185,133.104841,627.3694658666032,72360.0,72987.3694658666,304.8137631075154,72198.00025247579,72502.81401558331,0.006639
360.0,27,20,20,5,357.556697,0.993213,154.74313,180.0,27,20,20,5,179.999266,0.999996,104.280888,0.000734,20,5,0.000734,1.0,234.145989,537.556697,0.995475,104.281417,137.846106,749.6953214930911,72360.0,73109.6953214931,392.1378903127472,72180.00073394677,72572.13862425952,0.007353
720.0,27,20,20,5,370.152795,0.514101,203.950745,360.0,27,20,20,5,357.556718,0.993213,128.743106,1.443282,20,5,1.442233,0.999273,324.460003,729.151746,0.675141,129.529374,167.309272,1491.4476177942101,72360.0,73851.44761779421,1119.8525892972734,72002.44328233277,73122.29587163003,0.009873
1080.0,27,20,20,5,173.071743,0.160252,196.439414,540.0,27,20,20,5,462.322913,0.856154,163.973094,76.677087,20,5,75.669088,0.986854,362.785798,711.063744,0.438928,191.93629,193.032343,1657.7060264992742,72360.0,74017.70602649928,1408.9651948166609,71897.67708663506,73306.64228145171,0.009607
1440.0,27,20,20,5,67.683258,0.047002,133.648605,720.0,27,20,20,5,371.28166,0.515669,178.190887,346.71834,20,5,233.685097,0.673991,413.037359,672.650015,0.311412,268.906815,255.29689,2168.068493132214,72360.0,74528.06849313222,1866.700138190509,71988.71833960412,73855.41847779464,0.009025
1800.0,27,20,20,5,35.134692,0.019519,95.576971,900.0,27,20,20,5,272.169793,0.302411,184.482207,625.830207,20,5,183.250798,0.292812,448.516772,490.555283,0.181687,290.723659,276.746806,2361.2693395764077,72360.0,74721.2693395764,2142.883849711976,72087.83020692493,74230.7140566369,0.006565
2160.0,27,20,20,5,21.021115,0.009732,81.917283,1080.0,27,20,20,5,210.008837,0.194453,191.99151,866.991163,20,5,138.488283,0.159734,470.05796,369.518235,0.114049,302.491549,289.943543,2420.399235856118,72360.0,74780.39923585612,2260.8898376806605,72149.99116348845,74410.88100116911,0.004941
2520.0,27,20,20,5,13.065563,0.005185,76.547337,1260.0,27,20,20,5,169.715005,0.134694,200.953242,1087.284995,20,5,114.797916,0.105582,483.522136,297.578484,0.078724,314.966764,304.498654,2450.2467286044734,72360.0,74810.24672860447,2322.3832500693934,72190.28499543393,74512.66824550333,0.003978
2880.0,27,20,20,5,8.193321,0.002845,74.135285,1440.0,27,20,20,5,142.071892,0.098661,210.633458,1293.928108,20,5,100.900143,0.07798,492.104504,251.165356,0.05814,327.521267,319.255506,2469.7679383873337,72360.0,74829.76793838733,2360.6744737228187,72217.92810791398,74578.60258163679,0.003356
3240.0,27,20,20,5,5.13557,0.001585,72.892095,1620.0,27,20,20,5,121.778607,0.075172,220.706355,1494.221393,20,5,91.580461,0.06129,498.001546,218.494638,0.044958,339.730222,333.458371,2484.4671241601545,72360.0,74844.46712416016,2387.751093174175,72238.2213931059,74625.97248628006,0.002919
3600.0,27,20,20,5,3.207732,0.000891,72.184659,1800.0,27,20,20,5,106.362981,0.059091,230.845536,1689.637019,20,5,84.804403,0.050191,502.313037,194.375116,0.035995,351.272143,346.66642,2495.9421946100856,72360.0,74855.94219461009,2407.9300602038757,72253.63701867158,74661.56707887545,0.002597
