Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,90,27,20,20,5,90,1,123.1469889,180,27,20,20,5,179.9992,0.999996,104.5012111,0.0008,20,5,0.0008,1,238,270,1,104.501804,110.716866,104,72360,72464,13.9992,72180.0008,72194,0.003726
0.06,108,27,20,20,5,108,1,124.4504722,216,27,20,20,5,214.9952,0.995348,107.9263184,0.0048,20,5,0.0048,1,230.0833333,323,0.996914,107.929046,113.453238,130,72360,72490,21.9952,72145.0048,72167,0.004456
0.07,126,27,20,20,5,126,1,125.7826984,253,27,20,20,5,251.961,0.995893,112.3153643,0.039,20,5,0.039,1,230.3717949,378,0.997361,112.333635,116.816656,153,72360,72513,26.961,72108.039,72135,0.005213
0.08,144,27,20,20,5,144,1,127.2503125,288,27,20,20,5,286.849,0.996003,116.9068587,0.151,20,5,0.151,1,233.5198675,431,0.997685,116.968213,120.403531,188,72360,72548,43.849,72073.151,72117,0.005941
0.09,162,27,20,20,5,161.9996,0.999998,128.684977,324,27,20,20,5,322.49,0.99534,122.4919408,0.51,20,5,0.51,1,237.6078431,484.9996,0.997942,122.673703,124.681589,211,72360,72571,48.4904,72037.51,72086.0004,0.006683
0.1,180,27,20,20,5,179.9986,0.999992,130.4218438,360,27,20,20,5,357.4118,0.992811,128.8586753,1.5882,20,5,1.5882,1,242.2749654,538.9986,0.998146,129.360424,129.714885,258,72360,72618,76.4132,72002.5882,72079.0014,0.007422
0.2,360,27,20,20,5,344.6058,0.957238,152.7137875,720,27,20,20,5,371.0646,0.515368,178.2538558,346.9354,20,5,342.8488,0.988221,328.7388476,1058.5192,0.98011,250.522564,218.680466,1567,72360,73927,879.5454,71988.9354,72868.4808,0.014318
0.3,540,27,20,20,5,299.269,0.554202,143.7832101,1080,27,20,20,5,209.631,0.194103,192.0968678,867.369,20,5,179.9432,0.207459,426.0296116,688.8432,0.425212,300.149728,232.216051,2385,72360,74745,1905.7878,72150.369,74056.1568,0.009216
0.4,720,27,20,20,5,195.5388,0.271582,123.1522511,1440,27,20,20,5,141.8768,0.098526,210.7050948,1294.1232,20,5,107.1102,0.082767,478.4316722,444.5258,0.205799,325.876759,236.701942,2481,72360,74841,2178.351,72218.1232,74396.4742,0.00594
0.5,900,27,20,20,5,131.6934,0.146326,107.1227009,1800,27,20,20,5,106.2634,0.059035,231.0546933,1689.7366,20,5,85.7684,0.050758,498.6946964,323.7252,0.119898,350.592472,251.547474,2488,72360,74848,2270.5382,72253.7366,74524.2748,0.004325
0.6,1080,27,20,20,5,94.0728,0.087104,96.16536767,2160,27,20,20,5,84.786,0.039253,250.51985,2070.214,20,5,75.5712,0.036504,507.4309472,254.43,0.078528,371.593802,269.757053,2535,72360,74895,2365.356,72275.214,74640.57,0.003397
0.7,1260,27,20,20,5,69.9752,0.055536,88.83568178,2520,27,20,20,5,70.6248,0.028026,268.8342565,2443.3752,20,5,69.1602,0.028305,512.2631673,209.7602,0.055492,389.273446,289.048558,2516,72360,74876,2376.8646,72289.3752,74666.2398,0.002801
0.8,1440,27,20,20,5,53.6722,0.037272,83.92294521,2880,27,20,20,5,61.0744,0.021206,284.0617476,2811.9256,20,5,64.5664,0.022962,515.6734958,179.313,0.041508,403.086275,307.553892,2535,72360,74895,2416.7614,72298.9256,74715.687,0.002394
0.9,1620,27,20,20,5,41.6566,0.025714,80.59748755,3240,27,20,20,5,54.3616,0.016778,296.5192194,3177.6384,20,5,60.8566,0.019152,518.1883526,156.8748,0.032279,413.601675,325.175604,2546,72360,74906,2443.4868,72305.6384,74749.1252,0.002094
1,1800,27,20,20,5,32.834,0.018241,78.39915941,3600,27,20,20,5,49.6172,0.013783,306.0667148,3541.3828,20,5,58.2354,0.016444,520.2549257,140.6866,0.026053,421.718411,341.593194,2546,72360,74906,2454.9306,72310.3828,74765.3134,0.001878
