Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.996642,116.951552,770.8928529617235,501.79948849715635,0.349067,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.993726,124.523013,918.9249069142924,596.9578265338616,0.350374,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.987391,132.071718,1076.0034912918732,701.7824128557688,0.347788,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.980062,139.352303,1227.6312675655242,804.2444423933666,0.344881,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.970739,147.131493,1378.2286914033878,906.4497667739223,0.342308,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.949359,154.335973,1523.0743118877208,1010.4206578910746,0.336591,2.718281828459045,27,27
0.2,20,20,5,5,5,20,20,20,0.595671,240.269726,2549.209579631103,1905.8853976424143,0.252362,0.0,27,27
0.3,20,20,5,5,5,20,20,20,0.412276,307.584265,3454.1500908177745,2786.262401904301,0.193358,0.0,27,27
0.4,20,20,5,5,5,20,20,20,0.213982,328.698055,3620.217511242842,3158.01743779014,0.127672,0.0,27,27
0.5,20,20,5,5,5,20,20,20,0.115066,341.565339,3670.1328934971807,3359.4551060754093,0.08465,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.069553,352.82721,3696.911957088471,3471.559738463574,0.060957,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.046839,362.280599,3715.189003678675,3538.138295179171,0.047656,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.034472,369.942182,3731.1754298892556,3582.256015370171,0.039912,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.027175,375.56094,3740.241118916234,3608.169632739561,0.035311,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.022528,379.531412,3749.1517312556534,3627.5003551744476,0.032448,0.0,27,27
