Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.999955,114.749206,848.925982193625,578.9381395795886,0.318035,2.718281828459045,27,27
0.06,20,20,5,5,5,20,20,20,0.996863,116.697199,952.9950817389085,630.0114409751741,0.338914,2.718281828459045,27,27
0.07,20,20,5,5,5,20,20,20,0.997283,119.331071,1054.6408672241118,676.6707164437818,0.358388,2.718281828459045,27,27
0.08,20,20,5,5,5,20,20,20,0.997595,122.337146,1152.0957879206524,721.1347359121975,0.374067,2.718281828459045,27,27
0.09,20,20,5,5,5,20,20,20,0.997826,126.166893,1245.253933210247,760.3103153964948,0.389434,2.718281828459045,27,27
0.1,20,20,5,5,5,20,20,20,0.998014,130.676728,1358.3211319136465,819.3938345360349,0.39676,2.718281828459045,27,27
0.2,20,20,5,5,5,20,20,20,0.982207,217.317197,3097.56306042044,2036.7790003922373,0.342458,2.718281828459045,27,27
0.3,20,20,5,5,5,20,20,20,0.605085,286.140605,4516.716462149547,3536.4788995119648,0.217024,0.0,27,27
0.4,20,20,5,5,5,20,20,20,0.319026,309.471745,4767.86073289285,4078.7641545051674,0.14453,0.0,27,27
0.5,20,20,5,5,5,20,20,20,0.192585,330.00275,4862.028750139823,4342.048538063743,0.106947,0.0,27,27
0.6,20,20,5,5,5,20,20,20,0.129004,348.960822,4917.986151175472,4500.01264025342,0.084989,0.0,27,27
0.7,20,20,5,5,5,20,20,20,0.092822,366.378211,4955.557527012526,4604.689382630593,0.070803,0.0,27,27
0.8,20,20,5,5,5,20,20,20,0.070548,382.230516,4983.257405350827,4678.490544623241,0.061158,0.0,27,27
0.9,20,20,5,5,5,20,20,20,0.055746,396.235557,5007.135131565459,4736.208894770838,0.054108,0.0,27,27
1.0,20,20,5,5,5,20,20,20,0.045522,408.719539,5023.415026173221,4777.59783689235,0.048934,0.0,27,27
