Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,mu,Ru_T
0.05,90,27,20,20,5,83.1836,0.924262,130.1683421,180,27,20,20,5,155.0532,0.861407,119.4315267,24.9468,20,5,24.9214,0.998982,260.8310007,263.1582,0.97466,139.011361,136.216107,272,467,739,163.895,311.9468,475.8418,0.9,0.3561
0.06,108,27,20,20,5,98.3418,0.910572,132.1259261,216,27,20,20,5,178.267,0.82531,125.060415,36.733,20,5,36.6391,0.997444,265.789827,313.2479,0.966815,149.053215,143.739021,353,542,895,218.0191,363.733,581.7521,0.9,0.349998
0.07,126,27,20,20,5,112.9139,0.896142,134.7243249,253,27,20,20,5,198.9837,0.786497,130.8780827,53.0163,20,5,52.6385,0.992874,270.2584468,364.5361,0.961837,160.035976,152.195773,497,600,1097,331.4476,401.0163,732.4639,0.9,0.332303
0.08,144,27,20,20,5,129.146333,0.89685,137.2097534,288,27,20,20,5,219.844,0.763347,136.6243776,67.156,20,5,66.462333,0.989671,270.3748427,415.452666,0.961696,167.672828,158.203171,485,697,1182,289.391333,477.156,766.547333,1,0.351483
0.09,162,27,20,20,5,143.429667,0.885368,140.8145673,324,27,20,20,5,227.637667,0.702585,141.6049824,95.362333,20,5,93.605667,0.981579,271.9946023,464.673001,0.956117,179.598634,167.627235,628,758,1386,390.964663,530.362332,921.326995,1,0.335262
0.1,180,27,20,20,5,162.330333,0.901835,143.4857844,360,27,20,20,5,232.957,0.647103,146.4742985,126.043,20,5,125.149333,0.99291,267.3290423,520.436666,0.963772,188.710051,174.604069,743,821,1564,455.520335,588.042999,1043.563334,1.1,0.33276
0.2,360,27,20,20,5,174.807333,0.485576,155.3395856,720,27,20,20,5,97.396667,0.135273,164.5761314,620.603333,20,5,567.552333,0.914517,323.8117065,839.756333,0.777552,300.488092,270.273347,2213,905,3118,1470.64033,807.603332,2278.243662,3.2,0.269325
0.3,540,27,20,20,5,93.91,0.173907,152.5640152,1080,27,20,20,5,46.605667,0.043153,182.2587834,1030.394333,20,5,408.517333,0.396467,352.3370378,549.033,0.338909,334.920624,303.729222,2684,918,3602,2181.572669,871.394336,3052.967005,2.9,0.152424
0.4,720,27,20,20,5,48.819,0.067804,147.821125,1440,27,20,20,5,33.181,0.023042,201.0633947,1402.819,20,5,241.317,0.172023,371.2176245,323.317,0.149684,350.649579,320.023653,2766,921,3687,2475.864,887.819,3363.683,5,0.087691
0.5,900,27,20,20,5,26.757,0.02973,142.6500916,1800,27,20,20,5,27.21,0.015117,212.3733921,1768.79,20,5,162.102,0.091646,389.5023257,216.069,0.080026,364.04341,336.627071,2776,948,3724,2587.141,920.79,3507.931,5,0.058021
0.6,1080,27,20,20,5,15.312,0.014178,137.3717346,2160,27,20,20,5,24.699,0.011435,218.8631321,2130.301,20,5,124.826,0.058595,403.9855719,164.837,0.050876,373.406477,351.480793,2795,950,3745,2654.862,925.301,3580.163,5,0.044015
0.7,1260,27,20,20,5,9.047,0.00718,132.2464353,2520,27,20,20,5,23.003,0.009128,222.692627,2490.997,20,5,106.342,0.042691,413.7828986,138.392,0.036612,379.798983,363.61591,2806,938,3744,2690.611,914.997,3605.608,5,0.036964
0.8,1440,27,20,20,5,5.728,0.003978,128.0078561,2880,27,20,20,5,21.735,0.007547,224.9163791,2851.265,20,5,95.826,0.033608,419.7272974,123.289,0.028539,383.710121,371.830208,2789,955,3744,2687.446,933.265,3620.711,5,0.03293
0.9,1620,27,20,20,5,3.742,0.00231,124.4176911,3240,27,20,20,5,21.056,0.006499,226.243921,3210.944,20,5,90.401,0.028154,423.1506344,115.199,0.023703,385.951824,377.456432,2819,955,3774,2724.857,933.944,3658.801,5,0.030524
1,1800,27,20,20,5,2.427,0.001348,120.4402555,3600,27,20,20,5,20.296,0.005638,227.0941072,3570.704,20,5,86.414,0.024201,425.1627283,109.137,0.020211,387.490526,381.551834,2824,955,3779,2735.159,934.704,3669.863,5,0.02888
