Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,135,18,20,20,5,133.918,0.991985,148.53148941889808,135,36,20,20,5,135.0,1.0,91.85554074074075,0.0,20,5,0.0,0.0,0.0,268.918,0.995993,91.855541,120.079496,322.0,96480.0,96802.0,188.08200000000005,96345.0,96533.082,0.002778
0.06,162,18,20,20,5,155.8322,0.961927,159.1104797339702,162,36,20,20,5,161.9936,0.99996,98.31418154791302,0.0064,20,5,0.0022,0.34375,237.77272727272725,317.828,0.980951,98.316075,128.123788,388.0,96480.0,96868.0,232.1655999999999,96318.0064,96550.17199999999,0.003281
0.07,190,18,20,20,5,169.2206,0.890635,167.33299196433532,190,36,20,20,5,189.9724,0.999855,104.75817434532593,0.0276,20,5,0.0084,0.304348,239.90476190476193,359.2014,0.945267,104.76415,134.240474,442.0,96480.0,96922.0,272.7710000000001,96290.0276,96562.7986,0.003706
0.08,216,18,20,20,5,171.61,0.794491,172.47779849659105,216,36,20,20,5,214.8532,0.994691,110.38391050261295,0.1468,20,5,0.0566,0.385559,246.22438162544168,386.51980000000003,0.894722,110.419686,137.972719,500.0,96480.0,96980.0,328.3334000000001,96265.1468,96593.4802,0.003986
0.09,243,18,20,20,5,165.7338,0.682032,176.4272640825227,243,36,20,20,5,241.4444,0.993598,116.43935746697791,0.5556,20,5,0.2604,0.468683,248.16129032258058,407.4386,0.838351,116.581268,140.924824,545.0,96480.0,97025.0,379.0057999999998,96238.55559999999,96617.56139999999,0.004199
0.1,270,18,20,20,5,154.1292,0.570849,179.13824635435734,270,36,20,20,5,267.0668,0.989136,122.3283448185997,1.9332,20,5,1.2752,0.659632,252.88001882057722,422.4712,0.782354,122.948745,143.448232,572.0,96480.0,97052.0,416.59560000000005,96212.9332,96629.5288,0.004353
0.2,540,18,20,20,5,31.3216,0.058003,167.1133594707805,540,36,20,20,5,308.2824,0.570893,153.16488648070725,230.7176,20,5,190.074,0.823838,331.79899407599135,529.678,0.490443,221.296247,218.092235,1129.0,96480.0,97609.0,907.6043999999999,96171.7176,97079.322,0.005427
0.3,810,18,20,20,5,7.2428,0.008942,137.62528303970842,810,36,20,20,5,180.1422,0.222398,161.7537806244178,627.8578,20,5,48.235,0.076825,389.7107183580387,235.62,0.145444,209.900018,207.678341,1236.0,96480.0,97716.0,1180.5221999999999,96299.8578,97480.38,0.002411
0.4,1080,18,20,20,5,2.4642,0.002282,124.54877850823799,1080,36,20,20,5,108.5084,0.100471,170.79569692300322,968.4916,20,5,30.3112,0.031297,418.5710760379003,141.28379999999999,0.065409,224.897344,223.147116,1246.0,96480.0,97726.0,1213.2246000000005,96371.49160000001,97584.71620000001,0.001446
0.5,1350,18,20,20,5,0.9904,0.000734,118.24434571890144,1350,36,20,20,5,73.6304,0.054541,181.5986712010257,1273.3696,20,5,26.8446,0.021082,425.0352137860129,101.46539999999999,0.03758,246.639294,245.386036,1254.0,96480.0,97734.0,1226.1650000000002,96406.3696,97632.5346,0.001038
0.6,1620,18,20,20,5,0.4334,0.000268,115.01776649746193,1620,36,20,20,5,56.323,0.034767,192.19374855742768,1559.677,20,5,25.3038,0.016224,427.432950782096,82.0602,0.025327,265.116437,264.323693,1258.0,96480.0,97738.0,1232.2628,96423.677,97655.9398,0.00084
0.7,1890,18,20,20,5,0.1802,9.5e-05,113.09711431742508,1890,36,20,20,5,47.0032,0.024869,201.30483456445515,1837.9968,20,5,24.2524,0.013195,429.0792746284905,71.4358,0.018898,278.829644,278.411577,1258.0,96480.0,97738.0,1233.5674000000001,96432.9968,97666.5642,0.000731
0.8,2160,18,20,20,5,0.0752,3.5e-05,112.60106382978722,2160,36,20,20,5,41.4642,0.019196,208.37650069216338,2113.5358,20,5,23.4542,0.011097,430.2932992811522,64.9936,0.015045,288.552244,288.348662,1273.0,96480.0,97753.0,1249.4706000000003,96438.5358,97688.0064,0.000665
0.9,2430,18,20,20,5,0.037,1.5e-05,111.25675675675677,2430,36,20,20,5,38.0198,0.015646,213.6987332916007,2385.9802,20,5,22.9476,0.009618,431.3518102110896,61.0044,0.012552,295.621462,295.509642,1273.0,96480.0,97753.0,1250.0154,96441.98019999999,97691.9956,0.000624
1.0,2700,18,20,20,5,0.0122,5e-06,110.5,2700,36,20,20,5,35.6064,0.013188,217.52524265300616,2657.3936,20,5,22.4322,0.008441,432.19791638804924,58.0508,0.01075,300.497271,300.457341,1273.0,96480.0,97753.0,1250.5556000000004,96444.3936,97694.9492,0.000594
