Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,180,27,20,20,5,179.5942,0.997746,142.08286292096292,90,27,20,20,5,89.9994,0.999993,87.97825652171015,0.0006,20,5,0.0002,0.333333,200.5,269.5938,0.998496,87.978507,124.020985,424.0,72360.0,72784.0,244.40560000000002,72270.0006,72514.4062,0.003704
0.06,216,27,20,20,5,212.1932,0.982376,151.9869986408613,108,27,20,20,5,107.9984,0.999985,94.04234507177885,0.0016,20,5,0.0006,0.375,228.83333333333337,320.1922,0.988248,94.043094,132.442851,490.0,72360.0,72850.0,277.80620000000005,72252.0016,72529.80780000001,0.004395
0.07,253,27,20,20,5,239.7042,0.947447,161.06568887820904,126,27,20,20,5,125.9944,0.999956,99.67989688430596,0.0056,20,5,0.0016,0.285714,231.74999999999997,365.7002,0.964908,99.681574,139.9168,625.0,72360.0,72985.0,385.29419999999993,72234.0056,72619.29980000001,0.005011
0.08,288,27,20,20,5,254.6266,0.88412,167.6073682011227,144,27,20,20,5,143.9736,0.999817,105.20236487800537,0.0264,20,5,0.0092,0.348485,237.67391304347825,398.6094,0.922707,105.210829,145.068942,680.0,72360.0,73040.0,425.3642,72216.0264,72641.3906,0.005457
0.09,324,27,20,20,5,257.5648,0.794953,172.58396488961228,162,27,20,20,5,161.8778,0.999246,110.61527955037684,0.1222,20,5,0.0486,0.397709,244.24485596707817,419.4912,0.863151,110.655387,148.679121,765.0,72360.0,73125.0,507.38660000000004,72198.1222,72705.5088,0.005737
0.1,360,27,20,20,5,250.1974,0.694993,176.06055338704564,180,27,20,20,5,179.5928,0.997738,116.00430306782899,0.4072,20,5,0.1882,0.462181,247.84325185972367,429.9784,0.796256,116.142316,151.007759,792.0,72360.0,73152.0,541.6144,72180.4072,72722.02160000001,0.005878
0.2,720,27,20,20,5,81.5338,0.113241,182.53266620714356,360,27,20,20,5,250.0302,0.694528,150.03901488700163,108.9698,20,5,107.966,0.990788,281.225589537447,439.53000000000003,0.406972,189.602814,188.291286,1062.0,72360.0,73422.0,872.5001999999996,72109.96979999999,72982.46999999999,0.005986
0.3,1080,27,20,20,5,21.4214,0.019835,168.68975417106267,540,27,20,20,5,163.0738,0.301989,159.13232597756354,375.9262,20,5,280.2174,0.745405,337.66173585223476,464.7126,0.28686,271.986015,267.224468,1707.0,72360.0,74067.0,1405.3612,72196.9262,73602.2874,0.006274
0.4,1440,27,20,20,5,7.178,0.004985,151.12203956533855,720,27,20,20,5,100.5828,0.139698,166.50351352318688,617.4172,20,5,153.3968,0.248449,359.96834614542155,261.1576,0.120906,283.351033,279.716677,1825.0,72360.0,74185.0,1664.4252,72259.4172,73923.8424,0.00352
0.5,1800,27,20,20,5,2.7894,0.00155,138.61070481107046,900,27,20,20,5,67.2508,0.074723,175.32571508443021,830.7492,20,5,90.2194,0.1086,381.3311959512034,160.25959999999998,0.059355,293.352433,290.659074,1856.0,72360.0,74216.0,1762.9911999999997,72292.74919999999,74055.7404,0.002159
0.6,2160,27,20,20,5,1.2164,0.000563,129.6589937520552,1080,27,20,20,5,49.9436,0.046244,185.0713244539841,1027.0564,20,5,64.831,0.063123,399.36282796810167,115.99100000000001,0.0358,306.114939,304.264442,1853.0,72360.0,74213.0,1786.9525999999998,72310.0564,74097.009,0.001563
0.7,2520,27,20,20,5,0.5562,0.000221,122.31948939230499,1260,27,20,20,5,40.3058,0.031989,194.4318460370468,1216.6942,20,5,53.5148,0.043984,411.2165868133676,94.3768,0.024967,318.084776,316.931053,1869.0,72360.0,74229.0,1814.9290000000005,72319.6942,74134.6232,0.001271
0.8,2880,27,20,20,5,0.2566,8.9e-05,119.95050662509743,1440,27,20,20,5,34.5974,0.024026,202.27804112447754,1401.4026,20,5,47.7822,0.034096,418.28005198588596,82.6362,0.019129,327.564535,326.919857,1881.0,72360.0,74241.0,1832.9612000000004,72325.4026,74158.3638,0.001113
0.9,3240,27,20,20,5,0.1284,4e-05,117.40809968847354,1620,27,20,20,5,31.143,0.019224,208.29308351796553,1584.857,20,5,44.534,0.0281,422.11209413032725,75.80539999999999,0.015598,334.120162,333.753093,1874.0,72360.0,74234.0,1829.3375999999998,72328.857,74158.1946,0.001021
1.0,3600,27,20,20,5,0.0596,1.7e-05,112.93288590604028,1800,27,20,20,5,28.6626,0.015924,213.34581301068292,1767.3374,20,5,42.606,0.024107,424.52436276580755,71.32820000000001,0.013209,339.593183,339.403791,1880.0,72360.0,74240.0,1837.3344000000013,72331.3374,74168.67180000001,0.000961
