M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135.0,27,5,40,5,135.313843,1.002325,138.988708,0.00187,135.313843,135.0,27,5,20,5,134.791261,0.998454,107.92835,0.001863,72360,0.543739,20,5,0.543739,1.0,166.280272,8e-06,0.543739,270.648843,1.002403,108.162792,123.574545,135.857582,72495.857582
162.0,27,5,40,5,162.278589,1.00172,144.441725,0.002243,162.278589,162.0,27,5,20,5,159.15369,0.98243,114.941055,0.002199,72360,3.24831,20,5,3.24831,1.0,172.060471,4.5e-05,3.24831,324.680589,1.002101,116.083539,130.257242,165.526899,72525.526899
189.5,27,5,40,5,188.833186,0.996481,150.537867,0.00261,188.833186,189.5,27,5,20,5,177.329411,0.935775,122.014966,0.002451,72360,12.14083,20,5,12.140827,1.0,102.773654,0.000168,12.140827,378.303424,0.998162,120.782026,135.634892,200.974013,72560.974013
216.0,27,5,40,5,212.667499,0.984572,157.251257,0.002939,212.667499,216.0,27,5,20,5,185.135274,0.857108,128.643529,0.002559,72360,30.400726,20,5,30.400414,0.99999,115.374606,0.00042,30.400414,428.203187,0.991211,126.772003,141.909552,243.067913,72603.067913
243.0,27,5,40,5,230.879576,0.950122,164.704789,0.003191,230.879576,243.0,27,5,20,5,182.626792,0.751551,135.452174,0.002524,72360,59.976208,20,5,59.954562,0.999639,125.70816,0.000829,59.954562,473.46093,0.974199,133.043917,148.483098,290.834138,72650.834138
270.0,27,5,40,5,233.203443,0.863716,170.987118,0.003223,233.203443,270.0,27,5,20,5,172.370605,0.63841,142.626619,0.002382,72360,97.299395,20,5,96.602886,0.992842,145.028031,0.001335,96.602886,502.176934,0.929957,143.489095,156.258765,329.806329,72689.806329
540.0,27,5,40,5,69.008031,0.127793,250.903624,0.000954,69.008031,540.0,27,5,20,5,69.462098,0.128634,270.855469,0.00096,72360,470.877902,20,5,73.54224,0.156181,228.160162,0.001016,73.54224,212.012369,0.196308,248.898733,249.551306,142.550271,72502.550271
810.0,27,5,40,5,25.131749,0.031027,643.488854,0.000347,25.131749,810.0,27,5,20,5,46.007017,0.056799,449.379741,0.000636,72360,764.002983,20,5,56.036038,0.073345,243.823917,0.000774,56.036038,127.174804,0.078503,336.500585,397.166313,81.167787,72441.167787
1080.0,27,5,40,5,11.585876,0.010728,1646.279148,0.00016,11.585876,1080.0,27,5,20,5,39.666055,0.036728,613.39738,0.000548,72360,1040.013945,20,5,50.36094,0.048423,249.454866,0.000696,50.36094,101.612871,0.047043,409.808589,550.790675,61.946816,72421.946816
1350.0,27,5,40,5,7.186264,0.005323,3210.221101,9.9e-05,7.186264,1350.0,27,5,20,5,37.094675,0.027478,765.800577,0.000513,72360,1313.255325,20,5,47.229474,0.035964,252.715776,0.000653,47.229474,91.510413,0.033893,478.424712,692.951228,54.415738,72414.415738
1620.0,27,5,40,5,5.829135,0.003598,4700.995044,8.1e-05,5.829135,1620.0,27,5,20,5,35.756461,0.022072,912.696594,0.000494,72360,1584.263539,20,5,45.127923,0.028485,260.017407,0.000624,45.127923,86.713519,0.026763,548.5465,827.68617,50.957058,72410.957058
1890.0,27,5,40,5,5.586691,0.002956,5701.295136,7.7e-05,5.586691,1890.0,27,5,20,5,34.976652,0.018506,1056.058856,0.000483,72360,1854.713347,20,5,43.566051,0.023489,261.804008,0.000602,43.566051,84.129394,0.022256,615.501734,953.228595,49.152742,72409.152742
2160.0,27,5,40,5,5.809341,0.00269,6256.401189,8e-05,5.809341,2160.0,27,5,20,5,34.514019,0.015979,1196.179047,0.000477,72360,2125.845981,20,5,42.332925,0.019913,263.26535,0.000585,42.332925,82.656285,0.019133,682.261857,1074.02972,48.142266,72408.142266
2430.0,27,5,40,5,6.249685,0.002572,6537.988242,8.6e-05,6.249685,2430.0,27,5,20,5,34.265919,0.014101,1332.631759,0.000474,72360,2395.76408,20,5,41.328895,0.017251,264.489872,0.000571,41.328895,81.844499,0.01684,748.66149,1190.737243,47.57858,72407.57858
2700.0,27,5,40,5,6.7968,0.002517,6677.428399,9.4e-05,6.7968,2700.0,27,5,20,5,34.166379,0.012654,1465.323502,0.000472,72360,2665.533621,20,5,40.485115,0.015188,265.543664,0.000559,40.485115,81.448294,0.015083,814.657024,1303.900966,47.281915,72407.281915
