M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135.0,27,30,20,5,135.334696,1.002479,201.581648,0.00187,135.334696,135.0,27,30,20,5,135.334696,1.002479,175.581648,0.00187,72360,0.000304,20,5,0.000291,0.957237,304.638861,0.0,0.000291,270.669683,1.00248,175.581925,188.581773,135.334987,72495.334987
162.0,27,30,20,5,162.393157,1.002427,211.054667,0.002244,162.393157,162.0,27,30,20,5,162.393187,1.002427,185.054672,0.002244,72360,0.008813,20,5,0.008687,0.985703,305.600333,0.0,0.008687,324.795031,1.002454,185.06112,198.057544,162.401844,72522.401844
189.5,27,30,20,5,189.365992,0.999293,220.432385,0.002617,189.365992,189.5,27,30,20,5,189.367219,0.999299,194.43276,0.002617,72360,0.103022,20,5,0.102309,0.993079,306.404531,1e-06,0.102309,378.83552,0.999566,194.493222,207.459259,189.468301,72549.468301
216.0,27,30,20,5,214.916992,0.994986,229.28255,0.00297,214.916992,216.0,27,30,20,5,214.934516,0.995067,203.287559,0.00297,72360,0.601484,20,5,0.598845,0.995613,307.661727,8e-06,0.598845,430.450353,0.996413,203.577556,216.411649,215.515837,72575.515837
243.0,27,30,20,5,240.065247,0.987923,237.953179,0.003318,240.065247,243.0,27,30,20,5,240.204272,0.988495,211.987076,0.00332,72360,2.398728,20,5,2.390883,0.99673,309.905983,3.3e-05,2.390883,482.660402,0.993128,212.95211,225.387122,242.45613,72602.45613
270.0,27,30,20,5,262.157583,0.970954,245.757148,0.003623,262.157583,270.0,27,30,20,5,262.814782,0.973388,219.892,0.003632,72360,6.855218,20,5,6.836205,0.997226,41.489955,9.4e-05,6.836205,531.80857,0.984831,215.369142,230.349055,268.993788,72628.993788
540.0,27,30,20,5,211.383014,0.39145,281.976462,0.002921,211.383014,540.0,27,30,20,5,277.133908,0.513211,263.725538,0.00383,72360,263.206092,20,5,261.874558,0.994941,207.280853,0.003619,261.874558,750.39148,0.694807,236.302171,249.168481,473.257572,72833.257572
810.0,27,30,20,5,117.189322,0.144678,337.674828,0.00162,117.189322,810.0,27,30,20,5,192.158743,0.237233,305.22224,0.002656,72360,617.851257,20,5,310.14339,0.501971,274.078836,0.004286,310.14339,619.491455,0.382402,285.992935,295.769609,427.332712,72787.332712
1080.0,27,30,20,5,77.67237,0.071919,444.357371,0.001073,77.67237,1080.0,27,30,20,5,134.607481,0.124637,369.445176,0.00186,72360,945.072519,20,5,150.625684,0.15938,302.252658,0.002082,150.625684,362.905535,0.168012,333.962209,357.589994,228.298054,72588.298054
1350.0,27,30,20,5,56.370831,0.041756,603.672832,0.000779,56.370831,1350.0,27,30,20,5,100.405631,0.074375,460.459646,0.001388,72360,1249.944369,20,5,87.022642,0.069621,329.984778,0.001203,87.022642,243.799104,0.090296,399.880377,447.000936,143.393473,72503.393473
1620.0,27,30,20,5,43.27019,0.02671,820.185152,0.000598,43.27019,1620.0,27,30,20,5,80.073493,0.049428,574.641758,0.001107,72360,1539.946506,20,5,62.527335,0.040604,353.936927,0.000864,62.527335,185.871018,0.057368,477.867531,557.558,105.797525,72465.797525
1890.0,27,30,20,5,34.633762,0.018325,1096.862216,0.000479,34.633762,1890.0,27,30,20,5,67.403331,0.035663,706.158414,0.000931,72360,1822.286668,20,5,52.14299,0.028614,369.258797,0.000721,52.14299,154.180083,0.040788,559.21158,679.985053,86.776752,72446.776752
2160.0,27,30,20,5,28.696301,0.013285,1432.60949,0.000397,28.696301,2160.0,27,30,20,5,59.085132,0.027354,849.484461,0.000817,72360,2101.274867,20,5,47.23072,0.022477,382.576858,0.000653,47.23072,135.012153,0.031253,642.061186,810.089112,75.927021,72435.927021
2430.0,27,30,20,5,24.53732,0.010098,1819.233241,0.000339,24.53732,2430.0,27,30,20,5,53.416978,0.021982,999.483648,0.000738,72360,2376.613021,20,5,44.597859,0.018765,386.894301,0.000616,44.597859,122.552157,0.025216,720.748569,940.686517,69.135179,72429.135179
2700.0,27,30,20,5,21.554863,0.007983,2246.969677,0.000298,21.554863,2700.0,27,30,20,5,49.387923,0.018292,1153.150148,0.000683,72360,2650.312075,20,5,42.956867,0.016208,389.292722,0.000594,42.956867,113.899653,0.021093,797.819632,1072.063055,64.51173,72424.51173
