M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135.0,18,5,20,5,121.456858,0.89968,133.150635,0.002518,121.456858,135.0,36,5,20,5,134.967752,0.999761,83.021265,0.001399,96480,0.032248,20,5,0.032248,1.0,170.429459,1e-06,0.032248,256.456858,0.94984,83.042145,106.773309,121.489106,96601.489106
162.0,18,5,20,5,121.056094,0.74726,139.667993,0.002509,121.056094,162.0,36,5,20,5,161.760652,0.998523,88.013464,0.001677,96480,0.239348,20,5,0.239348,1.0,180.351369,5e-06,0.239348,283.056094,0.87363,88.149889,110.182908,121.295442,96601.295442
189.5,18,5,20,5,108.932117,0.57484,144.271444,0.002258,108.932117,189.5,36,5,20,5,187.808597,0.991074,93.091741,0.001947,96480,1.191403,20,5,1.191399,0.999997,188.247142,2.5e-05,1.191399,297.932113,0.786101,93.691572,112.184954,110.123516,96590.123516
216.0,18,5,20,5,94.013709,0.435249,218.083375,0.001949,94.013709,216.0,36,5,20,5,211.851046,0.980792,129.333891,0.002196,96480,4.148954,20,5,4.148917,0.999991,193.982315,8.6e-05,4.148917,310.013672,0.717624,130.575655,157.112953,98.162626,96578.162626
243.0,18,5,20,5,76.525934,0.314922,236.604271,0.001586,76.525934,243.0,36,5,20,5,231.304598,0.951871,131.465364,0.002397,96480,11.695402,20,5,11.695005,0.999966,124.155398,0.000242,11.695005,319.525537,0.65746,131.113553,156.378437,88.220939,96568.220939
270.0,18,5,20,5,59.248017,0.219437,262.701118,0.001228,59.248017,270.0,36,5,20,5,243.63673,0.902358,134.244325,0.002525,96480,26.36327,20,5,26.357976,0.999799,135.051665,0.000546,26.357976,329.242723,0.609709,134.323141,157.425066,85.605993,96565.605993
540.0,18,5,20,5,3.013621,0.005581,2318.885167,6.2e-05,3.013621,540.0,36,5,20,5,139.764085,0.258822,177.553542,0.001449,96480,400.235915,20,5,46.478626,0.116128,231.279505,0.000963,46.478626,189.256332,0.175237,190.961363,224.845333,49.492247,96529.492247
810.0,18,5,20,5,2.18032,0.002692,6214.909575,4.5e-05,2.18032,810.0,36,5,20,5,80.031478,0.098804,314.078554,0.00083,96480,729.968522,20,5,33.068264,0.045301,248.73803,0.000685,33.068264,115.280062,0.071161,294.974198,406.939384,35.248584,96515.248584
1080.0,18,5,20,5,3.021706,0.002798,6721.539868,6.3e-05,3.021706,1080.0,36,5,20,5,61.690261,0.057121,481.776314,0.000639,96480,1018.309739,20,5,30.052111,0.029512,253.444228,0.000623,30.052111,94.764078,0.043872,406.981418,608.331334,33.073817,96513.073817
1350.0,18,5,20,5,3.002741,0.002224,6763.451682,6.2e-05,3.002741,1350.0,36,5,20,5,53.918373,0.03994,533.67186,0.000559,96480,1296.081627,20,5,28.385944,0.021901,256.315865,0.000588,28.385944,85.307058,0.031595,438.014523,660.664911,31.388685,96511.388685
1620.0,18,5,20,5,4.000345,0.002469,6761.47853,8.3e-05,4.000345,1620.0,36,5,20,5,50.862261,0.031396,687.150092,0.000527,96480,1569.137739,20,5,27.251581,0.017367,263.407194,0.000565,27.251581,82.114187,0.025344,539.31888,842.442934,31.251926,96511.251926
1890.0,18,5,20,5,5.000043,0.002646,6759.497068,0.000104,5.000043,1890.0,36,5,20,5,49.25052,0.026058,838.672462,0.00051,96480,1840.74948,20,5,26.401025,0.014343,265.051667,0.000547,26.401025,80.651588,0.021336,638.489148,1017.964662,31.401068,96511.401068
2160.0,18,5,20,5,5.000005,0.002315,6759.547813,0.000104,5.000005,2160.0,36,5,20,5,47.338317,0.021916,866.645319,0.000491,96480,2112.661683,20,5,25.72567,0.012177,266.405566,0.000533,25.72567,78.063992,0.01807,655.302215,1046.279639,30.725675,96510.725675
2430.0,18,5,20,5,6.000001,0.002469,6764.553367,0.000124,6.000001,2430.0,36,5,20,5,46.843598,0.019277,1015.408265,0.000486,96480,2383.156402,20,5,25.173603,0.010563,267.544759,0.000522,25.173603,78.017202,0.016053,753.992677,1216.241632,31.173604,96511.173604
2700.0,18,5,20,5,7.0,0.002593,6759.554487,0.000145,7.0,2700.0,36,5,20,5,46.617181,0.017266,1160.150748,0.000483,96480,2653.382819,20,5,24.708274,0.009312,268.528068,0.000512,24.708274,78.325455,0.014505,851.278446,1379.305156,31.708274,96511.708274
