M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135.0,27,5,20,5,134.443129,0.995875,117.39301,0.001858,134.443129,135.0,27,5,20,5,134.456341,0.995973,91.391465,0.001858,72360,0.543659,20,5,0.543659,1.0,165.268745,8e-06,0.543659,269.443129,0.997938,91.688976,104.514431,134.986788,72494.986788
162.0,27,5,20,5,158.505152,0.978427,124.124052,0.002191,158.505152,162.0,27,5,20,5,158.752087,0.979951,98.15138,0.002194,72360,3.247913,20,5,3.247913,1.0,171.587052,4.5e-05,3.247913,320.505152,0.989213,99.62368,111.740288,161.753065,72521.753065
189.5,27,5,20,5,175.844695,0.92794,203.176524,0.00243,175.844695,189.5,27,5,20,5,177.824028,0.938385,176.684747,0.002457,72360,12.139613,20,5,12.139613,1.0,103.12378,0.000168,12.139613,365.808336,0.965193,171.983838,186.978216,187.984308,72547.984308
216.0,27,5,20,5,177.935565,0.823776,171.320591,0.002459,177.935565,216.0,27,5,20,5,185.601738,0.859267,145.173484,0.002565,72360,30.398262,20,5,30.398237,0.999999,115.909161,0.00042,30.398237,393.93554,0.911888,141.05504,154.725596,208.333802,72568.333802
243.0,27,5,20,5,164.398413,0.676537,176.081053,0.002272,164.398413,243.0,27,5,20,5,183.027644,0.7532,149.777491,0.002529,72360,59.972356,20,5,59.97034,0.999966,125.041805,0.000829,59.97034,407.396397,0.838264,143.672883,156.750691,224.368753,72584.368753
270.0,27,5,20,5,141.3778,0.523621,182.300553,0.001954,141.3778,270.0,27,5,20,5,172.7056,0.63965,155.229854,0.002387,72360,97.2944,20,5,97.218535,0.99922,140.768698,0.001344,97.218535,411.301935,0.76167,150.021382,161.116779,238.596335,72598.596335
540.0,27,5,20,5,18.979259,0.035147,468.33701,0.000262,18.979259,540.0,27,5,20,5,69.129966,0.128018,238.963749,0.000955,72360,470.870034,20,5,92.134659,0.195669,218.796638,0.001273,92.134659,180.243884,0.166892,227.441756,252.807462,111.113918,72471.113918
810.0,27,5,20,5,4.878166,0.006022,2835.997014,6.7e-05,4.878166,810.0,27,5,20,5,46.007193,0.056799,447.735247,0.000636,72360,763.992807,20,5,59.122358,0.077386,241.628082,0.000817,59.122358,110.007717,0.067906,331.825482,442.870095,64.000524,72424.000524
1080.0,27,5,20,5,3.570542,0.003306,5702.588601,4.9e-05,3.570542,1080.0,27,5,20,5,39.999023,0.037036,662.130603,0.000553,72360,1040.000977,20,5,51.278615,0.049306,248.994084,0.000709,51.278615,94.84818,0.043911,430.035766,628.520032,54.849157,72414.849157
1350.0,27,5,20,5,3.131008,0.002319,6489.657259,4.3e-05,3.131008,1350.0,27,5,20,5,36.760558,0.02723,708.410042,0.000508,72360,1313.239442,20,5,47.692795,0.036317,252.541598,0.000659,47.692795,87.584361,0.032439,450.970408,666.8443,50.823803,72410.823803
1620.0,27,5,20,5,4.032468,0.002489,6707.953803,5.6e-05,4.032468,1620.0,27,5,20,5,35.755288,0.022071,907.931043,0.000494,72360,1584.244712,20,5,45.429738,0.028676,259.913184,0.000628,45.429738,85.217494,0.026302,545.311444,836.925958,49.462206,72409.462206
1890.0,27,5,20,5,5.008212,0.00265,6748.264288,6.9e-05,5.008212,1890.0,27,5,20,5,35.308433,0.018682,1103.703685,0.000488,72360,1854.691567,20,5,43.784898,0.023608,261.73077,0.000605,43.784898,84.101543,0.022249,637.599935,1001.487462,48.79311,72408.79311
2160.0,27,5,20,5,5.002065,0.002316,6756.453428,6.9e-05,5.002065,2160.0,27,5,20,5,34.178754,0.015823,1135.163916,0.000472,72360,2125.821246,20,5,42.501425,0.019993,263.210514,0.000587,42.501425,81.682244,0.018908,651.867416,1025.700633,47.50349,72407.50349
2430.0,27,5,20,5,6.000518,0.002469,6763.632516,8.3e-05,6.000518,2430.0,27,5,20,5,34.263611,0.0141,1325.648326,0.000474,72360,2395.736389,20,5,41.464548,0.017308,264.447123,0.000573,41.464548,81.728677,0.016817,744.593289,1186.511042,47.465066,72407.465066
2700.0,27,5,20,5,7.000129,0.002593,6759.086198,9.7e-05,7.000129,2700.0,27,5,20,5,34.497028,0.012777,1507.566042,0.000477,72360,2665.502972,20,5,40.598167,0.015231,265.509366,0.000561,40.598167,82.095324,0.015203,836.082009,1341.126528,47.598296,72407.598296
