M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135.0,27,5,20,5,134.443487,0.995878,117.393058,0.001858,134.443487,135.0,27,5,20,5,134.456341,0.995973,91.391465,0.001858,72360,0.543659,40,5,0.543659,1.0,166.284139,8e-06,0.543659,269.443487,0.997939,91.693065,104.516521,134.987146,72494.987146
162.0,27,5,20,5,158.516471,0.978497,124.126556,0.002191,158.516471,162.0,27,5,20,5,158.752087,0.979951,98.15138,0.002194,72360,3.247913,40,5,3.247913,1.0,173.427109,4.5e-05,3.247913,320.516471,0.989248,99.660571,111.760609,161.764384,72521.764384
189.5,27,5,20,5,175.021802,0.923598,130.114361,0.002419,175.021802,189.5,27,5,20,5,176.860387,0.9333,104.404706,0.002444,72360,12.139613,40,5,12.139613,1.0,106.099357,0.000168,12.139613,364.021802,0.96048,104.513554,116.822431,187.161415,72547.161415
216.0,27,5,20,5,178.673083,0.82719,171.349715,0.002469,178.673083,216.0,27,5,20,5,185.601738,0.859267,145.173484,0.002565,72360,30.398262,40,5,30.39826,1.0,120.019292,0.00042,30.39826,394.673081,0.913595,141.633467,155.086357,209.071343,72569.071343
243.0,27,5,20,5,166.512144,0.685235,176.167289,0.002301,166.512144,243.0,27,5,20,5,183.027644,0.7532,149.777491,0.002529,72360,59.972356,40,5,59.972225,0.999998,129.9135,0.000829,59.972225,409.512013,0.842617,144.87507,157.598835,226.484369,72586.484369
270.0,27,5,20,5,145.043201,0.537197,182.384845,0.002004,145.043201,270.0,27,5,20,5,172.7056,0.63965,155.229854,0.002387,72360,97.2944,40,5,97.290261,0.999957,145.539031,0.001345,97.290261,415.039062,0.768591,151.737865,162.448028,242.333462,72602.333462
540.0,27,5,20,5,20.458619,0.037886,448.39143,0.000283,20.458619,540.0,27,5,20,5,69.129966,0.128018,238.963749,0.000955,72360,470.870034,40,5,235.225913,0.499556,239.285994,0.003251,235.225913,324.814498,0.300754,239.212801,252.388032,255.684532,72615.684532
810.0,27,5,20,5,5.133231,0.006337,2704.828353,7.1e-05,5.133231,810.0,27,5,20,5,46.007193,0.056799,447.735247,0.000636,72360,763.992807,40,5,135.825453,0.177784,277.278374,0.001877,135.825453,186.965877,0.115411,320.407276,385.872613,140.958684,72500.958684
1080.0,27,5,20,5,3.615734,0.003348,5633.802098,5e-05,3.615734,1080.0,27,5,20,5,39.999023,0.037036,662.130603,0.000553,72360,1040.000977,40,5,102.171637,0.098242,299.60097,0.001412,102.171637,145.786394,0.067494,401.596917,531.363912,105.787371,72465.787371
1350.0,27,5,20,5,3.139172,0.002325,6473.302887,4.3e-05,3.139172,1350.0,27,5,20,5,36.760558,0.02723,708.410042,0.000508,72360,1313.239442,40,5,88.783817,0.067607,310.730389,0.001227,88.783817,128.683547,0.047661,427.174682,574.667013,91.922989,72451.922989
1620.0,27,5,20,5,4.033984,0.00249,6705.509028,5.6e-05,4.033984,1620.0,27,5,20,5,35.755288,0.022071,907.931043,0.000494,72360,1584.244712,40,5,81.997786,0.051758,321.590486,0.001133,81.997786,121.787058,0.037589,499.630641,705.189544,86.03177,72446.03177
1890.0,27,5,20,5,5.008498,0.00265,6747.890548,6.9e-05,5.008498,1890.0,27,5,20,5,35.308433,0.018682,1103.703685,0.000488,72360,1854.691567,40,5,77.712423,0.0419,325.306644,0.001074,77.712423,118.029354,0.031225,568.482822,830.701924,82.720921,72442.720921
2160.0,27,5,20,5,5.002119,0.002316,6756.382694,6.9e-05,5.002119,2160.0,27,5,20,5,34.178754,0.015823,1135.163916,0.000472,72360,2125.821246,40,5,74.597926,0.035091,328.050723,0.001031,74.597926,113.778799,0.026338,581.654007,853.11695,79.600045,72439.600045
2430.0,27,5,20,5,6.000528,0.002469,6763.621597,8.3e-05,6.000528,2430.0,27,5,20,5,34.263611,0.0141,1325.648326,0.000474,72360,2395.736389,40,5,72.170048,0.030124,330.240393,0.000997,72.170048,112.434187,0.023135,650.686674,976.929413,78.170576,72438.170576
2700.0,27,5,20,5,7.000131,0.002593,6759.084325,9.7e-05,7.000131,2700.0,27,5,20,5,34.497028,0.012777,1507.566042,0.000477,72360,2665.502972,40,5,70.181588,0.02633,332.076235,0.00097,70.181588,111.678747,0.020681,719.461036,1098.030418,77.181719,72437.181719
