M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135.0,27,5,20,5,134.827567,0.998723,5765.459131,0.000101,134.827567,135.0,27,5,20,5,134.833591,0.998767,5739.205375,0.000101,1333260,0.338909,20,5,0.338909,1.0,163.900534,0.0,0.338909,270.000067,1.0,5725.226784,5745.317259,135.166476,1333395.166476
162.0,27,5,20,5,160.133822,0.98848,5830.219387,0.00012,160.133822,162.0,27,5,20,5,160.260108,0.98926,5799.731174,0.00012,1333260,2.146892,20,5,2.146892,1.0,169.916763,2e-06,2.146892,322.540822,0.995496,5725.309483,5777.394747,162.280714,1333422.280714
189.5,27,5,20,5,179.933248,0.949516,6070.212146,0.000135,179.933248,189.5,27,5,20,5,181.089001,0.955615,6006.460341,0.000136,1333260,8.57536,20,5,8.57536,1.0,94.947679,6e-06,8.57536,369.597609,0.975192,5739.181085,5900.338767,188.508608,1333448.508608
216.0,27,5,20,5,187.883358,0.86983,6618.750435,0.000141,187.883358,216.0,27,5,20,5,192.994212,0.893492,6421.849667,0.000145,1333260,22.881788,20,5,22.881784,1.0,113.176214,1.7e-05,22.881784,403.759354,0.934628,5753.161597,6155.950377,210.765142,1333470.765142
243.0,27,5,20,5,181.090747,0.745229,7705.485425,0.000136,181.090747,243.0,27,5,20,5,195.205456,0.803315,7134.720653,0.000146,1333260,47.905044,20,5,47.904611,0.999991,121.48791,3.6e-05,47.904611,424.200814,0.872841,5752.76971,6586.381376,228.995358,1333488.995358
270.0,27,5,20,5,162.672389,0.60249,9499.268669,0.000122,162.672389,270.0,27,5,20,5,188.920917,0.699707,8177.793516,0.000142,1333260,81.424083,20,5,81.405085,0.999767,136.202772,6.1e-05,81.405085,432.998391,0.801849,5756.175273,7162.411318,244.077474,1333504.077474
540.0,27,5,20,5,46.090325,0.085352,66223.970949,3.5e-05,46.090325,540.0,27,5,20,5,97.286402,0.18016,31446.784433,7.3e-05,1333260,442.403598,20,5,99.412627,0.22471,215.277636,7.5e-05,99.412627,242.789354,0.224805,15662.232005,25260.704681,145.502952,1333405.502952
810.0,27,5,20,5,40.621577,0.05015,112624.414675,3e-05,40.621577,810.0,27,5,20,5,82.624162,0.102005,55443.096938,6.2e-05,1333260,727.410837,20,5,60.977227,0.083828,239.964927,4.6e-05,60.977227,184.222966,0.113718,32002.27972,49779.641219,101.598804,1333361.598804
1080.0,27,5,20,5,50.094907,0.046384,121759.585694,3.8e-05,50.094907,1080.0,27,5,20,5,87.160634,0.080704,70037.822686,6.5e-05,1333260,993.219366,20,5,52.14145,0.052497,248.153376,3.9e-05,52.14145,189.396991,0.087684,43915.208807,64504.80107,102.236357,1333362.236357
1350.0,27,5,20,5,61.86886,0.045829,123233.981654,4.6e-05,61.86886,1350.0,27,5,20,5,96.032375,0.071135,79437.999712,7.2e-05,1333260,1253.692625,20,5,48.310057,0.038534,251.905636,3.6e-05,48.310057,206.211292,0.076375,52935.157371,74026.670234,110.178917,1333370.178917
1620.0,27,5,20,5,74.07356,0.045724,123515.055337,5.6e-05,74.07356,1620.0,27,5,20,5,106.25953,0.065592,86136.851715,8e-05,1333260,1513.810469,20,5,45.930184,0.030341,254.363591,3.4e-05,45.930184,226.263274,0.069834,60217.895839,80939.977064,120.003744,1333380.003744
1890.0,27,5,20,5,86.376716,0.045702,123575.695645,6.5e-05,86.376716,1890.0,27,5,20,5,117.096294,0.061956,91182.930447,8.8e-05,1333260,1773.318705,20,5,44.218693,0.024936,261.227354,3.3e-05,44.218693,247.691703,0.065527,66260.020611,86247.528165,130.595409,1333390.595409
2160.0,27,5,20,5,98.704856,0.045697,123589.946153,7.4e-05,98.704856,2160.0,27,5,20,5,128.279032,0.059388,95117.287531,9.6e-05,1333260,2031.480967,20,5,42.89899,0.021117,262.727932,3.2e-05,42.89899,269.882878,0.062473,71345.749829,90453.134163,141.603846,1333401.603846
2430.0,27,5,20,5,111.039574,0.045695,123593.71499,8.3e-05,111.039574,2430.0,27,5,20,5,139.67771,0.057481,98268.758693,0.000105,1333260,2290.427289,20,5,41.827306,0.018262,263.989361,3.1e-05,41.827306,292.54459,0.060194,75683.843044,93868.735033,152.86688,1333412.86688
2700.0,27,5,20,5,123.376054,0.045695,123594.966228,9.3e-05,123.376054,2700.0,27,5,20,5,151.23149,0.056012,100841.29758,0.000113,1333260,2549.218509,20,5,40.933893,0.016057,265.071107,3.1e-05,40.933893,315.541437,0.058434,79417.16578,96690.59505,164.309947,1333424.309947
