M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
90.0,27,5,20,5,90.108424,1.001205,5741.313965,6.8e-05,90.108424,180.0,27,5,20,5,174.669269,0.970385,5914.616192,0.000131,1333260,5.560731,20,5,5.560731,1.0,169.549759,4e-06,5.560731,270.338424,1.001253,5737.360635,5738.678348,95.669155,1333355.669155
108.0,27,5,20,5,107.853009,0.998639,5759.798162,8.1e-05,107.853009,216.0,27,5,20,5,192.994212,0.893492,6421.849667,0.000145,1333260,22.881788,20,5,22.881788,1.0,104.922445,1.7e-05,22.881788,323.729009,0.999164,5752.286633,5754.789162,130.734797,1333390.734797
126.33333333333333,27,5,20,5,126.064504,0.997872,5768.261804,9.5e-05,126.064504,252.66666666666666,27,5,20,5,193.834895,0.767157,7466.912904,0.000145,1333260,58.717586,20,5,58.717584,1.0,111.463458,4.4e-05,58.717584,378.616983,0.998989,5756.79617,5760.613773,184.782088,1333444.782088
144.0,27,5,20,5,140.541089,0.97598,5898.391308,0.000105,140.541089,288.0,27,5,20,5,181.934174,0.631716,9047.318022,0.000136,1333260,106.233826,20,5,106.23251,0.999988,124.868615,8e-05,106.23251,428.707773,0.992379,5758.061323,5804.064988,246.773599,1333506.773599
162.0,27,5,20,5,152.795211,0.94318,6102.404018,0.000115,152.795211,324.0,27,5,20,5,165.151946,0.509728,11187.54786,0.000124,1333260,158.662054,20,5,158.492729,0.998933,136.760332,0.000119,158.492729,476.439886,0.980329,5775.842962,5880.571737,311.28794,1333571.28794
180.0,27,5,20,5,158.691454,0.881619,6521.960405,0.000119,158.691454,360.0,27,5,20,5,147.808531,0.410579,13862.959905,0.000111,1333260,212.651469,20,5,206.924059,0.973067,152.49498,0.000155,206.924059,513.424044,0.950785,5865.315671,6068.274431,365.615513,1333625.615513
360.0,27,5,20,5,80.162736,0.222674,25457.861424,6e-05,80.162736,720.0,27,5,20,5,83.771279,0.116349,48624.700575,6.3e-05,1333260,636.148721,20,5,71.59079,0.112538,227.357721,5.4e-05,71.59079,235.524805,0.218079,26323.220998,26028.689001,151.753526,1333411.753526
540.0,27,5,20,5,43.556815,0.080661,70066.067735,3.3e-05,43.556815,1080.0,27,5,20,5,87.160634,0.080704,70037.822686,6.5e-05,1333260,993.219366,20,5,52.587026,0.052946,246.915552,3.9e-05,52.587026,183.304475,0.113151,43775.513549,50022.675845,96.143841,1333356.143841
720.0,27,5,20,5,38.786452,0.05387,104854.420557,2.9e-05,38.786452,1440.0,27,5,20,5,99.344555,0.068989,81903.714126,7.5e-05,1333260,1340.495444,20,5,47.484417,0.035423,252.600094,3.6e-05,47.484417,185.615424,0.085933,55497.78419,65811.4142,86.270869,1333346.270869
900.0,27,5,20,5,43.108836,0.047899,117912.789222,3.2e-05,43.108836,1800.0,27,5,20,5,113.437342,0.063021,89644.814895,8.5e-05,1333260,1686.862658,20,5,44.755606,0.026532,260.613152,3.4e-05,44.755606,201.301784,0.074556,64356.430258,75825.540216,87.864442,1333347.864442
1080.0,27,5,20,5,50.072017,0.046363,121815.171166,3.8e-05,50.072017,2160.0,27,5,20,5,128.279032,0.059388,95117.287531,9.6e-05,1333260,2031.480967,20,5,42.90989,0.021122,262.720033,3.2e-05,42.90989,221.260939,0.06829,71341.221827,82763.628605,92.981907,1333352.981907
1260.0,27,5,20,5,57.855851,0.045917,122996.482074,4.3e-05,57.855851,2520.0,27,5,20,5,143.514096,0.05695,99182.553273,0.000108,1333260,2376.705903,20,5,41.522906,0.017471,264.365749,3.1e-05,41.522906,242.892853,0.064257,76984.98977,87944.694884,99.378757,1333359.378757
1440.0,27,5,20,5,65.91301,0.045773,123384.261026,4.9e-05,65.91301,2880.0,27,5,20,5,159.002205,0.055209,102304.699949,0.000119,1333260,2720.677794,20,5,40.427691,0.014859,265.709992,3e-05,40.427691,265.342906,0.061422,81619.733258,91994.330333,106.340701,1333366.340701
1620.0,27,5,20,5,74.071329,0.045723,123518.76904,5.6e-05,74.071329,3240.0,27,5,20,5,174.659136,0.053907,104771.367723,0.000131,1333260,3065.480862,20,5,39.525342,0.012894,266.849071,3e-05,39.525342,288.255807,0.059312,85486.231476,95259.219684,113.596671,1333373.596671
1800.0,27,5,20,5,82.268918,0.045705,123567.618111,6.2e-05,82.268918,3600.0,27,5,20,5,190.44252,0.052901,106761.343796,0.000143,1333260,3409.157479,20,5,38.766405,0.011371,267.829811,2.9e-05,38.766405,311.477843,0.057681,88749.956617,97946.15276,121.035323,1333381.035323
