M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135.0,27,5,20,5,134.833591,0.998767,5765.205375,0.000101,134.833591,135.0,27,5,20,10,135.1725,1.001278,5725.185449,0.000101,1333260,0.0,20,5,0.0,0.0,0.0,0.0,0.0,270.006091,1.000023,5725.185449,5745.170295,134.833591,1333394.833591
162.0,27,5,20,5,160.260108,0.98926,5825.731174,0.00012,160.260108,162.0,27,5,20,10,162.407,1.002512,5725.095265,0.000122,1333260,0.0,20,5,0.0,0.0,0.0,0.0,0.0,322.667108,0.995886,5725.095265,5775.078425,160.260108,1333420.260108
189.5,27,5,20,5,181.089001,0.955615,6032.460341,0.000136,181.089001,189.5,27,5,20,10,189.664359,1.000867,5742.150074,0.000142,1333260,2e-06,20,5,2e-06,1.0,260.97759,0.0,2e-06,370.753362,0.978241,5742.150016,5883.947804,181.089003,1333441.089003
216.0,27,5,20,5,192.994211,0.893492,6447.8497,0.000145,192.994211,216.0,27,5,20,10,215.875782,0.999425,5759.005898,0.000162,1333260,0.000218,20,5,0.000218,1.0,219.096973,0.0,0.000218,408.870211,0.946459,5759.000304,6084.149806,192.994429,1333452.994429
243.0,27,5,20,5,195.20545,0.803315,7160.720867,0.000146,195.20545,243.0,27,5,20,10,243.09916,1.000408,5764.132054,0.000182,1333260,0.01134,20,5,0.01134,1.0,230.269692,0.0,0.01134,438.31595,0.901885,5763.873925,6385.964305,195.21679,1333455.21679
270.0,27,5,20,5,188.92087,0.699707,8203.795507,0.000142,188.92087,270.0,27,5,20,10,270.044981,1.000167,5778.112989,0.000203,1333260,0.300019,20,5,0.300019,1.0,241.879675,0.0,0.300019,459.26587,0.850492,5771.969079,6772.310699,189.220889,1333449.220889
540.0,27,5,20,5,97.278395,0.180145,31475.361798,7.3e-05,97.278395,540.0,27,5,20,10,141.544205,0.262119,21719.620201,0.000106,1333260,398.145795,20,5,232.64279,0.584316,179.489884,0.000174,232.64279,471.46539,0.436542,8327.503209,13103.647077,329.921185,1333589.921185
810.0,27,5,20,5,82.600915,0.101976,55484.652231,6.2e-05,82.600915,810.0,27,5,20,10,102.964207,0.127116,44583.825278,7.7e-05,1333260,707.070793,20,5,138.079517,0.195284,188.358981,0.000104,138.079517,323.644639,0.199781,19152.320813,28425.09551,220.680432,1333480.680432
1080.0,27,5,20,5,87.121116,0.080668,70095.510499,6.5e-05,87.121116,1080.0,27,5,20,10,104.093223,0.096383,58726.658866,7.8e-05,1333260,976.286777,20,5,117.296541,0.120146,190.016336,8.8e-05,117.296541,308.51088,0.142829,27712.823509,39681.370581,204.417657,1333464.417657
1350.0,27,5,20,5,95.974375,0.071092,79511.896213,7.2e-05,95.974375,1350.0,27,5,20,10,112.094521,0.083033,68127.249484,8.4e-05,1333260,1237.630479,20,5,108.210992,0.087434,191.226764,8.1e-05,108.210992,316.279888,0.117141,34758.023671,48338.479176,204.185367,1333464.185367
1620.0,27,5,20,5,106.180781,0.065544,86226.598625,8e-05,106.180781,1620.0,27,5,20,10,121.895636,0.075244,75151.726478,9.1e-05,1333260,1498.174364,20,5,102.578748,0.068469,197.250398,7.7e-05,102.578748,330.655165,0.102054,40899.549565,55455.08046,208.759529,1333468.759529
1890.0,27,5,20,5,116.994748,0.061902,91287.912154,8.8e-05,116.994748,1890.0,27,5,20,10,132.440708,0.070074,80676.07711,9.9e-05,1333260,1757.974291,20,5,98.549676,0.056059,198.050753,7.4e-05,98.549676,347.985132,0.09206,46340.953347,61452.398163,215.544424,1333475.544424
2160.0,27,5,20,5,128.152881,0.05933,95236.735691,9.6e-05,128.152881,2160.0,27,5,20,10,143.397868,0.066388,85140.853007,0.000108,1333260,2016.362131,20,5,95.456238,0.047341,198.730793,7.2e-05,95.456238,367.006987,0.084955,51194.375929,66573.25287,223.609119,1333483.609119
2430.0,27,5,20,5,139.525128,0.057418,98402.019135,0.000105,139.525128,2430.0,27,5,20,10,154.610617,0.063626,88825.044478,0.000116,1333260,2275.494382,20,5,92.951667,0.040849,199.327678,7e-05,92.951667,387.087412,0.079648,55548.941259,70995.274543,232.476795,1333492.476795
2700.0,27,5,20,5,151.050846,0.055945,100987.671053,0.000113,151.050846,2700.0,27,5,20,10,166.0066,0.061484,91909.691718,0.000125,1333260,2534.443399,20,5,90.867659,0.035853,199.859673,6.8e-05,90.867659,407.925105,0.075542,59467.913481,74842.290861,241.918505,1333501.918505
