M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
180.0,27,5,20,5,174.439409,0.969108,5785.26855,0.000131,174.439409,90.0,27,5,20,5,89.996277,0.999959,5564.326545,6.8e-05,1333260,0.003723,20,5,0.003723,1.0,162.776016,0.0,0.003723,264.439409,0.979405,5564.103101,5709.996523,174.443132,1333434.443132
216.0,27,5,20,5,193.110847,0.894032,6522.005795,0.000145,193.110847,108.0,27,5,20,5,107.970683,0.999729,5797.953721,8.1e-05,1333260,0.029317,20,5,0.029317,1.0,171.321788,0.0,0.029317,301.110847,0.929354,5796.426351,6261.760836,193.140164,1333453.140164
252.66666666666666,27,5,20,5,194.204322,0.768619,7980.314043,0.000146,194.204322,126.33333333333333,27,5,20,5,125.828253,0.996002,4684.842469,9.4e-05,1333260,0.171747,20,5,0.171747,1.0,179.915724,0.0,0.171747,320.204322,0.844866,4678.701932,6681.133809,194.376069,1333454.376069
288.0,27,5,20,5,181.427543,0.629957,8983.113205,0.000136,181.427543,144.0,27,5,20,5,143.367742,0.995609,6117.024285,0.000108,1333260,0.632258,20,5,0.632257,0.999998,186.653596,0.0,0.632257,325.427542,0.753304,6090.985962,7703.361905,182.0598,1333442.0598
324.0,27,5,20,5,164.172181,0.506704,11415.812322,0.000123,164.172181,162.0,27,5,20,5,159.853395,0.986749,5499.979973,0.00012,1333260,2.146605,20,5,2.146595,0.999995,191.865199,2e-06,2.146595,326.172171,0.671136,5429.644336,8442.661207,166.318776,1333426.318776
360.0,27,5,20,5,144.452942,0.401258,13813.928696,0.000108,144.452942,180.0,27,5,20,5,174.439931,0.969111,5759.251606,0.000131,1333260,5.560069,20,5,5.560016,0.99999,195.941212,4e-06,5.560016,324.452889,0.600839,5587.406585,9250.019438,150.012958,1333410.012958
720.0,27,5,20,5,45.974222,0.063853,88685.801181,3.4e-05,45.974222,360.0,27,5,20,5,147.355404,0.409321,13519.340672,0.000111,1333260,212.644596,20,5,168.429804,0.792072,181.341458,0.000126,168.429804,361.75943,0.334962,6405.275363,16861.901636,214.404026,1333474.404026
1080.0,27,5,20,5,50.352876,0.046623,120116.683044,3.8e-05,50.352876,540.0,27,5,20,5,97.604471,0.180749,31733.522507,7.3e-05,1333260,442.395529,20,5,96.074319,0.217168,218.051714,7.2e-05,96.074319,244.031666,0.150637,16100.280506,37562.761605,146.427195,1333406.427195
1440.0,27,5,20,5,66.196332,0.04597,123128.334397,5e-05,66.196332,720.0,27,5,20,5,83.86073,0.116473,48680.107205,6.3e-05,1333260,636.13927,20,5,66.867626,0.105115,235.439515,5e-05,66.867626,216.924688,0.100428,27188.597534,56465.388165,133.063958,1333393.063958
1800.0,27,5,20,5,82.032626,0.045574,123435.149602,6.2e-05,82.032626,900.0,27,5,20,5,83.085375,0.092317,61005.644257,6.2e-05,1333260,816.914625,20,5,56.809711,0.069542,243.86494,4.3e-05,56.809711,221.927712,0.082195,36331.016852,68527.900605,138.842337,1333398.842337
2160.0,27,5,20,5,99.005675,0.045836,123322.147582,7.4e-05,99.005675,1080.0,27,5,20,5,86.793669,0.080365,69741.442659,6.5e-05,1333260,993.206331,20,5,52.128915,0.052485,248.202564,3.9e-05,52.128915,237.928259,0.073435,43664.997046,76811.584974,151.13459,1333411.13459
2520.0,27,5,20,5,115.000998,0.045635,123408.13942,8.6e-05,115.000998,1260.0,27,5,20,5,93.264862,0.07402,76830.470942,7e-05,1333260,1166.735138,20,5,49.363004,0.042309,250.872571,3.7e-05,49.363004,257.628864,0.068156,50326.540632,82948.882188,164.364002,1333424.364002
2880.0,27,5,20,5,132.000175,0.045833,123494.045681,9.9e-05,132.000175,1440.0,27,5,20,5,99.521472,0.069112,81938.896754,7.5e-05,1333260,1340.478528,20,5,47.423748,0.035378,252.818086,3.6e-05,47.423748,278.945395,0.064571,55576.283463,87715.751111,179.423923,1333439.423923
3240.0,27,5,20,5,148.000031,0.045679,123281.683428,0.000111,148.000031,1620.0,27,5,20,5,106.208409,0.065561,86059.097482,8e-05,1333260,1513.791591,20,5,45.943389,0.03035,254.362949,3.4e-05,45.943389,300.151829,0.06176,60149.70733,91279.067596,193.94342,1333453.94342
3600.0,27,5,20,5,165.000005,0.045833,123409.205486,0.000124,165.000005,1800.0,27,5,20,5,113.158187,0.062866,89511.904495,8.5e-05,1333260,1686.841813,20,5,44.751302,0.02653,260.652576,3.4e-05,44.751302,322.909494,0.059798,64218.23941,94463.586419,209.751307,1333469.751307
