M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135.0,27,15,20,5,134.995175,0.999964,5623.918294,0.000101,134.995175,135.0,27,15,20,5,134.995181,0.999964,5597.918023,0.000101,1333260,0.004819,20,5,0.004796,0.995227,209.678455,0.0,0.004796,269.995152,0.999982,5597.726601,5610.822215,134.999971,1333394.999971
162.0,27,15,20,5,161.94761,0.999677,5480.043647,0.000121,161.94761,162.0,27,15,20,5,161.947941,0.999679,5454.03237,0.000121,1333260,0.052059,20,5,0.051951,0.997925,214.480172,0.0,0.051951,323.947502,0.999838,5452.352122,5466.19565,161.999561,1333421.999561
189.5,27,15,20,5,189.606133,1.00056,6306.999018,0.000142,189.606133,189.5,27,15,20,5,189.61439,1.000604,6280.72984,0.000142,1333260,0.349251,20,5,0.348903,0.999004,219.904552,0.0,0.348903,379.569426,1.001502,6269.598004,6288.280915,189.955036,1333449.955036
216.0,27,15,20,5,214.370211,0.992455,5914.080331,0.000161,214.370211,216.0,27,15,20,5,214.464699,0.992892,5885.555048,0.000161,1333260,1.535301,20,5,1.534477,0.999463,225.07326,1e-06,1.534477,430.369387,0.996225,5845.342491,5879.581324,215.904688,1333475.904688
243.0,27,15,20,5,237.088148,0.975671,5890.054309,0.000178,237.088148,243.0,27,15,20,5,237.750126,0.978396,5848.227449,0.000178,1333260,5.249874,20,5,5.248207,0.999682,230.556679,4e-06,5.248207,480.086481,0.987832,5726.898637,5807.472195,242.336355,1333502.336355
270.0,27,15,20,5,253.418662,0.938588,6011.886591,0.00019,253.418662,270.0,27,15,20,5,256.248512,0.949069,5921.888386,0.000192,1333260,13.751488,20,5,13.748572,0.999788,109.129198,1e-05,13.748572,523.415746,0.969288,5625.895788,5812.778345,267.167234,1333527.167234
540.0,27,15,20,5,121.280786,0.224594,25593.10343,9.1e-05,121.280786,540.0,27,15,20,5,187.169502,0.34661,16641.76843,0.00014,1333260,352.830498,20,5,256.817298,0.727877,216.255833,0.000193,256.817298,565.267586,0.523396,7140.684697,11099.736839,378.098084,1333638.098084
810.0,27,15,20,5,67.048492,0.082776,68209.396868,5e-05,67.048492,810.0,27,15,20,5,116.938271,0.144368,39188.80648,8.8e-05,1333260,693.061729,20,5,107.246056,0.154742,259.823849,8e-05,107.246056,291.232819,0.179773,20565.828205,31534.473303,174.294548,1333434.294548
1080.0,27,15,20,5,60.028879,0.055582,100786.950068,4.5e-05,60.028879,1080.0,27,15,20,5,100.081221,0.092668,60527.836135,7.5e-05,1333260,979.918779,20,5,67.357393,0.068738,285.333759,5.1e-05,67.357393,227.467493,0.105309,36293.414869,53313.317668,127.386272,1333387.386272
1350.0,27,15,20,5,66.636038,0.04936,114884.39515,5e-05,66.636038,1350.0,27,15,20,5,101.958275,0.075525,75147.2183,7.6e-05,1333260,1248.041725,20,5,55.247763,0.044268,297.360465,4.1e-05,55.247763,223.842076,0.082904,48842.330404,68502.537344,121.883801,1333381.883801
1620.0,27,15,20,5,76.155266,0.047009,119986.325101,5.7e-05,76.155266,1620.0,27,15,20,5,108.828699,0.067178,84014.912152,8.2e-05,1333260,1511.171301,20,5,50.155655,0.03319,302.64591,3.8e-05,50.155655,235.13962,0.072574,57605.750249,77809.105477,126.310921,1333386.310921
1890.0,27,15,20,5,87.073322,0.046071,121973.91149,6.5e-05,87.073322,1890.0,27,15,20,5,118.017727,0.062443,90034.51871,8.9e-05,1333260,1771.982273,20,5,47.33337,0.026712,310.41046,3.6e-05,47.33337,252.424419,0.066779,64350.114489,84227.333385,134.406692,1333394.406692
2160.0,27,15,20,5,99.556695,0.046091,122650.614914,7.5e-05,99.556695,2160.0,27,15,20,5,129.239338,0.059833,94515.287723,9.7e-05,1333260,2030.760662,20,5,45.431788,0.022372,312.22796,3.4e-05,45.431788,274.227821,0.063479,70013.164573,89122.861649,144.988483,1333404.988483
2430.0,27,15,20,5,111.293173,0.0458,122970.125163,8.3e-05,111.293173,2430.0,27,15,20,5,139.979554,0.057605,97797.290623,0.000105,1333260,2290.020446,20,5,43.987756,0.019208,313.628998,3.3e-05,43.987756,295.260483,0.060753,74488.325995,92762.675503,155.280929,1333415.280929
2700.0,27,15,20,5,123.155363,0.045613,123234.076853,9.2e-05,123.155363,2700.0,27,15,20,5,151.023567,0.055935,100516.362163,0.000113,1333260,2548.976433,20,5,42.828144,0.016802,314.788149,3.2e-05,42.828144,317.007074,0.058705,78378.577468,95804.672222,165.983507,1333425.983507
