M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60.0,27,5,20,5,209.704409,0.197834,127.473964,0.077668,209.704409,60.0,27,5,20,5,466.090589,0.439708,166.456978,0.172626,2700,44.370409,20,5,1.016358,0.022906,170.895809,0.000376,1.016358,676.811356,0.319251,166.466636,154.385079,210.720767,2910.720767
120.0,27,5,20,5,185.380806,0.165519,126.962705,0.06866,185.380806,120.0,27,5,20,5,445.238833,0.397535,169.817285,0.164903,2700,113.619679,20,5,3.473135,0.030568,95.268613,0.001286,3.473135,634.092774,0.283077,169.240261,156.880165,188.853941,2888.853941
180.0,27,5,20,5,138.972345,0.117773,123.417078,0.051471,138.972345,180.0,27,5,20,5,386.534863,0.327572,175.35926,0.143161,2700,223.935372,20,5,3.829761,0.017102,99.940885,0.001418,3.829761,529.336969,0.224295,174.619351,161.176685,142.802106,2842.802106
240.0,27,5,20,5,98.969875,0.079814,119.005507,0.036656,98.969875,240.0,27,5,20,5,332.570136,0.268202,182.33638,0.123174,2700,330.00718,20,5,2.756833,0.008354,104.276116,0.001021,2.756833,434.296844,0.17512,181.694621,167.408692,101.726708,2801.726708
300.0,27,5,20,5,70.423328,0.054172,114.737708,0.026083,70.423328,300.0,27,5,20,5,293.179045,0.225522,189.709213,0.108585,2700,420.804074,20,5,1.733099,0.004119,103.558884,0.000642,1.733099,365.335472,0.140514,189.202937,174.848762,72.156427,2772.156427
360.0,27,5,20,5,50.883494,0.037414,110.718071,0.018846,50.883494,360.0,27,5,20,5,265.659324,0.195338,196.562999,0.098392,2700,499.198088,20,5,1.04982,0.002103,102.911425,0.000389,1.04982,317.592638,0.116762,196.194368,182.499678,51.933314,2751.933314
420.0,27,5,20,5,37.560807,0.026451,106.844717,0.013911,37.560807,420.0,27,5,20,5,246.389266,0.173514,202.4545,0.091255,2700,569.035779,20,5,0.631914,0.00111,102.323626,0.000234,0.631914,284.581987,0.100205,202.198352,189.613017,38.192721,2738.192721
480.0,27,5,20,5,28.429809,0.019209,103.041674,0.01053,28.429809,480.0,27,5,20,5,232.703286,0.157232,207.282237,0.086186,2700,633.11408,20,5,0.381225,0.000602,106.816975,0.000141,0.381225,261.51432,0.088349,207.11792,195.803558,28.811034,2728.811034
540.0,27,5,20,5,22.128116,0.014369,99.308189,0.008196,22.128116,540.0,27,5,20,5,222.813701,0.144684,211.124033,0.082524,2700,693.29148,20,5,0.230848,0.000333,106.307314,8.5e-05,0.230848,245.172665,0.079602,211.015549,200.933375,22.358964,2722.358964
600.0,27,5,20,5,17.74874,0.011093,95.712627,0.006574,17.74874,600.0,27,5,20,5,215.535794,0.13471,214.129271,0.079828,2700,750.791647,20,5,0.140223,0.000187,105.817496,5.2e-05,0.140223,233.424757,0.072945,214.058852,205.06025,17.888963,2717.888963
