Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,j_start,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,135.0,36,5,20,5,134.942676,0.999575,109.027046,0.001399,134.942676,135.0,18,5,20,5,121.466634,0.899753,94.151832,0.002518,48240,11,13.533366,20,5,13.533366,1.0,173.469102,0.00014,13.533366,269.942676,0.999788,102.103162,105.564369,148.476042,48388.476042
0.06,162.0,36,5,20,5,161.430037,0.996482,113.977334,0.001673,161.430037,162.0,18,5,20,5,121.172135,0.747976,100.690044,0.002512,48240,11,40.827865,20,5,40.827865,1.0,178.548239,0.000423,40.827865,323.430037,0.998241,120.312167,117.150332,202.257902,48442.257902
0.07,189.5,36,5,20,5,185.80463,0.980499,118.735658,0.001926,185.80463,189.5,18,5,20,5,109.584387,0.578282,105.428262,0.002272,48240,11,79.415613,20,5,79.415602,1.0,183.960259,0.000823,79.415602,374.804619,0.98893,138.426496,128.665013,265.220232,48505.220232
0.08,216.0,36,5,20,5,204.075442,0.944794,122.717255,0.002115,204.075442,216.0,18,5,20,5,95.234494,0.4409,109.30407,0.001974,48240,11,119.765506,20,5,119.764623,0.999993,190.15238,0.001241,119.764623,419.074559,0.97008,154.340382,138.940966,323.840065,48563.840065
0.09,243.0,36,5,20,5,213.96008,0.880494,125.819937,0.002218,213.96008,243.0,18,5,20,5,81.263726,0.334419,113.199274,0.001685,48240,11,160.736274,20,5,160.706351,0.999814,198.018236,0.001666,160.706351,455.930157,0.938128,169.532462,149.018936,374.666431,48614.666431
0.1,270.0,36,5,20,5,213.00428,0.788905,127.759531,0.002208,213.00428,270.0,18,5,20,5,69.575656,0.257688,117.165236,0.001442,48240,11,199.424344,20,5,198.970988,0.997727,207.365319,0.002062,198.970988,481.550924,0.891761,183.996083,159.120985,411.975268,48651.975268
0.2,540.0,36,5,20,5,62.520421,0.115779,123.014393,0.000648,62.520421,540.0,18,5,20,5,29.324147,0.054304,148.759035,0.000608,48240,11,509.675853,20,5,164.941967,0.323621,266.281804,0.00171,164.941967,256.786535,0.237765,248.541938,217.979451,227.462388,48467.462388
0.3,810.0,36,5,20,5,14.727157,0.018182,113.754347,0.000153,14.727157,810.0,18,5,20,5,23.43113,0.028927,157.881006,0.000486,48240,11,784.56887,20,5,98.060317,0.124986,291.474911,0.001016,98.060317,136.218604,0.084086,265.709672,249.281153,112.787474,48352.787474
0.4,1080.0,36,5,20,5,3.834851,0.003551,104.41568,4e-05,3.834851,1080.0,18,5,20,5,21.17226,0.019604,160.842513,0.000439,48240,11,1055.82774,20,5,78.418525,0.074272,303.556861,0.000813,78.418525,103.425636,0.047882,273.216852,266.957984,82.253376,48322.253376
0.5,1350.0,36,5,20,5,1.116136,0.000827,96.256814,1.2e-05,1.116136,1350.0,18,5,20,5,19.806507,0.014671,162.47476,0.000411,48240,11,1327.193493,20,5,70.589213,0.053187,308.973381,0.000732,70.589213,91.511856,0.033893,276.874229,274.671306,71.705349,48311.705349
0.6,1620.0,36,5,20,5,0.359524,0.000222,90.552301,4e-06,0.359524,1620.0,18,5,20,5,18.842407,0.011631,163.631476,0.000391,48240,11,1597.157593,20,5,66.35058,0.041543,311.975439,0.000688,66.35058,85.552511,0.026405,279.165728,278.373103,66.710104,48306.710104
0.7,1890.0,36,5,20,5,0.123064,6.5e-05,87.180697,1e-06,0.123064,1890.0,18,5,20,5,18.104668,0.009579,164.540708,0.000375,48240,11,1866.895332,20,5,63.507116,0.034018,314.057453,0.000658,63.507116,81.734848,0.021623,280.888823,280.597167,63.63018,48303.63018
0.8,2160.0,36,5,20,5,0.043234,2e-05,85.376317,0.0,0.043234,2160.0,18,5,20,5,17.511486,0.008107,165.291848,0.000363,48240,11,2137.488514,20,5,61.369503,0.028711,315.686865,0.000636,61.369503,78.924223,0.018269,282.29935,282.191477,61.412737,48301.412737
0.9,2430.0,36,5,20,5,0.015414,6e-06,84.460694,0.0,0.015414,2430.0,18,5,20,5,17.022563,0.007005,165.925684,0.000353,48240,11,2406.977437,20,5,59.676256,0.024793,317.026277,0.000619,59.676256,76.714233,0.015785,283.490958,283.450967,59.69167,48299.69167
1.0,2700.0,36,5,20,5,0.005502,2e-06,83.997989,0.0,0.005502,2700.0,18,5,20,5,16.608091,0.006151,166.473897,0.000344,48240,11,2676.391909,20,5,58.278907,0.021775,318.16705,0.000604,58.278907,74.8925,0.013869,284.525247,284.510515,58.284409,48298.284409
