Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,j_start,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,135.0,27,5,20,5,134.778047,0.998356,133.931512,0.001863,134.778047,135.0,27,5,20,5,134.791261,0.998454,94.92835,0.001863,72360,10,0.543739,20,5,0.543739,1.0,165.269611,8e-06,0.543739,270.113047,1.0,95.210962,114.531318,135.321786,72495.321786
0.06,162.0,27,5,20,5,158.906713,0.980906,140.939886,0.002196,158.906713,162.0,27,5,20,5,159.15369,0.98243,101.941055,0.002199,72360,10,3.24831,20,5,3.24831,1.0,171.587957,4.5e-05,3.24831,321.308713,0.991694,103.334109,121.932455,162.155023,72522.155023
0.07,189.5,27,5,20,5,175.349815,0.925329,147.891011,0.002423,175.349815,189.5,27,5,20,5,177.329411,0.935775,109.014966,0.002451,72360,10,12.14083,20,5,12.14083,1.0,178.42973,0.000168,12.14083,364.820056,0.962586,113.462909,130.010687,187.490645,72547.490645
0.08,216.0,27,5,20,5,177.468396,0.821613,154.076949,0.002453,177.468396,216.0,27,5,20,5,185.135274,0.857108,115.643529,0.002559,72360,10,30.400726,20,5,30.400702,0.999999,185.94009,0.00042,30.400702,393.004372,0.909732,125.558648,138.436615,207.869098,72567.869098
0.09,243.0,27,5,20,5,163.996557,0.674883,160.129252,0.002266,163.996557,243.0,27,5,20,5,182.626792,0.751551,122.452174,0.002524,72360,10,59.976208,20,5,59.97419,0.999966,195.059424,0.000829,59.97419,406.597539,0.83662,140.401652,148.358558,223.970747,72583.970747
0.1,270.0,27,5,20,5,141.042005,0.522378,166.900832,0.001949,141.042005,270.0,27,5,20,5,172.370605,0.63841,129.626619,0.002382,72360,10,97.299395,20,5,97.223469,0.99922,205.772143,0.001344,97.223469,410.636079,0.760437,157.086911,160.457718,238.265474,72598.265474
0.2,540.0,27,5,20,5,19.306268,0.035752,579.677826,0.000267,19.306268,540.0,27,5,20,5,69.462098,0.128634,257.855469,0.00096,72360,10,470.877902,20,5,92.124205,0.195644,278.798251,0.001273,92.124205,180.892571,0.167493,269.795448,302.868516,111.430473,72471.430473
0.3,810.0,27,5,20,5,4.867865,0.00601,2857.252574,6.7e-05,4.867865,810.0,27,5,20,5,46.007017,0.056799,436.379741,0.000636,72360,10,764.002983,20,5,59.113618,0.077374,301.629224,0.000817,59.113618,109.9885,0.067894,360.604032,471.100567,63.981483,72423.981483
0.4,1080.0,27,5,20,5,3.222749,0.002984,5646.453544,4.5e-05,3.222749,1080.0,27,5,20,5,39.666055,0.036728,600.39738,0.000548,72360,10,1040.013945,20,5,51.268708,0.049296,308.995094,0.000709,51.268708,94.157512,0.043591,436.105769,614.44144,54.491457,72414.491457
0.5,1350.0,27,5,20,5,3.445595,0.002552,6585.405665,4.8e-05,3.445595,1350.0,27,5,20,5,37.094675,0.027478,752.800577,0.000513,72360,10,1313.255325,20,5,47.68125,0.036308,312.542637,0.000659,47.68125,88.22152,0.032675,505.182531,742.652782,51.126845,72411.126845
0.6,1620.0,27,5,20,5,4.009361,0.002475,6788.502608,5.5e-05,4.009361,1620.0,27,5,20,5,35.756461,0.022072,899.696594,0.000494,72360,10,1584.263539,20,5,45.416472,0.028667,314.914294,0.000628,45.416472,85.182294,0.026291,572.509341,865.08377,49.425833,72409.425833
0.7,1890.0,27,5,20,5,4.647353,0.002459,6832.093433,6.4e-05,4.647353,1890.0,27,5,20,5,34.976652,0.018506,1043.058856,0.000483,72360,10,1854.713347,20,5,43.769907,0.023599,316.731945,0.000605,43.769907,83.393912,0.022062,639.342659,984.450571,48.41726,72408.41726
0.8,2160.0,27,5,20,5,5.303403,0.002455,6842.076991,7.3e-05,5.303403,2160.0,27,5,20,5,34.514019,0.015979,1183.179047,0.000477,72360,10,2125.845981,20,5,42.48472,0.019985,318.211758,0.000587,42.48472,82.302142,0.019051,705.925867,1101.328483,47.788123,72407.788123
0.9,2430.0,27,5,20,5,5.964013,0.002454,6844.688829,8.2e-05,5.964013,2430.0,27,5,20,5,34.265919,0.014101,1319.631759,0.000474,72360,10,2395.76408,20,5,41.446141,0.0173,319.448436,0.000573,41.446141,81.676073,0.016806,772.11345,1215.534848,47.410154,72407.410154
1.0,2700.0,27,5,20,5,6.625745,0.002454,6845.633696,9.2e-05,6.625745,2700.0,27,5,20,5,34.166379,0.012654,1452.323502,0.000472,72360,10,2665.533621,20,5,40.578072,0.015223,320.510747,0.000561,40.578072,81.370196,0.015069,837.872812,1327.067795,47.203817,72407.203817
