Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,j_start,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,90.0,27,5,20,5,89.987472,0.999861,106.25776,0.001244,89.987472,180.0,27,5,20,5,171.810064,0.9545,89.418516,0.002374,72360,11,8.189936,20,5,8.189936,1.0,170.828174,0.000113,8.189936,269.987472,0.999954,93.122627,97.500598,98.177408,72458.177408
0.06,108.0,27,5,20,5,107.839847,0.998517,110.67646,0.00149,107.839847,216.0,27,5,20,5,184.601738,0.854638,96.431482,0.002551,72360,11,30.398262,20,5,30.398262,1.0,176.568656,0.00042,30.398262,322.839847,0.996419,107.761858,108.735437,138.238109,72498.238109
0.07,126.33333333333333,27,5,20,5,124.817331,0.988,114.91178,0.001725,124.817331,252.66666666666666,27,5,20,5,178.887657,0.707999,101.855049,0.002472,72360,11,73.112343,20,5,73.11232,1.0,183.933962,0.00101,73.11232,376.817308,0.994241,125.668463,122.105409,197.929651,72557.929651
0.08,144.0,27,5,20,5,139.081151,0.965841,118.580584,0.001922,139.081151,288.0,27,5,20,5,162.505624,0.564256,105.791918,0.002246,72360,11,124.494376,20,5,124.485691,0.99993,193.656583,0.00172,124.485691,426.072466,0.986279,143.904199,135.637911,263.566842,72623.566842
0.09,162.0,27,5,20,5,148.216016,0.914914,121.275999,0.002048,148.216016,324.0,27,5,20,5,142.577058,0.440053,109.352256,0.00197,72360,11,180.422942,20,5,179.588823,0.995377,207.802769,0.002482,179.588823,470.381897,0.967864,164.232716,150.697175,327.804839,72687.804839
0.1,180.0,27,5,20,5,150.969309,0.838718,122.953357,0.002086,150.969309,360.0,27,5,20,5,123.824599,0.343957,112.812718,0.001711,72360,11,235.175401,20,5,218.847019,0.930569,224.226079,0.003024,218.847019,493.640927,0.91415,183.966793,165.307164,369.816328,72729.816328
0.2,360.0,27,5,20,5,57.242397,0.159007,118.889038,0.000791,57.242397,720.0,27,5,20,5,48.699687,0.067638,144.208368,0.000673,72360,11,669.300313,20,5,68.050253,0.101674,290.526969,0.00094,68.050253,173.992337,0.161104,229.493361,193.105226,125.29265,72485.29265
0.3,540.0,27,5,20,5,15.980877,0.029594,111.480002,0.000221,15.980877,1080.0,27,5,20,5,36.999023,0.034258,156.057155,0.000511,72360,11,1040.000977,20,5,51.612384,0.049627,308.027775,0.000713,51.612384,104.592284,0.064563,244.573591,224.237939,67.593261,72427.593261
0.4,720.0,27,5,20,5,4.809073,0.006679,104.412201,6.6e-05,4.809073,1440.0,27,5,20,5,33.009907,0.022924,159.803116,0.000456,72360,11,1402.990093,20,5,46.896592,0.033426,313.250416,0.000648,46.896592,84.715572,0.03922,249.860314,241.60362,51.705665,72411.705665
0.5,900.0,27,5,20,5,1.566676,0.001741,97.761155,2.2e-05,1.566676,1800.0,27,5,20,5,30.743804,0.01708,161.655741,0.000425,72360,11,1765.256196,20,5,44.287595,0.025088,316.146845,0.000612,44.287595,76.598075,0.02837,252.844757,249.6728,45.854271,72405.854271
0.6,1080.0,27,5,20,5,0.556541,0.000515,92.430645,8e-06,0.556541,2160.0,27,5,20,5,29.178754,0.013509,162.896548,0.000403,72360,11,2125.821246,20,5,42.502689,0.019994,318.205557,0.000587,42.502689,72.237984,0.022296,254.985243,253.732878,43.05923,72403.05923
0.7,1260.0,27,5,20,5,0.208792,0.000166,88.73597,3e-06,0.208792,2520.0,27,5,20,5,27.99282,0.011108,163.851637,0.000387,72360,11,2486.00718,20,5,41.158507,0.016556,319.818683,0.000569,41.158507,69.360119,0.018349,256.682404,256.176842,41.367299,72401.367299
0.8,1440.0,27,5,20,5,0.081677,5.7e-05,86.473182,1e-06,0.081677,2880.0,27,5,20,5,27.047566,0.009392,164.632081,0.000374,72360,11,2845.952434,20,5,40.091005,0.014087,321.143521,0.000554,40.091005,67.220248,0.01556,258.09104,257.882513,40.172682,72400.172682
0.9,1620.0,27,5,20,5,0.032369,2e-05,85.160863,0.0,0.032369,3240.0,27,5,20,5,26.268222,0.008107,165.290999,0.000363,72360,11,3205.731778,20,5,39.212469,0.012232,322.264424,0.000542,39.212469,65.51306,0.01348,259.292994,259.206957,39.244838,72399.244838
1.0,1800.0,27,5,20,5,0.012916,7e-06,84.427715,0.0,0.012916,3600.0,27,5,20,5,25.609499,0.007114,165.859662,0.000354,72360,11,3565.390501,20,5,38.470448,0.01079,323.233221,0.000532,38.470448,64.092863,0.011869,260.339006,260.303556,38.483364,72398.483364
