Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,j_start,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
0.05,135.0,27,15,20,5,134.991188,0.999935,141.848992,0.001866,134.991188,135.0,27,15,20,5,134.991204,0.999935,102.848935,0.001866,72360,20,0.008796,20,5,0.008762,0.996135,210.684399,0.0,0.008762,269.991154,0.999967,102.855934,122.351829,134.99995,72494.99995
0.06,162.0,27,15,20,5,161.908647,0.999436,148.774757,0.002238,161.908647,162.0,27,15,20,5,161.909493,0.999441,109.774105,0.002238,72360,20,0.090507,20,5,0.090354,0.99831,215.920922,1e-06,0.090354,323.908494,0.999718,109.833307,129.29855,161.999001,72521.999001
0.07,189.5,27,15,20,5,188.400083,0.994196,155.782123,0.002604,188.400083,189.5,27,15,20,5,188.419324,0.994297,116.781528,0.002604,72360,20,0.580676,20,5,0.580207,0.999192,221.569987,8e-06,0.580207,377.399614,0.995777,117.103217,136.411952,188.98029,72548.98029
0.08,216.0,27,15,20,5,212.37313,0.983209,162.418782,0.002935,212.37313,216.0,27,15,20,5,212.570475,0.984123,123.446996,0.002938,72360,20,2.429525,20,5,2.428453,0.999559,226.934587,3.4e-05,2.428453,427.372058,0.989287,124.615908,143.401213,214.801583,72574.801583
0.09,243.0,27,15,20,5,232.955364,0.958664,168.661658,0.003219,232.955364,243.0,27,15,20,5,234.175474,0.963685,129.881697,0.003236,72360,20,7.824526,20,5,7.822428,0.999732,232.799478,0.000108,7.822428,474.953266,0.97727,133.208449,150.59756,240.777792,72600.777792
0.1,270.0,27,15,20,5,245.061197,0.907634,173.579602,0.003387,245.061197,270.0,27,15,20,5,249.683905,0.924755,135.433029,0.003451,72360,20,19.316095,20,5,19.312527,0.999815,239.462453,0.000267,19.312527,514.057629,0.951959,142.901794,157.526497,264.373724,72624.373724
0.2,540.0,27,15,20,5,85.654519,0.158619,164.204337,0.001184,85.654519,540.0,27,15,20,5,150.632506,0.278949,157.86395,0.002082,72360,20,388.367494,20,5,241.447375,0.621698,336.120782,0.003337,241.447375,477.7344,0.442347,267.636591,249.091894,327.101894,72687.101894
0.3,810.0,27,15,20,5,26.005344,0.032105,151.513982,0.000359,26.005344,810.0,27,15,20,5,74.083424,0.091461,175.807447,0.001024,72360,20,733.916576,20,5,98.158796,0.133747,374.169236,0.001357,98.158796,198.247564,0.122375,288.851475,270.836077,124.16414,72484.16414
0.4,1080.0,27,15,20,5,9.359368,0.008666,142.696972,0.000129,9.359368,1080.0,27,15,20,5,48.313849,0.044735,194.063926,0.000668,72360,20,1028.686151,20,5,64.178004,0.062388,398.294151,0.000887,64.178004,121.851221,0.056413,310.579815,297.684767,73.537372,72433.537372
0.5,1350.0,27,15,20,5,3.860351,0.00286,136.313451,5.3e-05,3.860351,1350.0,27,15,20,5,38.452729,0.028484,206.693295,0.000531,72360,20,1308.547271,20,5,53.734623,0.041064,408.953651,0.000743,53.734623,96.047703,0.035573,324.587819,317.020693,57.594974,72417.594974
0.6,1620.0,27,15,20,5,1.77432,0.001095,132.403921,2.5e-05,1.77432,1620.0,27,15,20,5,33.914497,0.020935,214.046968,0.000469,72360,20,1582.085503,20,5,49.251117,0.031131,413.54722,0.000681,49.251117,84.939934,0.026216,332.192074,328.018676,51.025437,72411.025437
0.7,1890.0,27,15,20,5,0.870158,0.00046,130.3274,1.2e-05,0.870158,1890.0,27,15,20,5,31.379334,0.016603,218.303268,0.000434,72360,20,1853.620666,20,5,46.665945,0.025176,416.048676,0.000645,46.665945,78.915437,0.020877,336.542019,334.268202,47.536103,72407.536103
0.8,2160.0,27,15,20,5,0.440135,0.000204,129.321008,6e-06,0.440135,2160.0,27,15,20,5,29.734603,0.013766,220.889905,0.000411,72360,20,2125.265397,20,5,44.86432,0.02111,417.774291,0.00062,44.86432,75.039058,0.01737,339.297568,338.065969,45.304455,72405.304455
0.9,2430.0,27,15,20,5,0.226334,9.3e-05,128.861288,3e-06,0.226334,2430.0,27,15,20,5,28.561768,0.011754,222.543397,0.000395,72360,20,2395.438232,20,5,43.487804,0.018154,419.124258,0.000601,43.487804,72.275906,0.014872,341.19601,340.531078,43.714138,72403.714138
1.0,2700.0,27,15,20,5,0.116813,4.3e-05,128.655336,2e-06,0.116813,2700.0,27,15,20,5,27.660629,0.010245,223.671569,0.000382,72360,20,2665.339371,20,5,42.373856,0.015898,420.252961,0.000586,42.373856,70.151298,0.012991,342.611711,342.25544,42.490669,72402.490669
