M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60.0,27,5,20,5,62.517155,1.041953,25679.109681,1e-05,62.517155,60.0,27,5,20,5,62.517155,1.041953,25653.10968,1e-05,6480000,4.5e-05,20,5,4.5e-05,1.0,148.638318,0.0,4.5e-05,125.034355,1.041953,25653.091322,25666.100497,1e-05,6480062.5172
120.0,27,5,20,5,124.879849,1.040665,25725.278065,1.9e-05,124.879849,120.0,27,5,20,5,124.881442,1.040679,25698.950559,1.9e-05,6480000,0.152958,20,5,0.152958,1.0,161.795039,0.0,0.152958,249.914249,1.041309,25667.710258,25696.476361,1.9e-05,6480125.032807
180.0,27,5,20,5,178.487631,0.991598,27006.564822,2.8e-05,178.487631,180.0,27,5,20,5,179.529027,0.997383,26824.802481,2.8e-05,6480000,8.022573,20,5,8.022573,1.0,94.51372,1e-06,8.022573,366.039231,1.016776,25681.406781,26327.578829,2.9e-05,6480186.510204
240.0,27,5,20,5,175.916185,0.732984,36496.947241,2.7e-05,175.916185,240.0,27,5,20,5,193.340105,0.805584,33197.384851,3e-05,6480000,56.728695,20,5,56.727329,0.999976,124.098714,9e-06,56.727329,425.983619,0.887466,25694.77184,30155.688649,3.6e-05,6480232.643514
300.0,27,5,20,5,126.286054,0.420954,63447.799462,1.9e-05,126.286054,300.0,27,5,20,5,169.109494,0.563698,47400.250158,2.6e-05,6480000,143.476506,20,5,141.705292,0.987655,154.583276,2.2e-05,141.705292,437.10084,0.728501,25860.216277,36719.924439,4.1e-05,6480267.991346
360.0,27,5,20,5,86.434774,0.240097,111136.594853,1.3e-05,86.434774,360.0,27,5,20,5,139.767781,0.388244,68772.170238,2.2e-05,6480000,235.335419,20,5,181.348307,0.770595,178.9003,2.8e-05,181.348307,407.550862,0.566043,30034.549048,47234.946971,4.1e-05,6480267.783081
420.0,27,5,20,5,62.721319,0.149336,178599.135561,1e-05,62.721319,420.0,27,5,20,5,117.280606,0.27924,95573.988649,1.8e-05,6480000,320.339794,20,5,146.928255,0.458664,193.339583,2.3e-05,146.928255,326.93018,0.389203,42532.193324,68636.537957,3.3e-05,6480209.649574
480.0,27,5,20,5,49.308194,0.102725,259578.75541,8e-06,49.308194,480.0,27,5,20,5,102.025506,0.212553,125522.772647,1.6e-05,6480000,398.112094,20,5,113.464763,0.285007,209.435872,1.8e-05,113.464763,264.798463,0.275832,59539.987791,96789.261256,2.6e-05,6480162.772957
540.0,27,5,20,5,42.015388,0.077806,342674.188259,6e-06,42.015388,540.0,27,5,20,5,92.181981,0.170707,156262.892251,1.4e-05,6480000,470.472819,20,5,92.226602,0.19603,218.749067,1.4e-05,92.226602,226.423971,0.209652,78221.941804,127293.882788,2e-05,6480134.24199
600.0,27,5,20,5,38.412092,0.06402,416439.416357,6e-06,38.412092,600.0,27,5,20,5,86.080865,0.143468,185907.819738,1.3e-05,6480000,539.091135,20,5,78.993999,0.146532,226.311989,1.2e-05,78.993999,203.486956,0.169572,97052.833085,157343.217596,1.8e-05,6480117.406091
660.0,27,5,20,5,37.078207,0.056179,474546.212318,6e-06,37.078207,660.0,27,5,20,5,82.518368,0.125028,213308.279536,1.3e-05,6480000,605.170832,20,5,70.455953,0.116423,232.233674,1.1e-05,70.455953,190.052528,0.143979,115171.051179,185283.176262,1.7e-05,6480107.53416
720.0,27,5,20,5,37.162743,0.051615,516498.875672,6e-06,37.162743,720.0,27,5,20,5,80.676842,0.112051,237996.114036,1.2e-05,6480000,669.529558,20,5,64.714349,0.096656,236.769815,1e-05,64.714349,182.553934,0.126774,132168.236335,210406.927026,1.6e-05,6480101.877092
780.0,27,5,20,5,38.144811,0.048904,545128.346972,6e-06,38.144811,780.0,27,5,20,5,80.009748,0.102577,259966.088829,1.2e-05,6480000,732.713852,20,5,60.693678,0.082834,240.22107,9e-06,60.693678,178.848237,0.114646,147931.018795,232645.396007,1.5e-05,6480098.838489
840.0,27,5,20,5,39.700673,0.047263,564050.629723,6e-06,39.700673,840.0,27,5,20,5,80.152454,0.09542,279454.360555,1.2e-05,6480000,795.088346,20,5,57.7666,0.072654,242.86275,9e-06,57.7666,177.619727,0.105726,162508.235699,252258.983265,1.5e-05,6480097.467273
900.0,27,5,20,5,41.62687,0.046252,576373.025234,6e-06,41.62687,900.0,27,5,20,5,80.860805,0.089845,296783.396521,1.2e-05,6480000,856.897195,20,5,55.555323,0.064833,244.917051,9e-06,55.555323,178.042998,0.098913,176018.416233,269622.261652,1.5e-05,6480097.182193
960.0,27,5,20,5,43.794389,0.045619,584368.195795,7e-06,43.794389,960.0,27,5,20,5,81.970267,0.085386,312276.389412,1.3e-05,6480000,918.304933,20,5,53.825896,0.058614,246.550727,8e-06,53.825896,179.590552,0.093537,188596.27007,285107.971145,1.5e-05,6480097.620285
1020.0,27,5,20,5,46.120746,0.045216,589572.184471,7e-06,46.120746,1020.0,27,5,20,5,83.369029,0.081734,326220.006827,1.3e-05,6480000,979.423371,20,5,52.42993,0.053531,247.883629,8e-06,52.42993,181.919705,0.089176,200367.086252,299039.352001,1.5e-05,6480098.550676
1080.0,27,5,20,5,48.552767,0.044956,592983.328563,7e-06,48.552767,1080.0,27,5,20,5,84.980325,0.078685,338854.140106,1.3e-05,6480000,1040.329275,20,5,51.27126,0.049284,248.999775,8e-06,51.27126,184.804352,0.085558,211437.551247,311679.255652,1.5e-05,6480099.824027
1140.0,27,5,20,5,51.055863,0.044786,595239.402068,8e-06,51.055863,1140.0,27,5,20,5,86.750824,0.076097,350374.109157,1.3e-05,6480000,1101.075976,20,5,50.286278,0.04567,249.9573,8e-06,50.286278,188.092965,0.082497,221894.739863,323235.233514,1.6e-05,6480101.342141
1200.0,27,5,20,5,53.607308,0.044673,596745.995007,8e-06,53.607308,1200.0,27,5,20,5,88.642968,0.073869,360937.422882,1.4e-05,6480000,1161.701032,20,5,49.432019,0.042551,250.796342,8e-06,49.432019,191.682295,0.079868,231808.544701,333869.688633,1.6e-05,6480103.039327
1260.0,27,5,20,5,56.192014,0.044597,597761.715745,9e-06,56.192014,1260.0,27,5,20,5,90.629912,0.071929,370671.190181,1.4e-05,6480000,1222.231288,20,5,48.678833,0.039828,251.544693,8e-06,48.678833,195.500759,0.07758,241234.979535,343710.05664,1.7e-05,6480104.870847
1320.0,27,5,20,5,58.799848,0.044545,598452.658032,9e-06,58.799848,1320.0,27,5,20,5,92.692161,0.070221,379678.701664,1.4e-05,6480000,1282.686239,20,5,48.005784,0.037426,252.22182,7e-06,48.005784,199.497793,0.075567,250219.343638,352857.401167,1.6e-05,6480106.805632
1380.0,27,5,20,5,61.423925,0.04451,598926.517968,9e-06,61.423925,1380.0,27,5,20,5,94.81532,0.068707,388044.767922,1.5e-05,6480000,1343.080279,20,5,47.397739,0.03529,252.841562,7e-06,47.397739,203.636984,0.073782,258798.827773,361393.048737,1.6e-05,6480108.821664
1440.0,27,5,20,5,64.059515,0.044486,599253.846974,1e-05,64.059515,1440.0,27,5,20,5,96.988583,0.067353,395839.834629,1.5e-05,6480000,1403.424217,20,5,46.843493,0.033378,253.413967,7e-06,46.843493,207.891591,0.072185,267004.527217,369383.513208,1.7e-05,6480110.903008
1500.0,27,5,20,5,66.703331,0.044469,599481.378815,1e-05,66.703331,1500.0,27,5,20,5,99.203695,0.066136,403123.14824,1.5e-05,6480000,1463.726305,20,5,46.334555,0.031655,253.946485,7e-06,46.334555,212.241581,0.070747,274862.94732,376884.099738,1.7e-05,6480113.037886
1560.0,27,5,20,5,69.353065,0.044457,599640.396841,1.1e-05,69.353065,1560.0,27,5,20,5,101.454255,0.065035,409945.070107,1.6e-05,6480000,1523.992945,20,5,45.864346,0.030095,254.44477,7e-06,45.864346,216.671666,0.069446,282397.072326,383941.484257,1.8e-05,6480115.217411
1620.0,27,5,20,5,72.00708,0.044449,599752.05747,1.1e-05,72.00708,1620.0,27,5,20,5,103.735215,0.064034,416348.889471,1.6e-05,6480000,1584.229185,20,5,45.42766,0.028675,259.913232,7e-06,45.42766,221.169955,0.068262,289628.694903,390596.648612,1.8e-05,6480117.43474
1680.0,27,5,20,5,74.66421,0.044443,599830.757227,1.2e-05,74.66421,1680.0,27,5,20,5,106.042537,0.063121,422372.156369,1.6e-05,6480000,1644.439063,20,5,45.0203,0.027377,260.355387,7e-06,45.0203,225.727047,0.067181,296572.851317,396882.106552,1.9e-05,6480119.68451
1740.0,27,5,20,5,77.323612,0.044439,599886.423581,1.2e-05,77.323612,1740.0,27,5,20,5,108.372949,0.062283,428047.700773,1.7e-05,6480000,1704.625851,20,5,44.63883,0.026187,260.774078,7e-06,44.63883,230.335391,0.066188,303247.453225,402829.182929,1.9e-05,6480121.962442
1800.0,27,5,20,5,79.984678,0.044436,599925.908869,1.2e-05,79.984678,1800.0,27,5,20,5,110.72376,0.061513,433404.457249,1.7e-05,6480000,1764.79224,20,5,44.280388,0.025091,261.171691,7e-06,44.280388,234.988826,0.065275,309667.428327,408464.598806,1.9e-05,6480124.265066
1860.0,27,5,20,5,82.646966,0.044434,599953.981781,1.3e-05,82.646966,1860.0,27,5,20,5,113.092736,0.060803,438468.065024,1.7e-05,6480000,1824.940464,20,5,43.942569,0.024079,261.55021,7e-06,43.942569,239.682271,0.064431,315846.467203,413812.09478,2e-05,6480126.589535
1920.0,27,5,20,5,85.310151,0.044432,599973.994887,1.3e-05,85.310151,1920.0,27,5,20,5,115.477999,0.060145,443261.382176,1.8e-05,6480000,1885.072401,20,5,43.623323,0.023141,261.911349,7e-06,43.623323,244.411473,0.063649,321797.218574,418892.917481,2e-05,6480128.933474
