M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60.0,27,5,20,5,59.999377,0.99999,180.81051,0.000166,59.999377,60.0,27,5,20,10,59.999422,0.99999,154.810493,0.000166,361800,0.0,20,5,0.0,0.0,0.0,0.0,0.0,119.998799,0.99999,154.810493,167.810496,0.000166,361859.999377
120.0,27,5,20,5,119.845886,0.998716,196.053427,0.000331,119.845886,120.0,27,5,20,10,119.998844,0.99999,170.021814,0.000332,361800,0.0,20,5,0.0,0.0,0.0,0.0,0.0,239.84473,0.999353,170.021814,183.02932,0.000331,361919.845886
180.0,27,5,20,5,171.975694,0.955421,214.503317,0.000475,171.975694,180.0,27,5,20,10,179.998265,0.99999,187.242028,0.000498,361800,2e-06,20,5,2e-06,1.0,196.351282,0.0,2e-06,351.973961,0.977705,187.242028,200.561988,0.000475,361971.975696
240.0,27,5,20,5,183.268982,0.763621,246.999048,0.000507,183.268982,240.0,27,5,20,10,239.966797,0.999862,211.551407,0.000663,361800,0.030892,20,5,0.030892,1.0,233.503418,0.0,0.030892,423.266671,0.881806,211.554232,226.901378,0.000507,361983.299874
300.0,27,5,20,5,156.520297,0.521734,303.777168,0.000433,156.520297,300.0,27,5,20,10,288.275538,0.960918,247.778879,0.000797,361800,11.721573,20,5,11.721573,1.0,90.291391,3.2e-05,11.721573,456.517408,0.760862,241.625482,262.934638,0.000465,361968.24187
360.0,27,5,20,5,124.659882,0.346277,389.453052,0.000345,124.659882,360.0,27,5,20,10,247.190484,0.68664,303.311357,0.000683,361800,112.80605,20,5,112.805298,0.999993,129.564926,0.000312,112.805298,484.655664,0.673133,248.867614,285.028058,0.000657,362037.46518
420.0,27,5,20,5,99.653505,0.23727,504.443385,0.000275,99.653505,420.0,27,5,20,10,180.431236,0.429598,387.156862,0.000499,361800,239.56472,20,5,235.674887,0.983763,159.081937,0.000651,235.674887,515.759628,0.614,257.979402,305.600422,0.000926,362135.328392
480.0,27,5,20,5,81.878588,0.17058,645.898022,0.000226,81.878588,480.0,27,5,20,10,136.195777,0.283741,497.42193,0.000376,361800,343.799601,20,5,259.159123,0.753809,176.396266,0.000716,259.159123,477.233488,0.497118,286.98637,348.564571,0.000942,362141.037711
540.0,27,5,20,5,69.51501,0.128732,808.328882,0.000192,69.51501,540.0,27,5,20,10,108.838917,0.201554,627.503585,0.000301,361800,431.155883,20,5,215.303158,0.499363,180.430727,0.000595,215.303158,393.657085,0.364497,330.54677,414.917227,0.000787,362084.818168
600.0,27,5,20,5,60.893833,0.10149,984.967819,0.000168,60.893833,600.0,27,5,20,10,91.534809,0.152558,769.564706,0.000253,361800,508.459413,20,5,181.85726,0.357663,181.620306,0.000503,181.85726,334.285902,0.278572,378.470853,488.950909,0.000671,362042.751093
660.0,27,5,20,5,54.811224,0.083047,1169.361697,0.000151,54.811224,660.0,27,5,20,10,80.256585,0.121601,916.27157,0.000222,361800,579.737059,20,5,160.718359,0.277226,187.36281,0.000444,160.718359,295.786168,0.22408,430.125509,567.111091,0.000595,362015.529583
720.0,27,5,20,5,50.4495,0.070069,1356.468574,0.000139,50.4495,720.0,27,5,20,10,72.695692,0.100966,1062.162355,0.000201,361800,647.297375,20,5,146.911851,0.226962,187.91524,0.000406,146.911851,270.057043,0.18754,477.313309,641.548773,0.000545,361997.361351
780.0,27,5,20,5,47.262105,0.060592,1542.996828,0.000131,47.262105,780.0,27,5,20,10,67.488725,0.086524,1204.07301,0.000187,361800,712.503763,20,5,137.405277,0.192848,188.399857,0.00038,137.405277,252.156107,0.161639,522.945942,714.136045,0.000511,361984.667382
840.0,27,5,20,5,44.884397,0.053434,1727.183344,0.000124,44.884397,840.0,27,5,20,10,63.805331,0.075959,1340.763457,0.000176,361800,776.18658,20,5,130.529428,0.168168,188.837356,0.000361,130.529428,239.219156,0.142392,567.045694,784.720899,0.000485,361975.413825
900.0,27,5,20,5,43.072218,0.047858,1908.344265,0.000119,43.072218,900.0,27,5,20,10,61.127404,0.067919,1472.236084,0.000169,361800,838.863929,20,5,125.337044,0.149413,189.237037,0.000346,125.337044,229.536666,0.12752,609.83411,853.497632,0.000465,361968.409262
