Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo
0.05,135,135,1,112.75288,72622.31423,72352.31427,"[6, 5, 3, 30, 30, 5]"
0.06,162,162,1,"119.24618,",72694.69521,72370.69535,"[7, 5, 3, 30, 30, 5]"
0.07,189.5,189.5,0.997361,125.837707,72752.06337,72374.06338,"[7, 6, 3, 30, 30, 5]"
0.08,216,216,0.99537,132.43487,72817.52888,72387.52896,"[7, 6, 3, 30, 30, 5]"
0.09,243,243,0.995885,138.951705,72867.41766,72383.41766,"[8, 6, 3, 40, 40, 5]"
0.1,270,270,0.996296,145.752877,72940.38879,72402.38917,"[8, 5, 3, 40, 40, 5]"
0.2,540,540,0.998148,222.072244,73744.59266,72666.59332,"[10, 6, 10, 60, 80, 5]"
0.3,810,810,0.991273,286.692586,74123.72234,72517.8604,"[5, 5, 4, 160, 160, 160]"
0.4,1080,1080,0.947487,355.411166,75043.09498,72996.52326,"[5, 5, 4, 160, 160, 160]"
0.5,1350,1350,0.845077,404.512732,75468.56237,73186.85542,"[3, 5, 3, 240, 160, 240]"
0.6,1620,1620,0.742979,476.854442,76271.29193,73864.0409,"[3, 5, 3, 240, 160, 240]"
0.7,1890,1890,0.630021,551.930009,77083.30694,74701.82723,"[3, 5, 3, 240, 160, 240]"
0.8,2160,2160,0.524438,524.523717,76997.00595,74731.43213,"[3, 3, 3, 240, 240, 240]"
0.9,2430,2430,0.474855,543.726259,76325.0816,74017.28627,"[3, 3, 3, 40, 240, 240]"
1,2700,2700,0.430561,582.927116,76163.96011,73838.92842,"[3, 3, 3, 5, 240, 240]"
