M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60.0,27,30,20,5,59.999144,0.999986,235.520061,0.000166,59.999144,60.0,27,30,20,5,59.999144,0.999986,209.520061,0.000166,361800,0.0,20,5,0.0,0.0,0.0,0.0,0.0,119.998288,0.999986,209.520061,222.520061,0.000166,361859.999144
120.0,27,30,20,5,119.998263,0.999986,261.647677,0.000332,119.998263,120.0,27,30,20,5,119.998263,0.999986,235.647677,0.000332,361800,2.6e-05,20,5,2.6e-05,1.0,300.812858,0.0,2.6e-05,239.996552,0.999986,235.647691,248.647683,0.000332,361919.998289
180.0,27,30,20,5,179.949677,0.99972,282.745768,0.000497,179.949677,180.0,27,30,20,5,179.950059,0.999723,256.745729,0.000497,361800,0.047374,20,5,0.047374,1.0,305.836045,0.0,0.047374,359.94711,0.999853,256.75865,269.750485,0.000497,361979.997051
240.0,27,30,20,5,237.745337,0.990606,303.297317,0.000657,237.745337,240.0,27,30,20,5,237.862792,0.991095,277.29347,0.000657,361800,2.133786,20,5,2.133786,1.0,309.565847,6e-06,2.133786,477.741915,0.995296,277.5804,290.378266,0.000663,362039.879123
300.0,27,30,20,5,280.89349,0.936312,323.159135,0.000776,280.89349,300.0,27,30,20,5,283.295485,0.944318,296.978774,0.000783,361800,16.700237,20,5,16.700237,1.0,73.794595,4.6e-05,16.700237,580.889212,0.968149,284.554501,303.222072,0.000822,362097.593727
360.0,27,30,20,5,293.200124,0.814445,344.201765,0.00081,293.200124,360.0,27,30,20,5,305.501339,0.848615,316.663381,0.000844,361800,54.493528,20,5,54.493528,1.0,115.7489,0.000151,54.493528,653.194991,0.907215,286.250339,312.263039,0.000961,362147.693652
420.0,27,30,20,5,276.14226,0.657482,370.195881,0.000763,276.14226,420.0,27,30,20,5,306.644141,0.730105,338.180835,0.000848,361800,113.34987,20,5,113.349869,1.0,151.044063,0.000313,113.349869,696.13627,0.828734,287.675522,320.409571,0.001076,362189.492129
480.0,27,30,20,5,244.538178,0.509455,404.568921,0.000676,244.538178,480.0,27,30,20,5,294.991055,0.614565,362.827357,0.000815,361800,185.002101,20,5,185.000187,0.99999,182.422771,0.000511,185.000187,724.52942,0.754718,293.295084,330.851463,0.001187,362229.538365
540.0,27,30,20,5,211.23508,0.391176,449.523264,0.000584,211.23508,540.0,27,30,20,5,277.246717,0.51342,391.377131,0.000766,361800,262.745583,20,5,262.450386,0.998876,207.294199,0.000725,262.450386,750.932183,0.695308,301.859073,343.396588,0.001309,362273.685466
600.0,27,30,20,5,182.040102,0.3034,505.947974,0.000503,182.040102,600.0,27,30,20,5,257.336364,0.428894,424.384031,0.000711,361800,342.65508,20,5,334.817872,0.977128,236.492747,0.000925,334.817872,774.194338,0.645162,318.145899,362.30472,0.001428,362316.857974
