M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
60,27,5,20,5,58.0,0.966667,97.8103448275862,9e-06,58.0,60,27,5,20,5,58.0,0.966667,138.44827586206895,9e-06,6480000,0.0,20,5,0.0,0.0,0.0,0.0,0.0,116.0,0.966667,138.448276,118.12931,58.0,6480058.0
120,27,5,20,5,115.0,0.958333,110.58695652173913,1.8e-05,115.0,120,27,5,20,5,115.0,0.958333,169.0,1.8e-05,6480000,0.0,20,5,0.0,0.0,0.0,0.0,0.0,230.0,0.958333,169.0,139.793478,115.0,6480115.0
180,27,5,20,5,170.0,0.944444,125.23529411764706,2.6e-05,170.0,180,27,5,20,5,168.0,0.933333,202.26190476190476,2.6e-05,6480000,4.0,20,5,2.0,0.5,93.5,0.0,2.0,340.0,0.944444,200.982353,163.108824,172.0,6480172.0
240,27,5,20,5,166.0,0.691667,141.24096385542168,2.6e-05,166.0,240,27,5,20,5,191.0,0.795833,218.2460732984293,2.9e-05,6480000,39.0,20,5,28.0,0.717949,124.21428571428571,4e-06,28.0,385.0,0.802083,206.223744,178.205195,194.0,6480194.0
300,27,5,20,5,159.0,0.53,149.06603773584905,2.5e-05,159.0,300,27,5,20,5,141.0,0.47,246.06382978723406,2.2e-05,6480000,146.0,20,5,106.0,0.726027,153.26415094339623,1.6e-05,106.0,406.0,0.676667,206.238866,183.848522,265.0,6480265.0
360,27,5,20,5,152.0,0.422222,186.06578947368422,2.3e-05,152.0,360,27,5,20,5,133.0,0.369444,242.89473684210526,2.1e-05,6480000,211.0,20,5,94.0,0.445498,174.72340425531914,1.5e-05,94.0,379.0,0.526389,214.665198,203.195251,246.0,6480246.0
420,27,5,20,5,85.0,0.202381,190.85294117647058,1.3e-05,85.0,420,27,5,20,5,104.0,0.247619,247.5,1.6e-05,6480000,298.0,20,5,99.0,0.332215,178.6010101010101,1.5e-05,99.0,288.0,0.342857,213.899015,207.097222,184.0,6480184.0
480,27,5,20,5,48.0,0.1,151.0,7e-06,48.0,480,27,5,20,5,90.0,0.1875,268.8888888888889,1.4e-05,6480000,369.0,20,5,105.0,0.284553,204.16666666666666,1.6e-05,105.0,243.0,0.253125,234.038462,217.635802,153.0,6480153.0
540,27,5,20,5,45.0,0.083333,161.94444444444446,7e-06,45.0,540,27,5,20,5,86.0,0.159259,277.7906976744186,1.3e-05,6480000,430.0,20,5,81.0,0.188372,214.24074074074073,1.2e-05,81.0,212.0,0.196296,246.967066,228.919811,126.0,6480126.0
600,27,5,20,5,23.0,0.038333,213.7173913043478,4e-06,23.0,600,27,5,20,5,57.0,0.095,303.5964912280702,9e-06,6480000,517.0,20,5,75.0,0.145068,223.96666666666667,1.2e-05,75.0,155.0,0.129167,258.352273,251.729032,98.0,6480098.0
660,27,5,20,5,28.0,0.042424,254.75,4e-06,28.0,660,27,5,20,5,64.0,0.09697,289.21875,1e-05,6480000,567.0,20,5,62.0,0.109347,219.30645161290323,1e-05,62.0,154.0,0.116667,254.81746,254.805195,90.0,6480090.0
720,27,5,20,5,21.0,0.029167,222.78571428571428,3e-06,21.0,720,27,5,20,5,46.0,0.063889,298.2608695652174,7e-06,6480000,642.0,20,5,46.0,0.071651,229.69565217391303,7e-06,46.0,113.0,0.078472,263.978261,256.323009,67.0,6480067.0
