M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,Ur_PRACH_4SRA,Ur_PUSCH_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,Ur_PRACH_2SRA,Ur_PUSCH_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ur_PRACH_FB,Ur_PUSCH_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_T
135,36,5,20,5,135.9248,1.00685,109.30654155827338,0.001409,135.9248,135,18,5,20,5,121.3918,0.899199,107.06171257037131,0.002516,48240,13.6082,20,5,12.6085,0.926537,170.4630408058056,0.000131,12.6085,269.9251,0.999723,113.027338,111.153676,148.5333,48388.5333
162,36,5,20,5,162.2707,1.001671,114.15862475480787,0.001682,162.2707,162,18,5,20,5,121.0934,0.74749,113.70011908163448,0.00251,48240,40.9066,20,5,39.9066,0.975554,174.7545167967203,0.000414,39.9066,323.27070000000003,0.997749,128.833494,121.467218,202.1773,48442.1773
190,36,5,20,5,186.8407,0.983372,118.98227179624145,0.001937,186.8407,190,18,5,20,5,108.891,0.573111,118.61989053273456,0.002257,48240,81.109,20,5,80.1088,0.987668,180.44605960893182,0.00083,80.1088,375.8405,0.989054,144.825316,131.978025,266.9495,48506.9495
216,36,5,20,5,202.8182,0.938973,122.62956529542217,0.002102,202.8182,216,18,5,20,5,95.1573,0.440543,122.39695483163138,0.001973,48240,119.8427,20,5,118.84,0.991633,186.86953887579932,0.001232,118.84,416.81550000000004,0.964851,158.20078,140.892187,321.65819999999997,48561.6582
243,36,5,20,5,210.3265,0.865541,125.40362840631106,0.00218,210.3265,243,18,5,20,5,80.9961,0.333317,126.3044424361173,0.001679,48240,161.0039,20,5,159.9461,0.99343,195.35369321290116,0.001658,159.9461,451.2687,0.928536,172.141819,150.358168,370.2726,48610.272600000004
270,36,5,20,5,206.6469,0.765359,126.92948285215039,0.002142,206.6469,270,18,5,20,5,69.4028,0.257047,130.3312474424663,0.001439,48240,199.5972,20,5,197.8242,0.991117,205.38288894887492,0.00205,197.8242,473.87389999999994,0.877544,185.890869,160.178991,404.4711,48644.4711
540,36,5,20,5,57.6381,0.106737,120.13310379766156,0.000597,57.6381,540,18,5,20,5,29.2336,0.054136,161.88748563297025,0.000606,48240,509.7664,20,5,158.8905,0.311693,263.7279368495914,0.001647,158.8905,245.7622,0.227558,247.90241,217.936939,216.5286,48456.5286
810,36,5,20,5,13.6068,0.016799,110.61952847105862,0.000141,13.6068,810,18,5,20,5,23.4407,0.028939,170.8893185783701,0.000486,48240,784.5593,20,5,96.8974,0.123506,287.5262174217264,0.001004,96.8974,133.94490000000002,0.082682,264.806476,249.143386,110.5042,48350.5042
1080,36,5,20,5,3.6339,0.003365,101.7071603511378,3.8e-05,3.6339,1080,18,5,20,5,21.2501,0.019676,173.83775841054864,0.000441,48240,1055.7499,20,5,78.1295,0.074004,298.8252420660571,0.00081,78.1295,103.0135,0.047691,272.09947,266.088718,81.76339999999999,48321.7634
1350,36,5,20,5,1.0516,0.000779,94.5189235450742,1.1e-05,1.0516,1350,18,5,20,5,19.7924,0.014661,175.52148804591658,0.00041,48240,1327.2076,20,5,70.5425,0.053151,304.0370025162136,0.000731,70.5425,91.38650000000001,0.033847,275.87922,273.792276,71.5941,48311.5941
1620,36,5,20,5,0.3494,0.000216,89.48883800801377,4e-06,0.3494,1620,18,5,20,5,18.8774,0.011653,176.6438704482609,0.000391,48240,1597.1226,20,5,66.4849,0.041628,306.9761351825754,0.000689,66.4849,85.7117,0.026454,278.153876,277.384792,66.8343,48306.8343
1890,36,5,20,5,0.125,6.6e-05,86.21199999999999,1e-06,0.125,1890,18,5,20,5,18.0768,0.009564,177.52718954682246,0.000375,48240,1866.9232,20,5,63.5391,0.034034,309.0649749524308,0.000659,63.5391,81.7409,0.021625,279.931164,279.634924,63.6641,48303.6641
2160,36,5,20,5,0.0405,1.9e-05,85.52469135802465,0.0,0.0405,2160,18,5,20,5,17.5886,0.008143,178.29756205724163,0.000365,48240,2137.4114,20,5,61.3025,0.028681,310.6830512621834,0.000635,61.3025,78.9316,0.018271,281.167993,281.067608,61.343,48301.343
2430,36,5,20,5,0.0146,6e-06,84.59589041095892,0.0,0.0146,2430,18,5,20,5,17.0066,0.006999,178.93847094657366,0.000353,48240,2406.9934,20,5,59.7447,0.024821,312.0480302018421,0.000619,59.7447,76.7659,0.015795,282.553533,282.515883,59.7593,48299.759300000005
2700,36,5,20,5,0.0051,2e-06,83.5,0.0,0.0051,2700,18,5,20,5,16.6106,0.006152,179.48972342961724,0.000344,48240,2676.3894,20,5,58.1965,0.021744,313.1743704518313,0.000603,58.1965,74.8122,0.013854,283.49026,283.476627,58.2016,48298.2016
